Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.344,99,0.302,0.146,2.6%,14.1%,7.6%,19.3%,44.0%,27.0%,0.82,32.0%,47.0%,21.0%,-2.4,-0.1%,-16.4,30%,79%,37%
Boston Red Sox,0.351,99,0.298,0.166,3.0%,16.4%,10.4%,19.4%,39.8%,30.7%,0.68,32.1%,50.2%,17.6%,4.3,5.0%,10.7,30%,69%,35%
Chicago White Sox,0.356,104,0.305,0.184,3.7%,16.7%,8.0%,17.7%,41.7%,30.5%,0.74,27.7%,53.6%,18.7%,5.8,2.6%,61.3,32%,66%,34%
Cleveland Indians,0.355,108,0.324,0.177,3.1%,19.1%,8.8%,19.7%,41.9%,30.0%,0.74,27.1%,54.0%,19.0%,4.0,1.2%,88.9,34%,71%,38%
Detroit Tigers,0.345,100,0.31,0.174,3.3%,18.3%,6.9%,18.2%,42.1%,30.6%,0.75,27.4%,52.2%,20.4%,0.6,2.1%,30.6,33%,60%,44%
Kansas City Royals,0.331,89,0.311,0.14,2.0%,16.7%,7.6%,18.6%,47.1%,25.0%,0.93,24.8%,55.0%,20.2%,-2.2,-1.1%,-44.7,32%,66%,42%
Los Angeles Angels of Anaheim,0.337,93,0.301,0.15,2.6%,14.7%,7.8%,17.4%,43.8%,29.9%,0.8,27.9%,54.1%,18.0%,-3.0,-3.0%,-29.0,31%,72%,49%
Minnesota Twins,0.344,101,0.316,0.138,2.3%,14.0%,7.9%,18.8%,46.8%,25.9%,0.91,24.8%,55.0%,20.3%,2.6,1.6%,21.3,32%,71%,41%
New York Yankees,0.368,113,0.315,0.177,3.3%,16.3%,10.1%,18.5%,45.4%,27.6%,0.85,27.4%,53.7%,18.9%,12.5,10.0%,140.1,33%,80%,37%
Oakland Athletics,0.339,98,0.285,0.152,2.8%,15.5%,10.4%,19.3%,42.8%,28.3%,0.76,26.7%,54.2%,19.1%,2.7,1.2%,-10.2,30%,75%,35%
Seattle Mariners,0.336,96,0.3,0.153,2.8%,15.7%,6.5%,18.3%,44.9%,26.9%,0.84,28.5%,53.0%,18.5%,-6.5,-4.9%,-30.3,32%,74%,40%
Tampa Bay Devil Rays,0.325,86,0.285,0.165,3.2%,18.3%,7.3%,17.4%,43.1%,28.6%,0.79,29.1%,52.8%,18.1%,-11.9,-0.6%,-99.5,29%,72%,40%
Texas Rangers,0.348,101,0.311,0.168,2.9%,16.9%,8.1%,18.9%,42.7%,28.8%,0.76,28.6%,52.3%,19.0%,1.0,2.1%,40.5,33%,69%,38%
Toronto Blue Jays,0.356,108,0.306,0.179,3.2%,14.5%,8.2%,19.9%,42.4%,29.4%,0.75,25.8%,55.9%,18.3%,2.9,2.3%,23.1,31%,66%,39%
League Average,0.345,100,0.305,0.162,2.9%,16.2%,8.3%,18.7%,43.5%,28.5%,0.79,27.8%,53.1%,19.1%,1.0,1%,13.0,32%,71%,39%
,0.345,100,0.305,0.162,2.9%,16.2%,8.3%,18.7%,43.5%,28.5%,0.79,27.8%,53.1%,19.1%,10.6,18.2%,186.2,32%,71%,39%
