Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.331,101,0.291,0.188,4.2%,21.7%,7.7%,90.0,42.6%,23.8%,42.7%,23.8%,0.76,30.4%,50.5%,19.2%,1.6,-0.5%,14.3,29%,59%,39%
Boston Red Sox,0.354,113,0.32,0.179,3.3%,18.4%,8.8%,89.9,41.0%,24.7%,44.8%,22.0%,0.82,31.3%,49.5%,19.2%,8.6,8.6%,136.7,33%,78%,43%
Chicago White Sox,0.32,99,0.304,0.153,2.7%,21.0%,7.4%,88.9,37.8%,25.5%,45.7%,20.3%,0.86,29.5%,49.0%,21.5%,-1.5,-2.4%,-33.9,29%,68%,41%
Cleveland Indians,0.337,97,0.304,0.168,3.0%,20.2%,8.6%,89.0,39.0%,27.7%,42.9%,20.7%,0.77,31.4%,50.6%,18.1%,2.3,2.7%,25.7,32%,81%,45%
Detroit Tigers,0.335,106,0.312,0.171,3.4%,21.3%,8.1%,89.4,40.8%,25.9%,42.1%,24.6%,0.74,26.7%,51.5%,21.8%,2.0,0.7%,29.0,29%,67%,34%
Houston Astros,0.325,105,0.298,0.17,3.2%,23.4%,8.9%,88.9,40.7%,24.8%,43.9%,22.7%,0.81,31.3%,51.9%,16.8%,-2.9,-3.3%,7.1,29%,70%,43%
Kansas City Royals,0.316,88,0.309,0.139,2.4%,20.2%,6.3%,88.8,39.0%,23.6%,46.5%,20.9%,0.9,26.6%,53.1%,20.3%,-4.8,-2.6%,-60.0,30%,78%,42%
Los Angeles Angels,0.322,101,0.289,0.145,2.6%,16.4%,7.8%,88.7,38.3%,25.0%,45.7%,21.6%,0.86,27.9%,51.0%,21.1%,0.1,-0.7%,13.2,31%,68%,39%
Minnesota Twins,0.324,97,0.3,0.171,3.2%,22.8%,8.2%,88.7,39.5%,24.1%,42.3%,24.2%,0.76,30.0%,51.0%,18.9%,-8.8,-1.8%,-21.5,29%,74%,43%
New York Yankees,0.318,89,0.289,0.153,3.0%,19.6%,7.8%,88.4,36.7%,24.2%,45.1%,22.3%,0.84,31.5%,52.4%,16.2%,-3.3,-3.7%,-57.8,29%,77%,37%
Oakland Athletics,0.31,91,0.28,0.149,2.8%,19.0%,7.3%,88.1,36.7%,26.4%,42.6%,22.6%,0.76,29.8%,49.5%,20.8%,-5.7,-1.7%,-61.8,29%,68%,38%
Seattle Mariners,0.33,106,0.297,0.171,3.6%,20.7%,8.1%,89.6,41.6%,25.0%,46.0%,20.0%,0.89,31.7%,49.0%,19.2%,2.1,0.6%,47.7,30%,67%,38%
Tampa Bay Rays,0.319,100,0.293,0.182,3.6%,24.5%,7.4%,89.7,41.5%,23.2%,41.4%,25.5%,0.72,33.6%,47.4%,19.0%,-8.9,-1.7%,-43.0,28%,62%,40%
Texas Rangers,0.332,96,0.298,0.172,3.5%,20.0%,7.2%,89.3,40.2%,24.7%,44.9%,21.3%,0.83,32.1%,49.4%,18.5%,9.4,5.2%,23.2,31%,73%,43%
Toronto Blue Jays,0.332,102,0.289,0.178,3.6%,21.9%,10.1%,89.6,42.1%,24.4%,43.0%,22.4%,0.77,28.4%,50.4%,21.2%,-1.4,-0.6%,15.5,29%,69%,38%
League Average,0.327,99,0.298,0.166,3.2%,20.8%,8.0%,89.1,39.8%,24.9%,44.0%,22.3%,0.81,30.1%,50.4%,19.5%,-1.0,-0%,2.0,30%,72%,40%
,0.327,99,0.298,0.166,3.2%,20.8%,8.0%,89.1,39.8%,24.9%,44.0%,22.3%,0.81,30.1%,50.4%,19.5%,-11.3,-1.1%,34.3,30%,72%,40%
