Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Anaheim Angels,0.33,91,0.29,0.144,2.5%,16.1%,7.9%,25.5%,37.7%,29.5%,0.62,29.4%,50.5%,20.1%,-10.0,-4.0%,-93.3,28%,69%,44%
Baltimore Orioles,0.317,88,0.278,0.131,2.2%,16.1%,8.4%,24.7%,39.2%,28.0%,0.67,30.3%,49.8%,19.9%,-10.0,-2.0%,-85.3,30%,72%,47%
Boston Red Sox,0.341,100,0.3,0.173,3.2%,18.1%,8.3%,25.2%,40.2%,27.7%,0.69,28.4%,51.6%,20.0%,-2.3,-1.5%,-19.2,30%,57%,34%
Chicago White Sox,0.347,101,0.29,0.183,3.5%,16.2%,8.5%,23.1%,39.3%,29.4%,0.68,29.5%,49.9%,20.5%,2.0,-0.6%,2.5,32%,68%,42%
Cleveland Indians,0.355,111,0.308,0.179,3.3%,16.9%,9.1%,25.2%,38.2%,28.3%,0.65,31.8%,49.0%,19.2%,8.6,8.9%,108.9,34%,66%,41%
Detroit Tigers,0.329,100,0.291,0.15,2.3%,15.8%,7.6%,24.6%,40.8%,26.9%,0.71,29.5%,52.3%,18.2%,-3.9,-0.2%,-43.1,32%,69%,39%
Kansas City Royals,0.328,85,0.291,0.143,2.5%,14.5%,6.6%,24.0%,43.2%,26.5%,0.78,27.0%,51.3%,21.8%,-10.7,-1.3%,-85.9,32%,70%,40%
Minnesota Twins,0.342,100,0.31,0.161,2.7%,17.5%,8.0%,25.1%,43.6%,25.7%,0.79,28.0%,51.9%,20.2%,3.1,0.8%,-15.1,32%,69%,48%
New York Yankees,0.346,101,0.293,0.168,3.3%,16.6%,8.3%,24.0%,41.6%,28.5%,0.73,29.2%,50.4%,20.4%,1.2,2.2%,22.0,32%,75%,43%
Oakland Athletics,0.347,107,0.288,0.175,3.1%,16.0%,10.0%,24.1%,39.3%,29.0%,0.66,29.2%,51.0%,19.7%,8.5,4.2%,106.4,34%,70%,40%
Seattle Mariners,0.362,120,0.32,0.157,2.6%,15.3%,9.5%,26.2%,39.7%,27.2%,0.68,26.7%,51.1%,22.2%,17.0,4.3%,167.1,35%,81%,44%
Tampa Bay Devil Rays,0.321,89,0.303,0.13,2.0%,18.3%,7.5%,24.9%,43.2%,24.9%,0.79,30.3%,50.0%,19.7%,-8.7,-1.1%,-102.6,30%,69%,41%
Texas Rangers,0.361,110,0.3,0.195,3.9%,17.1%,8.6%,25.0%,38.2%,30.8%,0.63,30.3%,50.5%,19.2%,4.2,0.4%,90.0,33%,75%,42%
Toronto Blue Jays,0.337,94,0.293,0.167,3.1%,17.4%,7.5%,24.8%,40.2%,28.1%,0.69,30.7%,49.6%,19.7%,-6.3,-3.1%,-34.8,31%,74%,35%
League Average,0.34,100,0.297,0.161,2.9%,16.6%,8.3%,24.8%,40.3%,27.9%,0.7,29.3%,50.6%,20.1%,-1.0,1%,1.0,32%,71%,42%
,0.34,100,0.297,0.161,2.9%,16.6%,8.3%,24.8%,40.3%,27.9%,0.7,29.3%,50.6%,20.1%,-7.4,7.1%,17.6,32%,71%,42%
