Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.331,97,0.307,0.159,2.7%,20.6%,8.8%,19.8%,41.6%,29.6%,0.74,27.1%,55.7%,17.3%,1.1,-1.0%,43.3,31%,65%,41%
Atlanta Braves,0.32,88,0.296,0.142,2.4%,21.0%,9.3%,18.7%,44.7%,27.7%,0.85,27.8%,53.6%,18.6%,2.3,1.5%,10.6,30%,76%,43%
Chicago Cubs,0.31,83,0.286,0.138,2.3%,20.7%,7.5%,19.8%,45.0%,26.8%,0.85,27.8%,54.6%,17.6%,-9.9,-1.4%,-71.1,29%,68%,44%
Cincinnati Reds,0.326,91,0.296,0.159,2.8%,20.7%,7.9%,19.3%,42.1%,28.3%,0.77,26.3%,56.8%,16.9%,4.0,5.0%,-23.7,28%,76%,42%
Colorado Rockies,0.341,92,0.321,0.163,2.7%,19.6%,7.3%,20.7%,45.4%,25.1%,0.88,26.5%,56.8%,16.7%,-0.7,0.7%,22.8,32%,71%,45%
Houston Astros,0.307,81,0.288,0.135,2.4%,22.7%,7.7%,18.4%,45.0%,26.9%,0.86,28.1%,55.1%,16.8%,-13.6,-1.6%,-104.3,26%,70%,39%
Los Angeles Dodgers,0.312,89,0.298,0.122,1.9%,19.0%,7.9%,19.4%,45.0%,25.0%,0.87,25.4%,56.2%,18.4%,-3.2,-4.8%,-32.0,29%,70%,39%
Miami Marlins,0.311,81,0.289,0.138,2.3%,20.3%,8.0%,19.1%,43.7%,27.2%,0.82,26.9%,55.7%,17.4%,-7.8,-2.1%,-84.6,27%,78%,40%
Milwaukee Brewers,0.342,101,0.299,0.177,3.2%,19.9%,7.5%,17.8%,43.5%,27.5%,0.82,26.0%,55.8%,18.2%,6.6,-0.2%,71.5,32%,80%,38%
New York Mets,0.316,93,0.298,0.137,2.3%,20.5%,8.3%,19.3%,44.5%,27.2%,0.84,26.1%,56.4%,17.6%,-1.0,3.5%,-19.3,29%,68%,42%
Philadelphia Phillies,0.323,89,0.29,0.144,2.6%,17.7%,7.4%,18.0%,46.5%,25.6%,0.92,30.7%,52.4%,17.0%,-0.6,-1.6%,-9.0,29%,83%,40%
Pittsburgh Pirates,0.313,93,0.291,0.152,2.8%,22.5%,7.4%,16.9%,44.5%,28.8%,0.84,27.2%,55.4%,17.4%,-2.5,0.7%,-19.8,29%,58%,42%
San Diego Padres,0.319,99,0.297,0.133,2.0%,20.3%,8.8%,18.0%,47.1%,25.7%,0.95,25.8%,56.8%,17.4%,-0.3,-1.9%,-2.7,29%,77%,43%
San Francisco Giants,0.326,107,0.315,0.128,1.7%,17.7%,7.8%,20.0%,45.7%,25.2%,0.88,26.6%,54.1%,19.3%,9.1,5.6%,75.2,32%,75%,36%
St. Louis Cardinals,0.34,108,0.316,0.15,2.5%,18.8%,8.4%,20.5%,46.7%,24.6%,0.92,25.0%,56.3%,18.6%,4.4,2.6%,78.2,31%,71%,41%
Washington Nationals,0.335,101,0.308,0.166,3.1%,21.3%,7.7%,19.4%,44.7%,26.7%,0.85,27.3%,54.2%,18.6%,5.9,4.0%,37.4,29%,75%,38%
League Average,0.324,93,0.3,0.147,2.5%,20.2%,8.0%,19.1%,44.7%,26.7%,0.85,26.9%,55.4%,17.7%,-0.0,1%,-2.0,30%,73%,41%
,0.324,93,0.3,0.147,2.5%,20.2%,8.0%,19.1%,44.7%,26.7%,0.85,26.9%,55.4%,17.7%,-6.4,9.2%,-27.6,30%,73%,41%
