Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.33,96,0.294,0.163,2.8%,20.5%,8.7%,18.1%,40.6%,30.6%,0.71,28.0%,55.2%,16.8%,7.4,5.5%,64.4,31%,71%,43%
Atlanta Braves,0.316,88,0.284,0.144,2.8%,20.4%,8.2%,14.9%,44.8%,29.3%,0.86,31.3%,51.6%,17.1%,-3.4,-5.9%,-30.1,27%,64%,46%
Chicago Cubs,0.326,94,0.301,0.144,2.4%,19.6%,6.9%,20.2%,43.8%,26.4%,0.82,28.5%,54.8%,16.7%,0.5,0.3%,-12.0,28%,75%,35%
Cincinnati Reds,0.334,99,0.297,0.152,2.9%,19.8%,8.5%,19.5%,43.3%,27.3%,0.8,26.9%,56.2%,16.9%,4.0,1.2%,53.8,29%,66%,42%
Colorado Rockies,0.336,87,0.3,0.152,2.6%,19.1%,8.8%,19.3%,43.5%,26.7%,0.82,26.0%,56.7%,17.3%,-3.9,-1.1%,12.5,30%,74%,44%
Florida Marlins,0.321,91,0.291,0.142,2.4%,20.0%,8.7%,20.2%,43.0%,25.7%,0.8,27.1%,56.0%,16.9%,-5.4,-0.5%,-51.2,26%,70%,40%
Houston Astros,0.313,87,0.308,0.116,1.5%,18.9%,6.5%,20.0%,44.5%,25.3%,0.85,26.9%,56.2%,16.9%,-8.5,0.1%,-45.1,29%,78%,34%
Los Angeles Dodgers,0.317,93,0.299,0.118,1.9%,17.8%,8.2%,18.0%,43.8%,28.0%,0.83,23.9%,57.4%,18.7%,-2.6,-1.5%,1.1,29%,76%,43%
Milwaukee Brewers,0.338,102,0.293,0.164,3.0%,17.7%,7.9%,18.7%,44.7%,26.5%,0.85,28.6%,54.1%,17.3%,10.2,8.2%,57.0,30%,75%,41%
New York Mets,0.332,103,0.307,0.127,1.7%,17.1%,9.0%,19.3%,42.3%,29.0%,0.76,27.4%,55.6%,17.1%,6.1,0.9%,60.9,30%,79%,39%
Philadelphia Phillies,0.329,96,0.283,0.142,2.4%,16.3%,8.6%,18.5%,44.3%,28.0%,0.82,30.6%,52.6%,16.8%,2.2,0.3%,46.6,30%,80%,42%
Pittsburgh Pirates,0.309,89,0.301,0.123,1.8%,21.6%,8.1%,18.1%,44.3%,29.2%,0.84,28.1%,55.3%,16.7%,-3.0,-2.6%,-43.4,29%,68%,38%
San Diego Padres,0.302,84,0.294,0.112,1.5%,21.7%,8.3%,17.0%,45.7%,28.2%,0.88,26.2%,56.4%,17.4%,-13.0,-3.5%,-54.1,29%,79%,43%
San Francisco Giants,0.305,91,0.281,0.126,2.0%,18.4%,7.4%,16.7%,44.6%,27.4%,0.85,28.6%,54.8%,16.6%,-5.5,-6.4%,-76.2,26%,63%,41%
St. Louis Cardinals,0.342,112,0.305,0.151,2.6%,15.7%,8.7%,19.6%,46.6%,25.1%,0.92,25.4%,56.1%,18.5%,14.8,13.4%,104.9,30%,59%,43%
Washington Nationals,0.316,88,0.292,0.14,2.5%,21.7%,7.7%,17.7%,45.3%,26.5%,0.88,26.7%,54.3%,18.9%,-5.3,-2.0%,-40.0,27%,74%,40%
League Average,0.323,94,0.296,0.139,2.3%,19.1%,8.1%,18.5%,44.1%,27.4%,0.83,27.5%,55.2%,17.3%,-0.0,0%,3.0,29%,72%,41%
,0.323,94,0.296,0.139,2.3%,19.1%,8.1%,18.5%,44.1%,27.4%,0.83,27.5%,55.2%,17.3%,-5.2,6.4%,49.3,29%,72%,41%
