Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.333,93,0.3,0.147,2.6%,16.3%,8.3%,18.7%,44.4%,28.3%,0.81,26.7%,55.5%,17.8%,-8.5,-0.9%,-42.5,30%,67%,36%
Boston Red Sox,0.361,108,0.301,0.184,3.3%,17.7%,10.4%,18.0%,39.4%,33.9%,0.66,30.0%,54.0%,16.1%,6.0,3.9%,89.5,32%,76%,35%
Chicago White Sox,0.331,87,0.285,0.153,3.0%,16.7%,8.7%,17.7%,42.9%,29.7%,0.77,27.1%,57.3%,15.6%,-8.0,-5.5%,-65.0,29%,70%,38%
Cleveland Indians,0.341,105,0.308,0.153,2.6%,19.2%,9.2%,19.7%,43.7%,28.4%,0.8,28.8%,54.3%,16.9%,-4.7,-0.3%,9.3,31%,73%,38%
Detroit Tigers,0.334,93,0.294,0.156,2.9%,17.9%,8.7%,20.2%,41.7%,27.1%,0.75,28.3%,54.8%,16.9%,-1.6,-3.0%,-35.0,29%,69%,37%
Kansas City Royals,0.325,90,0.298,0.146,2.4%,17.9%,7.5%,17.6%,45.6%,28.2%,0.87,22.4%,61.7%,15.9%,-8.9,-2.0%,-79.1,30%,75%,38%
Los Angeles Angels of Anaheim,0.354,110,0.322,0.156,2.7%,16.7%,8.7%,17.2%,43.7%,29.8%,0.81,24.7%,58.7%,16.6%,11.8,9.8%,118.2,35%,70%,48%
Minnesota Twins,0.345,104,0.306,0.155,2.7%,16.1%,9.2%,16.5%,45.1%,28.6%,0.86,23.6%,58.6%,17.9%,2.8,7.3%,44.5,31%,73%,42%
New York Yankees,0.373,116,0.306,0.194,3.8%,15.7%,10.3%,20.3%,43.2%,28.4%,0.78,27.1%,56.2%,16.7%,12.6,6.8%,127.0,31%,80%,41%
Oakland Athletics,0.329,92,0.298,0.135,2.2%,16.7%,8.4%,20.1%,41.4%,28.5%,0.72,23.9%,57.3%,18.8%,-6.7,-3.5%,-15.5,32%,73%,39%
Seattle Mariners,0.319,90,0.293,0.144,2.6%,17.9%,6.9%,18.7%,43.6%,27.1%,0.81,27.9%,57.4%,14.7%,-5.2,-3.3%,-111.6,27%,73%,35%
Tampa Bay Rays,0.349,106,0.303,0.177,3.2%,19.8%,10.3%,21.6%,39.9%,29.0%,0.68,28.8%,54.5%,16.7%,2.3,0.6%,40.1,31%,76%,38%
Texas Rangers,0.342,94,0.296,0.185,3.7%,20.5%,7.7%,20.2%,39.8%,30.6%,0.68,27.0%,55.8%,17.3%,-0.2,0.6%,2.6,32%,81%,35%
Toronto Blue Jays,0.345,102,0.29,0.174,3.3%,16.2%,8.6%,19.5%,38.7%,31.8%,0.64,27.1%,58.2%,14.7%,-4.1,-2.2%,12.2,30%,76%,40%
League Average,0.342,100,0.3,0.161,2.9%,17.5%,8.8%,19.0%,42.4%,29.3%,0.76,26.6%,56.8%,16.6%,-1.0,1%,7.0,31%,74%,39%
,0.342,100,0.3,0.161,2.9%,17.5%,8.8%,19.0%,42.4%,29.3%,0.76,26.6%,56.8%,16.6%,-12.5,8.2%,94.9,31%,74%,39%
