Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.337,92,0.285,0.165,3.0%,17.3%,9.6%,17.1%,44.6%,27.9%,0.85,30.3%,52.2%,17.5%,-4.6,-2.5%,-51.9,26%,72%,38%
Atlanta Braves,0.344,98,0.298,0.17,3.0%,17.5%,8.6%,17.0%,43.5%,29.5%,0.82,26.9%,52.4%,20.7%,7.2,5.6%,40.9,31%,74%,41%
Chicago Cubs,0.34,94,0.291,0.17,3.2%,14.9%,6.8%,17.8%,43.5%,26.9%,0.82,29.4%,51.3%,19.3%,-3.9,-1.3%,-38.9,28%,63%,40%
Cincinnati Reds,0.35,104,0.302,0.185,3.5%,20.6%,9.7%,20.6%,43.4%,27.1%,0.8,26.9%,55.0%,18.1%,5.5,-0.3%,88.3,31%,76%,40%
Colorado Rockies,0.339,86,0.307,0.144,2.4%,17.7%,8.2%,20.1%,43.1%,25.8%,0.8,24.9%,54.1%,20.9%,-5.5,-0.3%,-22.8,31%,67%,43%
Florida Marlins,0.335,100,0.304,0.137,2.1%,14.8%,8.2%,19.2%,42.8%,25.8%,0.8,26.4%,53.8%,19.8%,-1.1,-2.9%,8.7,30%,72%,36%
Houston Astros,0.33,88,0.288,0.152,2.6%,16.9%,7.8%,15.3%,42.9%,28.7%,0.8,29.2%,52.8%,18.0%,-7.5,-2.2%,-37.1,29%,72%,36%
Los Angeles Dodgers,0.326,90,0.29,0.142,2.4%,17.8%,8.8%,19.1%,43.1%,27.2%,0.79,27.9%,53.7%,18.5%,-4.2,-1.0%,-39.8,29%,62%,35%
Milwaukee Brewers,0.338,96,0.298,0.163,2.8%,18.9%,8.6%,20.1%,42.4%,27.4%,0.77,26.1%,53.5%,20.4%,-1.1,-2.3%,-2.2,30%,70%,41%
New York Mets,0.335,95,0.29,0.158,2.9%,17.5%,7.9%,16.6%,44.3%,28.3%,0.84,26.4%,55.7%,18.0%,-0.8,-2.3%,8.6,31%,79%,41%
Philadelphia Phillies,0.348,96,0.306,0.154,2.6%,17.1%,10.1%,20.9%,40.7%,27.5%,0.72,28.4%,53.7%,17.9%,2.0,0.8%,70.8,31%,81%,37%
Pittsburgh Pirates,0.33,91,0.297,0.141,2.2%,17.6%,7.6%,17.8%,44.9%,28.1%,0.85,28.0%,54.4%,17.5%,-9.1,-3.1%,-50.7,29%,71%,37%
San Diego Padres,0.329,99,0.289,0.134,2.1%,15.6%,9.6%,19.3%,41.3%,27.7%,0.74,29.4%,51.8%,18.8%,-2.2,0.5%,-20.5,28%,69%,37%
San Francisco Giants,0.323,84,0.29,0.135,2.1%,14.8%,7.1%,18.9%,42.9%,26.7%,0.8,28.6%,54.8%,16.7%,-5.0,-0.2%,-87.2,29%,67%,40%
St. Louis Cardinals,0.344,99,0.297,0.153,2.7%,15.2%,8.6%,19.5%,44.7%,26.0%,0.85,27.6%,52.4%,19.9%,6.6,2.5%,75.2,33%,70%,41%
Washington Nationals,0.317,87,0.293,0.134,1.9%,17.8%,8.0%,18.9%,44.5%,25.6%,0.85,25.5%,55.2%,19.3%,-9.2,-9.9%,-81.9,28%,50%,42%
League Average,0.335,94,0.295,0.152,2.6%,17.0%,8.5%,18.6%,43.3%,27.3%,0.81,27.6%,53.5%,18.8%,-2.0,-1%,-9.0,30%,71%,39%
,0.335,94,0.295,0.152,2.6%,17.0%,8.5%,18.6%,43.3%,27.3%,0.81,27.6%,53.5%,18.8%,-32.8,-19.0%,-140.4,30%,71%,39%
