Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.331,84,0.299,0.164,2.6%,20.9%,9.5%,19.1%,38.9%,31.0%,0.66,26.2%,56.3%,17.4%,-2.3,-4.0%,-32.3,30%,72%,40%
Atlanta Braves,0.341,101,0.309,0.138,2.0%,16.1%,9.7%,18.0%,43.5%,28.8%,0.81,25.1%,57.0%,17.8%,-3.4,-2.8%,25.1,30%,68%,39%
Chicago Cubs,0.356,102,0.321,0.165,2.9%,18.6%,10.0%,19.1%,42.0%,30.4%,0.76,24.4%,57.1%,18.5%,8.2,5.2%,107.6,32%,72%,37%
Cincinnati Reds,0.327,86,0.278,0.161,3.0%,18.2%,9.1%,19.0%,43.1%,26.2%,0.81,27.0%,57.5%,15.5%,-1.8,-0.3%,-37.2,29%,64%,36%
Colorado Rockies,0.343,89,0.308,0.152,2.5%,19.2%,9.0%,20.4%,41.8%,28.0%,0.76,24.6%,58.9%,16.5%,-3.4,-2.1%,-20.4,30%,79%,46%
Florida Marlins,0.338,95,0.3,0.179,3.4%,22.1%,8.8%,19.5%,41.2%,28.5%,0.73,29.7%,54.7%,15.6%,7.5,3.6%,40.0,31%,73%,36%
Houston Astros,0.329,93,0.296,0.152,2.8%,17.4%,7.4%,15.4%,44.9%,29.2%,0.86,25.8%,57.1%,17.2%,5.0,0.6%,-3.6,31%,69%,38%
Los Angeles Dodgers,0.331,92,0.301,0.134,2.2%,16.7%,8.8%,18.2%,46.2%,27.4%,0.9,24.2%,58.6%,17.2%,-3.3,0.0%,-29.6,29%,75%,44%
Milwaukee Brewers,0.341,100,0.287,0.179,3.2%,19.2%,8.8%,16.6%,41.5%,30.4%,0.74,29.6%,54.0%,16.4%,5.4,4.5%,17.6,30%,74%,43%
New York Mets,0.344,101,0.296,0.154,2.7%,16.0%,9.7%,21.0%,45.7%,23.6%,0.89,26.2%,58.7%,15.1%,7.1,8.5%,63.9,32%,79%,37%
Philadelphia Phillies,0.346,97,0.283,0.182,3.4%,17.8%,9.3%,18.8%,41.6%,28.3%,0.75,30.5%,54.1%,15.4%,3.9,5.1%,62.4,31%,84%,41%
Pittsburgh Pirates,0.326,92,0.29,0.145,2.4%,16.6%,7.6%,19.2%,41.6%,29.4%,0.75,27.5%,56.5%,15.9%,-0.5,0.9%,-0.3,31%,75%,41%
San Diego Padres,0.318,97,0.294,0.14,2.5%,20.2%,8.3%,20.3%,42.1%,28.3%,0.75,25.8%,58.2%,16.0%,-12.3,-3.7%,-72.6,26%,68%,37%
San Francisco Giants,0.32,81,0.305,0.12,1.5%,17.0%,7.4%,18.1%,47.3%,25.9%,0.94,24.5%,59.3%,16.2%,-8.3,-3.8%,-104.2,29%,70%,40%
St. Louis Cardinals,0.349,106,0.312,0.152,2.7%,15.5%,9.1%,20.9%,43.5%,25.9%,0.8,24.4%,58.4%,17.2%,5.9,3.9%,46.1,29%,70%,38%
Washington Nationals,0.32,86,0.292,0.122,1.9%,17.7%,8.6%,19.0%,46.5%,24.5%,0.92,26.0%,57.3%,16.7%,-10.8,-2.1%,-92.9,28%,65%,36%
League Average,0.335,94,0.298,0.152,2.6%,18.1%,8.8%,18.9%,43.3%,27.8%,0.8,26.3%,57.1%,16.6%,-0.0,1%,-2.0,30%,73%,39%
,0.335,94,0.298,0.152,2.6%,18.1%,8.8%,18.9%,43.3%,27.8%,0.8,26.3%,57.1%,16.6%,-3.0,13.6%,-30.4,30%,73%,39%
