Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Anaheim Angels,0.362,102,0.303,0.193,3.7%,16.1%,9.5%,26.2%,37.5%,30.1%,0.62,31.3%,47.6%,21.1%,0.6,0.2%,0.0,31%,64%,46%
Baltimore Orioles,0.348,100,0.293,0.163,3.0%,14.4%,9.0%,25.9%,39.2%,28.7%,0.66,28.8%,51.6%,19.6%,-4.5,0.6%,-39.1,31%,66%,45%
Boston Red Sox,0.343,88,0.297,0.156,2.6%,16.0%,9.6%,25.5%,38.3%,30.1%,0.63,29.9%,50.3%,19.8%,-11.4,-10.5%,-79.4,31%,59%,38%
Chicago White Sox,0.369,106,0.309,0.184,3.4%,15.0%,9.2%,24.6%,38.7%,28.8%,0.66,30.3%,49.4%,20.3%,5.5,3.2%,117.4,37%,74%,46%
Cleveland Indians,0.377,112,0.318,0.182,3.4%,16.2%,10.5%,25.7%,40.1%,27.4%,0.69,29.1%,49.6%,21.3%,5.6,5.8%,96.9,33%,77%,41%
Detroit Tigers,0.35,102,0.303,0.163,2.8%,15.5%,8.9%,27.1%,37.6%,28.3%,0.62,29.4%,51.3%,19.3%,-4.3,-2.7%,-10.9,32%,69%,43%
Kansas City Royals,0.354,94,0.312,0.138,2.4%,13.1%,8.0%,26.7%,42.0%,25.1%,0.75,26.4%,52.4%,21.2%,3.5,1.9%,11.5,35%,78%,41%
Minnesota Twins,0.339,84,0.309,0.137,1.9%,16.3%,8.9%,27.3%,44.1%,23.6%,0.8,24.9%,53.0%,22.1%,-10.5,-1.7%,-128.1,31%,67%,44%
New York Yankees,0.359,103,0.304,0.173,3.3%,16.0%,10.0%,25.7%,41.0%,28.6%,0.7,29.1%,51.4%,19.5%,3.1,5.9%,35.2,32%,67%,38%
Oakland Athletics,0.367,111,0.3,0.188,3.7%,18.0%,11.7%,25.3%,38.4%,30.5%,0.63,29.4%,50.0%,20.6%,8.3,9.7%,118.0,33%,73%,41%
Seattle Mariners,0.362,111,0.299,0.172,3.1%,16.7%,12.0%,25.9%,38.6%,29.1%,0.65,27.6%,50.7%,21.7%,0.9,1.7%,83.8,33%,69%,41%
Tampa Bay Devil Rays,0.331,85,0.287,0.142,2.6%,16.5%,9.0%,24.3%,40.0%,28.0%,0.69,31.7%,51.0%,17.3%,-10.3,-0.8%,-111.5,30%,66%,40%
Texas Rangers,0.358,101,0.31,0.163,2.7%,14.5%,9.1%,26.5%,39.3%,28.3%,0.66,27.8%,51.5%,20.7%,-0.7,1.0%,-10.1,32%,59%,44%
Toronto Blue Jays,0.361,100,0.297,0.194,3.9%,16.2%,8.3%,26.1%,39.3%,28.1%,0.66,31.8%,50.3%,18.0%,-0.6,-1.0%,0.0,32%,72%,37%
League Average,0.356,100,0.303,0.168,3.0%,15.7%,9.6%,25.9%,39.6%,28.2%,0.67,29.1%,50.7%,20.2%,-1.0,1%,6.0,32%,69%,42%
,0.356,100,0.303,0.168,3.0%,15.7%,9.6%,25.9%,39.6%,28.2%,0.67,29.1%,50.7%,20.2%,-14.7,13.1%,83.8,32%,69%,42%
