Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.313,89,0.282,0.15,2.6%,20.6%,8.1%,87.6,35.8%,27.8%,43.7%,20.4%,0.79,31.3%,53.0%,15.7%,-2.3,-1.8%,-11.7,32%,77%,48%
Atlanta Braves,0.364,117,0.322,0.215,4.4%,24.5%,10.2%,89.4,43.0%,31.2%,39.0%,22.8%,0.64,30.7%,51.6%,17.7%,1.9,1.3%,52.3,34%,85%,46%
Chicago Cubs,0.319,93,0.27,0.167,3.3%,25.7%,10.3%,88.5,40.4%,26.4%,46.5%,19.1%,0.88,29.6%,55.9%,14.5%,-2.9,-0.6%,-20.1,30%,71%,53%
Cincinnati Reds,0.319,83,0.245,0.191,4.2%,25.2%,11.3%,87.9,37.5%,26.9%,41.0%,26.5%,0.7,31.6%,52.8%,15.6%,-3.3,-2.4%,-40.4,26%,76%,40%
Colorado Rockies,0.317,77,0.316,0.148,2.8%,24.1%,7.1%,86.1,31.9%,28.9%,40.6%,21.4%,0.7,27.1%,53.5%,19.4%,-4.0,-2.5%,-33.9,33%,82%,51%
Los Angeles Dodgers,0.358,120,0.276,0.227,5.1%,20.3%,9.8%,89.6,44.3%,29.3%,39.2%,24.7%,0.65,31.8%,51.5%,16.8%,5.9,0.6%,58.6,35%,78%,41%
Miami Marlins,0.32,92,0.306,0.141,2.8%,24.8%,8.8%,86.9,34.7%,26.4%,47.7%,18.8%,0.93,27.5%,53.9%,18.6%,-2.0,-1.1%,-13.0,32%,78%,42%
Milwaukee Brewers,0.312,86,0.278,0.166,3.4%,26.6%,10.1%,88.0,37.0%,31.4%,44.0%,17.8%,0.79,28.3%,55.6%,16.1%,-5.3,-6.3%,-42.9,28%,58%,35%
New York Mets,0.352,121,0.32,0.187,3.8%,21.9%,8.6%,88.2,37.4%,28.6%,46.2%,18.5%,0.86,27.5%,54.7%,17.8%,-1.1,-0.6%,7.3,28%,67%,33%
Philadelphia Phillies,0.347,111,0.299,0.183,3.7%,21.6%,10.3%,87.3,37.9%,27.5%,41.3%,21.6%,0.73,29.1%,52.9%,18.0%,2.5,1.9%,31.2,33%,81%,45%
Pittsburgh Pirates,0.285,71,0.268,0.137,2.8%,24.4%,7.8%,87.7,37.2%,26.7%,46.9%,19.7%,0.9,26.7%,55.9%,17.4%,-7.5,-2.6%,-69.4,29%,59%,37%
San Diego Padres,0.348,118,0.291,0.209,4.3%,21.5%,9.1%,88.9,42.4%,29.8%,43.4%,19.0%,0.79,29.8%,53.8%,16.5%,5.3,3.0%,50.0,35%,81%,43%
San Francisco Giants,0.344,115,0.311,0.187,3.6%,22.1%,8.6%,88.5,39.6%,29.6%,40.7%,22.0%,0.69,30.6%,52.2%,17.1%,1.0,-0.4%,16.7,32%,70%,34%
St. Louis Cardinals,0.31,93,0.29,0.137,2.5%,23.7%,10.2%,87.0,34.9%,28.6%,42.2%,21.0%,0.74,30.1%,53.8%,16.2%,-2.4,-1.8%,-14.3,31%,64%,45%
Washington Nationals,0.336,106,0.308,0.17,3.0%,20.3%,8.7%,87.0,35.5%,29.3%,43.7%,19.7%,0.79,26.4%,55.1%,18.5%,-3.6,-2.7%,12.1,33%,73%,34%
League Average,0.33,100,0.293,0.175,3.5%,23.1%,9.3%,87.9,38.0%,28.6%,43.0%,20.9%,0.77,29.2%,53.7%,17.1%,-1.0,-1%,-1.0,31%,75%,42%
,0.33,100,0.293,0.175,3.5%,23.1%,9.3%,87.9,38.0%,28.6%,43.0%,20.9%,0.77,29.2%,53.7%,17.1%,-17.8,-16.0%,-17.5,31%,75%,42%
