Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.319,91,0.296,0.127,2.2%,17.3%,6.9%,17.5%,45.2%,28.2%,0.85,25.5%,57.1%,17.4%,-7.6,-1.3%,-102.8,26%,69%,36%
Boston Red Sox,0.353,109,0.299,0.183,3.3%,17.9%,9.2%,18.6%,39.4%,33.0%,0.66,27.8%,56.0%,16.2%,7.4,2.5%,82.5,31%,80%,38%
Chicago White Sox,0.34,102,0.292,0.152,2.9%,15.1%,7.6%,17.5%,44.6%,27.5%,0.85,27.3%,57.1%,15.6%,4.3,2.5%,28.8,31%,68%,42%
Cleveland Indians,0.32,97,0.293,0.13,2.1%,19.2%,8.8%,18.3%,44.1%,28.6%,0.82,29.2%,54.5%,16.3%,-6.1,-0.9%,-48.0,28%,73%,36%
Detroit Tigers,0.339,103,0.311,0.147,2.4%,18.2%,8.7%,21.5%,42.8%,26.0%,0.78,26.9%,55.1%,17.9%,3.2,1.2%,32.2,31%,70%,40%
Kansas City Royals,0.331,99,0.305,0.126,2.0%,14.6%,7.6%,18.8%,43.7%,28.2%,0.81,23.7%,60.9%,15.4%,-5.7,-0.6%,-38.9,28%,70%,35%
Los Angeles Angels of Anaheim,0.319,94,0.281,0.142,2.6%,17.6%,7.7%,16.0%,44.9%,30.3%,0.86,24.2%,59.6%,16.1%,-6.7,-2.3%,-27.1,30%,67%,45%
Minnesota Twins,0.342,109,0.306,0.148,2.3%,15.5%,8.9%,17.6%,45.8%,29.0%,0.87,24.0%,59.4%,16.7%,8.2,8.8%,76.9,31%,71%,41%
New York Yankees,0.354,109,0.3,0.169,3.2%,17.8%,10.4%,18.7%,44.3%,28.7%,0.82,26.0%,57.8%,16.1%,9.1,7.1%,130.2,32%,77%,38%
Oakland Athletics,0.326,94,0.297,0.122,1.8%,17.4%,8.6%,21.0%,41.5%,27.2%,0.73,25.5%,57.7%,16.7%,-6.4,-3.5%,-40.9,29%,80%,44%
Seattle Mariners,0.296,79,0.282,0.104,1.7%,19.8%,7.7%,19.7%,43.6%,26.0%,0.81,24.3%,58.6%,17.1%,-18.3,-2.8%,-183.2,24%,78%,36%
Tampa Bay Rays,0.337,106,0.293,0.156,2.6%,20.6%,10.7%,18.5%,41.2%,30.4%,0.73,29.6%,54.8%,15.6%,7.4,5.9%,104.7,33%,79%,45%
Texas Rangers,0.342,98,0.307,0.143,2.6%,15.7%,8.1%,18.1%,44.6%,28.4%,0.84,23.6%,59.0%,17.4%,3.1,2.5%,47.4,31%,72%,42%
Toronto Blue Jays,0.341,103,0.269,0.206,4.2%,19.2%,7.8%,18.3%,39.4%,31.3%,0.66,28.7%,57.4%,13.8%,2.4,0.5%,36.3,30%,74%,36%
League Average,0.333,99,0.295,0.147,2.6%,17.5%,8.5%,18.6%,43.2%,28.8%,0.79,26.1%,57.5%,16.3%,-0.0,1%,7.0,30%,74%,40%
,0.333,99,0.295,0.147,2.6%,17.5%,8.5%,18.6%,43.2%,28.8%,0.79,26.1%,57.5%,16.3%,-5.6,19.7%,97.9,30%,74%,40%
