Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.337,87,0.294,0.157,2.5%,15.2%,8.0%,18.1%,43.3%,27.9%,0.79,27.1%,54.7%,18.2%,-8.1,-5.5%,-37.4,32%,72%,41%
Atlanta Braves,0.349,101,0.304,0.184,3.5%,18.6%,8.4%,19.0%,42.3%,29.5%,0.77,26.7%,52.7%,20.7%,3.8,0.0%,73.5,33%,60%,42%
Chicago Cubs,0.332,86,0.294,0.154,2.7%,15.1%,6.4%,17.7%,46.2%,25.4%,0.92,24.6%,56.4%,19.0%,-8.1,-2.2%,-77.9,31%,71%,41%
Cincinnati Reds,0.34,90,0.29,0.175,3.5%,18.9%,9.8%,19.9%,42.6%,26.9%,0.78,27.7%,54.7%,17.6%,-0.1,-1.8%,-46.5,28%,79%,40%
Colorado Rockies,0.343,88,0.31,0.163,2.5%,17.5%,8.8%,20.1%,42.2%,27.5%,0.78,25.6%,53.5%,20.8%,-6.3,-8.6%,-2.5,33%,63%,43%
Florida Marlins,0.338,99,0.309,0.171,2.9%,20.2%,8.0%,17.9%,42.9%,28.2%,0.8,27.8%,52.6%,19.6%,1.3,-0.2%,3.9,31%,65%,41%
Houston Astros,0.329,87,0.286,0.154,2.8%,17.0%,9.3%,16.2%,42.3%,29.3%,0.78,26.8%,53.8%,19.4%,-7.2,-7.7%,-59.3,29%,69%,44%
Los Angeles Dodgers,0.348,99,0.307,0.157,2.4%,15.0%,9.4%,18.4%,43.9%,28.3%,0.82,27.3%,54.1%,18.5%,0.2,2.1%,32.1,32%,72%,39%
Milwaukee Brewers,0.332,89,0.3,0.162,2.9%,20.1%,8.2%,19.7%,42.2%,27.9%,0.76,25.9%,54.9%,19.2%,-1.4,-0.7%,-43.3,30%,66%,43%
New York Mets,0.346,99,0.293,0.181,3.2%,17.0%,8.7%,17.6%,42.5%,28.8%,0.78,27.1%,54.2%,18.7%,7.7,2.7%,63.3,34%,81%,41%
Philadelphia Phillies,0.353,99,0.302,0.18,3.3%,18.5%,9.6%,19.2%,42.7%,28.2%,0.77,30.5%,51.8%,17.7%,4.1,2.7%,65.7,31%,79%,43%
Pittsburgh Pirates,0.325,86,0.31,0.134,2.3%,19.3%,7.4%,19.4%,43.7%,26.9%,0.81,26.6%,54.5%,18.9%,-12.7,-1.6%,-84.4,29%,75%,37%
San Diego Padres,0.336,100,0.299,0.154,2.6%,17.6%,9.0%,18.4%,41.5%,30.4%,0.74,27.4%,52.4%,20.2%,-2.1,-1.3%,-23.3,29%,80%,41%
San Francisco Giants,0.33,88,0.282,0.163,2.7%,14.5%,8.1%,17.2%,42.8%,28.3%,0.78,29.7%,55.9%,14.4%,-2.8,-1.7%,-26.6,31%,70%,35%
St. Louis Cardinals,0.339,96,0.292,0.163,3.0%,14.8%,8.5%,20.0%,44.0%,25.7%,0.82,28.9%,53.3%,17.8%,1.6,3.8%,11.9,31%,65%,43%
Washington Nationals,0.334,98,0.301,0.156,2.6%,18.4%,9.5%,20.1%,42.2%,27.1%,0.77,26.6%,53.3%,20.1%,2.7,-1.0%,-12.7,30%,66%,44%
League Average,0.338,93,0.298,0.163,2.8%,17.4%,8.6%,18.7%,43.0%,27.9%,0.79,27.3%,53.9%,18.8%,-2.0,-1%,-10.0,31%,71%,41%
,0.338,93,0.298,0.163,2.8%,17.4%,8.6%,18.7%,43.0%,27.9%,0.79,27.3%,53.9%,18.8%,-27.4,-21.0%,-163.3,31%,71%,41%
