Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.333,83,0.295,0.153,2.4%,16.1%,8.5%,20.5%,44.4%,24.8%,0.84,29.7%,50.2%,20.1%,-11.1,-9.1%,-61.3,29%,67%,37%
Atlanta Braves,0.366,113,0.302,0.192,3.7%,14.6%,8.5%,17.2%,44.0%,28.9%,0.82,31.1%,50.2%,18.7%,13.6,6.3%,165.2,34%,76%,42%
Chicago Cubs,0.335,91,0.297,0.157,2.8%,18.7%,8.0%,19.1%,44.7%,26.4%,0.85,30.2%,50.0%,19.8%,-4.9,-1.1%,-28.7,30%,70%,36%
Cincinnati Reds,0.323,89,0.289,0.15,2.9%,21.4%,8.4%,21.7%,42.5%,24.8%,0.78,28.1%,50.5%,21.4%,-1.2,1.3%,-41.4,28%,70%,44%
Colorado Rockies,0.355,94,0.302,0.179,3.2%,18.1%,9.9%,19.1%,44.5%,26.9%,0.84,28.9%,50.9%,20.2%,2.0,1.9%,67.2,34%,63%,47%
Florida Marlins,0.338,97,0.296,0.155,2.5%,15.8%,8.3%,17.9%,45.2%,25.2%,0.89,28.4%,50.9%,20.7%,-2.1,0.9%,12.5,31%,67%,40%
Houston Astros,0.346,97,0.289,0.169,3.0%,16.2%,8.8%,15.8%,45.3%,28.5%,0.86,31.4%,49.7%,18.9%,-2.8,-4.5%,46.0,32%,69%,40%
Los Angeles Dodgers,0.306,77,0.275,0.125,2.1%,16.3%,6.7%,18.2%,46.3%,23.9%,0.93,29.2%,50.7%,20.2%,-16.6,-11.4%,-159.3,26%,69%,38%
Milwaukee Brewers,0.338,96,0.294,0.163,3.1%,19.5%,8.7%,19.4%,45.6%,25.1%,0.89,28.0%,50.7%,21.3%,-1.2,-1.1%,-37.1,28%,72%,36%
Montreal Expos,0.329,82,0.29,0.143,2.4%,16.2%,8.5%,17.8%,49.4%,22.9%,1.03,26.9%,51.6%,21.5%,-3.4,-2.1%,-47.2,30%,72%,40%
New York Mets,0.315,80,0.282,0.128,2.1%,17.2%,8.1%,17.0%,46.4%,25.9%,0.93,29.0%,49.3%,21.6%,-10.5,-1.0%,-86.3,29%,69%,41%
Philadelphia Phillies,0.342,104,0.301,0.158,2.6%,18.2%,10.3%,22.1%,44.2%,25.0%,0.82,28.2%,50.2%,21.6%,2.5,3.0%,74.1,31%,71%,37%
Pittsburgh Pirates,0.343,95,0.302,0.153,2.6%,16.6%,8.4%,17.3%,44.2%,27.1%,0.84,28.9%,51.4%,19.7%,-2.8,-2.7%,-0.5,30%,70%,39%
San Diego Padres,0.327,97,0.301,0.127,2.1%,17.2%,9.1%,19.3%,45.7%,26.0%,0.88,27.4%,49.9%,22.7%,-3.6,-0.9%,-42.0,28%,66%,39%
San Francisco Giants,0.341,98,0.291,0.161,2.9%,15.8%,9.6%,19.2%,42.3%,26.4%,0.78,30.3%,51.0%,18.8%,6.1,3.2%,23.0,30%,59%,37%
St. Louis Cardinals,0.358,112,0.302,0.175,3.0%,14.7%,9.0%,20.4%,42.1%,26.7%,0.77,29.3%,49.5%,21.2%,8.8,3.7%,128.5,33%,72%,41%
League Average,0.337,94,0.294,0.156,2.7%,17.0%,8.7%,18.9%,44.8%,25.9%,0.86,29.1%,50.4%,20.5%,-2.0,-1%,1.0,30%,69%,40%
,0.337,94,0.294,0.156,2.7%,17.0%,8.7%,18.9%,44.8%,25.9%,0.86,29.1%,50.4%,20.5%,-27.0,-13.7%,12.6,30%,69%,40%
