Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.308,85,0.295,0.146,2.3%,23.8%,8.7%,86.9,35.8%,23.6%,42.5%,25.0%,0.76,29.2%,52.3%,18.5%,-10.5,-1.1%,-68.2,30%,73%,43%
Atlanta Braves,0.33,96,0.288,0.191,4.0%,24.0%,9.1%,88.7,40.9%,24.1%,40.1%,27.9%,0.68,29.5%,54.3%,16.2%,0.2,1.2%,51.8,33%,76%,44%
Chicago Cubs,0.32,93,0.296,0.171,3.5%,26.7%,8.4%,87.7,39.0%,21.7%,44.2%,25.7%,0.82,29.2%,53.5%,17.3%,-4.1,-4.3%,-26.3,30%,70%,40%
Cincinnati Reds,0.334,94,0.296,0.182,3.6%,23.1%,9.0%,87.6,38.2%,24.0%,41.8%,26.6%,0.74,30.1%,52.4%,17.5%,-4.2,-4.2%,9.4,31%,60%,35%
Colorado Rockies,0.323,82,0.299,0.165,3.0%,22.6%,8.2%,86.5,36.2%,22.7%,44.0%,25.3%,0.82,25.0%,56.0%,19.0%,-3.9,-1.2%,-35.7,32%,77%,45%
Los Angeles Dodgers,0.335,100,0.284,0.185,3.8%,22.6%,9.8%,88.9,40.4%,22.8%,40.0%,29.8%,0.68,29.9%,53.6%,16.6%,2.3,0.7%,72.3,33%,79%,39%
Miami Marlins,0.3,78,0.296,0.139,2.7%,26.2%,7.6%,87.3,37.2%,22.9%,45.3%,23.5%,0.85,26.6%,54.7%,18.7%,-14.7,-4.5%,-115.6,28%,79%,41%
Milwaukee Brewers,0.319,92,0.283,0.163,3.2%,24.0%,9.6%,87.8,38.4%,23.0%,43.3%,25.8%,0.78,29.1%,53.4%,17.5%,-1.6,-0.7%,-1.1,31%,80%,42%
New York Mets,0.315,94,0.291,0.152,3.0%,23.8%,8.5%,87.4,38.0%,23.1%,43.5%,25.2%,0.79,28.1%,53.7%,18.1%,-9.6,-7.0%,-65.7,28%,68%,37%
Philadelphia Phillies,0.323,95,0.286,0.168,3.3%,23.0%,9.3%,87.0,37.1%,23.4%,43.8%,23.7%,0.82,28.0%,53.0%,19.0%,1.8,-1.0%,3.7,31%,80%,41%
Pittsburgh Pirates,0.301,80,0.29,0.128,2.1%,22.2%,8.8%,86.6,34.4%,24.2%,44.8%,23.4%,0.84,27.2%,55.7%,17.1%,-10.1,-3.4%,-118.4,28%,67%,36%
San Diego Padres,0.32,101,0.287,0.159,2.9%,21.6%,9.6%,88.5,40.8%,24.0%,45.0%,22.0%,0.84,27.4%,55.4%,17.2%,-4.3,-2.0%,5.1,31%,74%,41%
San Francisco Giants,0.339,108,0.295,0.191,3.9%,23.6%,9.7%,87.8,38.9%,23.4%,39.5%,28.7%,0.67,30.2%,53.1%,16.7%,7.8,6.5%,64.0,31%,83%,38%
St. Louis Cardinals,0.322,99,0.287,0.168,3.3%,22.4%,8.0%,87.8,37.5%,22.8%,40.5%,28.2%,0.7,29.5%,53.8%,16.7%,0.7,-1.5%,-1.2,30%,80%,43%
Washington Nationals,0.335,109,0.307,0.159,3.0%,21.3%,9.4%,87.6,39.4%,24.2%,47.0%,21.9%,0.92,26.4%,55.7%,17.9%,-1.9,-1.1%,13.5,29%,68%,36%
League Average,0.322,94,0.292,0.165,3.2%,23.4%,8.9%,87.6,38.1%,23.3%,43.0%,25.5%,0.78,28.4%,54.1%,17.6%,-3.0,-2%,-14.0,30%,75%,40%
,0.322,94,0.292,0.165,3.2%,23.4%,8.9%,87.6,38.1%,23.3%,43.0%,25.5%,0.78,28.4%,54.1%,17.6%,-52.3,-23.6%,-212.4,30%,75%,40%
