Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.332,96,0.316,0.15,2.5%,20.9%,7.8%,89.0,39.2%,29.1%,47.1%,16.1%,0.94,24.9%,54.5%,20.6%,-2.0,-1.1%,24.2,30%,75%,40%
Atlanta Braves,0.306,86,0.297,0.108,1.7%,18.4%,7.8%,87.1,34.3%,25.7%,48.9%,17.6%,1.01,25.9%,53.5%,20.6%,-6.9,-2.6%,-84.4,26%,68%,40%
Chicago Cubs,0.323,97,0.305,0.154,2.8%,24.5%,9.2%,88.4,38.2%,26.5%,42.9%,22.2%,0.78,29.6%,52.0%,18.4%,5.0,1.6%,28.3,28%,72%,45%
Cincinnati Reds,0.319,91,0.29,0.146,2.7%,20.3%,8.0%,87.0,32.0%,29.1%,43.0%,19.5%,0.79,26.3%,53.7%,20.0%,-11.1,-2.4%,-41.9,27%,78%,33%
Colorado Rockies,0.332,86,0.313,0.167,3.1%,21.1%,6.4%,88.7,39.5%,29.4%,44.2%,17.3%,0.82,25.4%,55.3%,19.3%,2.3,0.0%,18.5,32%,69%,46%
Los Angeles Dodgers,0.329,106,0.292,0.163,3.1%,20.7%,9.2%,88.9,40.5%,28.4%,43.4%,19.5%,0.8,27.8%,54.0%,18.2%,2.9,2.2%,17.3,27%,63%,37%
Miami Marlins,0.311,90,0.307,0.124,2.0%,19.2%,6.3%,88.6,37.0%,25.1%,51.3%,15.4%,1.13,23.4%,54.5%,22.1%,-3.7,-1.6%,-39.1,28%,71%,39%
Milwaukee Brewers,0.314,88,0.303,0.142,2.4%,21.6%,6.8%,88.4,37.9%,27.1%,47.2%,17.8%,0.93,24.0%,52.6%,23.4%,-6.8,-1.7%,-17.9,30%,74%,43%
New York Mets,0.32,97,0.287,0.156,2.9%,21.0%,7.9%,89.2,39.2%,27.4%,42.3%,21.8%,0.75,27.8%,52.7%,19.5%,0.2,-0.2%,22.4,29%,67%,40%
Philadelphia Phillies,0.311,90,0.299,0.133,2.2%,21.1%,6.4%,87.6,34.3%,28.0%,45.1%,18.0%,0.87,28.7%,54.0%,17.2%,-6.3,-2.1%,-39.5,29%,73%,38%
Pittsburgh Pirates,0.323,96,0.314,0.136,2.2%,21.0%,7.3%,88.7,39.9%,26.5%,47.2%,18.7%,0.94,26.3%,55.1%,18.6%,1.7,0.5%,19.1,29%,69%,41%
San Diego Padres,0.31,91,0.292,0.142,2.5%,22.1%,7.1%,88.1,37.2%,25.9%,44.5%,20.3%,0.84,28.4%,53.1%,18.5%,-3.7,-1.6%,-11.0,30%,74%,42%
San Francisco Giants,0.328,100,0.313,0.139,2.2%,18.8%,7.4%,87.9,36.8%,27.7%,47.8%,18.1%,0.95,25.1%,54.0%,20.9%,-0.5,-3.1%,27.7,30%,72%,41%
St. Louis Cardinals,0.321,93,0.303,0.142,2.2%,20.6%,8.2%,88.4,38.8%,26.0%,46.4%,19.7%,0.89,27.6%,52.6%,19.8%,-1.4,1.2%,-25.0,27%,64%,39%
Washington Nationals,0.326,96,0.3,0.151,2.9%,22.0%,8.8%,89.7,43.3%,27.2%,47.1%,17.2%,0.93,26.1%,53.0%,20.9%,0.4,-0.6%,34.2,29%,71%,38%
League Average,0.32,94,0.302,0.144,2.5%,20.9%,7.7%,88.4,37.9%,27.3%,45.9%,18.6%,0.89,26.5%,53.7%,19.9%,-2.0,-1%,-4.0,29%,71%,40%
,0.32,94,0.302,0.144,2.5%,20.9%,7.7%,88.4,37.9%,27.3%,45.9%,18.6%,0.89,26.5%,53.7%,19.9%,-30.0,-11.4%,-67.3,29%,71%,40%
