Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.321,95,0.286,0.17,3.5%,21.4%,7.8%,17.6%,44.2%,28.8%,0.82,30.2%,53.2%,16.6%,0.1,-0.1%,-20.1,29%,67%,39%
Boston Red Sox,0.324,94,0.301,0.155,2.7%,19.4%,6.9%,18.5%,42.5%,30.3%,0.76,27.5%,54.8%,17.6%,-2.1,0.1%,3.4,32%,76%,42%
Chicago White Sox,0.329,98,0.289,0.167,3.5%,19.7%,7.5%,20.3%,42.1%,27.6%,0.75,29.2%,52.2%,18.6%,0.3,-2.2%,23.9,30%,72%,39%
Cleveland Indians,0.318,101,0.288,0.131,2.2%,17.6%,9.0%,19.5%,46.5%,25.8%,0.89,29.7%,54.7%,15.7%,-2.6,0.9%,-28.1,28%,71%,36%
Detroit Tigers,0.334,102,0.307,0.154,2.7%,18.0%,8.4%,19.0%,44.3%,29.3%,0.82,25.3%,55.8%,18.9%,2.4,2.4%,8.5,30%,72%,38%
Kansas City Royals,0.318,91,0.302,0.135,2.1%,16.8%,6.6%,18.5%,45.7%,26.7%,0.87,26.1%,56.6%,17.3%,-8.4,-2.4%,-48.4,30%,78%,40%
Los Angeles Angels of Anaheim,0.341,116,0.311,0.159,3.1%,18.2%,7.3%,17.0%,46.6%,26.8%,0.92,28.7%,53.5%,17.9%,8.9,6.4%,84.7,31%,80%,49%
Minnesota Twins,0.323,99,0.298,0.13,2.1%,17.2%,8.1%,16.8%,48.3%,25.8%,0.98,26.3%,56.5%,17.2%,-4.3,-0.9%,-12.5,30%,78%,40%
New York Yankees,0.349,113,0.293,0.188,3.9%,18.9%,9.1%,18.8%,45.4%,27.1%,0.85,29.0%,54.5%,16.5%,8.6,9.5%,83.8,30%,78%,37%
Oakland Athletics,0.319,99,0.281,0.166,3.2%,22.4%,8.9%,19.3%,39.3%,30.4%,0.66,28.9%,54.7%,16.4%,1.1,6.6%,12.4,30%,79%,43%
Seattle Mariners,0.3,90,0.276,0.135,2.5%,20.8%,7.7%,20.0%,42.4%,26.5%,0.76,27.9%,54.7%,17.4%,-10.6,-2.5%,-76.0,28%,75%,38%
Tampa Bay Rays,0.318,99,0.284,0.155,2.9%,21.7%,9.4%,17.3%,42.3%,29.4%,0.76,31.7%,54.8%,13.5%,-5.0,-6.4%,-4.3,29%,75%,40%
Texas Rangers,0.344,105,0.306,0.173,3.2%,17.7%,7.7%,18.7%,44.3%,28.9%,0.82,25.9%,54.9%,19.1%,3.1,3.6%,81.5,32%,67%,40%
Toronto Blue Jays,0.32,93,0.281,0.161,3.3%,20.5%,7.8%,18.4%,43.5%,28.0%,0.79,28.2%,54.8%,17.0%,-4.5,0.1%,-9.1,30%,75%,46%
League Average,0.325,100,0.293,0.156,2.9%,19.3%,8.0%,18.6%,44.2%,27.9%,0.82,28.1%,54.7%,17.1%,-1.0,1%,7.0,30%,75%,41%
,0.325,100,0.293,0.156,2.9%,19.3%,8.0%,18.6%,44.2%,27.9%,0.82,28.1%,54.7%,17.1%,-13.0,15.3%,99.7,30%,75%,41%
