Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.334,89,0.299,0.165,2.8%,20.7%,9.1%,17.5%,41.9%,29.6%,0.75,24.3%,58.5%,17.1%,-6.2,-2.2%,-19.7,29%,72%,42%
Atlanta Braves,0.337,97,0.3,0.142,2.4%,16.8%,9.5%,17.9%,42.3%,30.4%,0.78,27.3%,54.8%,17.9%,-3.0,-1.5%,12.5,29%,69%,38%
Chicago Cubs,0.335,88,0.296,0.152,2.6%,19.0%,9.5%,18.2%,42.6%,29.7%,0.78,25.6%,58.0%,16.4%,-6.0,-4.2%,-32.3,29%,62%,36%
Cincinnati Reds,0.323,85,0.282,0.147,2.6%,18.3%,8.6%,18.1%,42.3%,27.4%,0.79,25.1%,58.2%,16.7%,-7.1,-3.6%,-55.4,29%,71%,41%
Colorado Rockies,0.351,95,0.305,0.18,3.0%,20.5%,10.6%,19.7%,40.2%,29.4%,0.71,26.4%,56.8%,16.8%,2.5,2.0%,53.4,31%,66%,47%
Florida Marlins,0.342,97,0.316,0.148,2.5%,19.4%,9.0%,19.9%,41.9%,27.5%,0.76,25.8%,57.8%,16.5%,7.2,3.1%,48.8,31%,68%,38%
Houston Astros,0.324,88,0.293,0.14,2.4%,16.4%,7.4%,16.5%,46.8%,26.8%,0.93,24.9%,57.6%,17.5%,-2.2,-0.2%,-66.1,28%,72%,38%
Los Angeles Dodgers,0.344,106,0.309,0.141,2.3%,16.7%,9.5%,20.0%,44.7%,26.6%,0.86,23.6%,58.6%,17.8%,4.7,3.8%,70.0,31%,71%,44%
Milwaukee Brewers,0.345,104,0.305,0.164,2.9%,19.6%,9.7%,18.4%,43.1%,28.8%,0.79,26.4%,57.2%,16.4%,8.2,3.5%,75.2,31%,65%,34%
New York Mets,0.333,95,0.307,0.124,1.5%,15.1%,8.5%,20.4%,45.8%,23.9%,0.9,24.8%,56.7%,18.5%,-4.1,-1.2%,-37.0,30%,73%,40%
Philadelphia Phillies,0.352,104,0.286,0.189,3.5%,18.2%,9.3%,19.4%,40.1%,31.0%,0.69,29.8%,55.6%,14.6%,12.3,8.8%,100.0,32%,81%,39%
Pittsburgh Pirates,0.321,85,0.296,0.135,2.1%,18.9%,8.2%,17.3%,44.6%,28.1%,0.84,26.6%,57.3%,16.1%,-8.3,-1.8%,-73.5,29%,74%,38%
San Diego Padres,0.319,94,0.284,0.138,2.3%,19.1%,9.5%,18.5%,42.6%,27.9%,0.78,25.7%,57.9%,16.4%,-1.4,-0.8%,-55.9,27%,74%,38%
San Francisco Giants,0.316,78,0.302,0.132,2.0%,19.1%,6.5%,18.9%,44.3%,26.7%,0.84,24.3%,57.9%,17.8%,-6.7,-7.4%,-66.6,31%,74%,38%
St. Louis Cardinals,0.336,98,0.296,0.152,2.6%,16.9%,8.6%,19.2%,44.1%,26.8%,0.83,26.5%,58.3%,15.2%,3.0,1.4%,25.8,30%,71%,44%
Washington Nationals,0.335,96,0.302,0.148,2.5%,19.3%,9.8%,20.3%,43.6%,26.2%,0.81,27.1%,56.1%,16.7%,-3.8,0.3%,-9.0,28%,65%,39%
League Average,0.334,94,0.299,0.15,2.5%,18.4%,9.0%,18.8%,43.2%,27.9%,0.8,25.9%,57.3%,16.8%,-1.0,0%,-2.0,30%,71%,39%
,0.334,94,0.299,0.15,2.5%,18.4%,9.0%,18.8%,43.2%,27.9%,0.8,25.9%,57.3%,16.8%,-10.9,0.0%,-29.8,30%,71%,39%
