Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.334,91,0.315,0.171,3.0%,22.8%,7.4%,89.6,41.5%,26.2%,48.4%,18.6%,0.97,25.1%,52.6%,22.3%,-0.4,-1.0%,2.4,31%,82%,43%
Atlanta Braves,0.316,88,0.305,0.13,2.0%,20.0%,8.1%,88.6,36.4%,27.1%,46.7%,18.0%,0.92,25.7%,52.8%,21.5%,-9.6,-2.0%,-66.0,28%,69%,38%
Chicago Cubs,0.342,104,0.302,0.173,3.1%,21.1%,10.4%,88.5,38.5%,26.3%,42.0%,22.2%,0.75,33.1%,49.5%,17.4%,4.3,2.5%,97.5,31%,66%,43%
Cincinnati Reds,0.323,89,0.303,0.152,2.7%,21.1%,7.4%,86.7,31.5%,28.6%,44.0%,19.2%,0.82,27.4%,53.5%,19.1%,-1.0,0.0%,-6.2,31%,73%,37%
Colorado Rockies,0.347,95,0.326,0.182,3.3%,21.3%,7.9%,88.7,40.3%,29.3%,43.6%,18.3%,0.81,27.1%,52.7%,20.2%,5.4,1.0%,81.9,34%,63%,44%
Los Angeles Dodgers,0.325,96,0.294,0.16,3.1%,21.4%,8.5%,89.7,41.9%,25.8%,46.3%,20.3%,0.89,28.1%,52.4%,19.5%,1.5,1.5%,17.2,30%,63%,43%
Miami Marlins,0.321,97,0.314,0.131,2.1%,19.8%,7.3%,88.7,38.2%,26.5%,48.6%,17.3%,0.99,24.9%,54.2%,21.0%,-1.5,-2.2%,-33.1,28%,72%,39%
Milwaukee Brewers,0.326,90,0.304,0.163,3.2%,25.5%,9.9%,88.9,39.8%,25.6%,46.4%,19.6%,0.91,25.2%,52.2%,22.5%,-9.2,-1.7%,-49.8,27%,76%,40%
New York Mets,0.324,96,0.282,0.171,3.6%,21.3%,8.5%,88.5,37.7%,26.7%,39.8%,24.0%,0.68,30.1%,52.6%,17.3%,-5.8,-3.9%,-28.5,26%,70%,34%
Philadelphia Phillies,0.307,81,0.291,0.144,2.7%,23.0%,7.1%,88.6,39.3%,24.9%,46.5%,19.4%,0.92,27.6%,53.2%,19.2%,-7.7,-3.8%,-100.4,27%,68%,39%
Pittsburgh Pirates,0.33,98,0.311,0.144,2.4%,21.3%,9.0%,88.3,38.7%,26.0%,46.8%,19.8%,0.91,28.2%,51.1%,20.6%,0.3,-0.8%,10.7,30%,71%,35%
San Diego Padres,0.308,85,0.291,0.155,3.0%,25.0%,7.5%,87.5,36.0%,25.6%,44.8%,20.3%,0.84,29.4%,51.3%,19.3%,-8.6,-3.7%,-18.5,31%,74%,50%
San Francisco Giants,0.325,97,0.299,0.14,2.1%,17.7%,9.1%,87.8,36.5%,27.0%,45.1%,19.7%,0.85,28.6%,50.6%,20.8%,-3.3,-3.4%,4.7,30%,69%,39%
St. Louis Cardinals,0.339,106,0.294,0.187,3.6%,21.2%,8.5%,89.2,41.1%,25.2%,42.7%,23.9%,0.77,29.5%,51.6%,18.9%,6.5,4.0%,72.2,30%,57%,38%
Washington Nationals,0.331,94,0.293,0.17,3.3%,20.2%,8.6%,90.0,42.3%,26.2%,43.5%,21.4%,0.8,28.9%,52.6%,18.5%,4.5,2.6%,42.9,31%,76%,43%
League Average,0.327,94,0.302,0.158,2.9%,21.5%,8.4%,88.6,38.6%,26.5%,45.0%,20.1%,0.85,27.9%,52.2%,19.9%,-2.0,-1%,2.0,30%,72%,40%
,0.327,94,0.302,0.158,2.9%,21.5%,8.4%,88.6,38.6%,26.5%,45.0%,20.1%,0.85,27.9%,52.2%,19.9%,-24.5,-10.8%,26.8,30%,72%,40%
