Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.317,84,0.286,0.162,2.9%,23.7%,9.1%,88.5,38.2%,25.5%,43.3%,22.6%,0.79,29.4%,52.4%,18.2%,-2.5,-2.1%,-30.1,30%,76%,45%
Atlanta Braves,0.33,98,0.302,0.161,2.8%,20.6%,8.2%,88.2,36.5%,26.0%,42.3%,23.1%,0.76,30.8%,51.1%,18.1%,2.5,2.3%,54.7,31%,71%,44%
Chicago Cubs,0.33,96,0.313,0.152,2.6%,21.8%,9.0%,89.0,40.3%,25.4%,45.8%,20.1%,0.88,29.2%,52.1%,18.7%,0.3,-2.6%,44.1,30%,63%,43%
Cincinnati Reds,0.325,93,0.307,0.148,2.8%,22.1%,9.0%,87.3,34.3%,27.0%,40.4%,23.7%,0.71,27.6%,53.2%,19.2%,-6.5,-1.9%,-15.0,28%,70%,35%
Colorado Rockies,0.337,89,0.304,0.179,3.4%,22.6%,8.2%,89.2,40.4%,24.9%,45.5%,21.9%,0.87,26.9%,53.7%,19.5%,5.9,2.8%,30.4,32%,74%,47%
Los Angeles Dodgers,0.344,111,0.294,0.191,3.7%,22.6%,10.2%,89.6,41.5%,25.2%,40.3%,25.2%,0.69,29.4%,52.7%,17.9%,2.4,5.9%,100.7,30%,76%,45%
Miami Marlins,0.301,85,0.293,0.119,2.1%,22.8%,7.5%,87.6,35.3%,24.6%,47.3%,19.4%,0.93,25.4%,55.7%,18.9%,-10.5,-1.7%,-91.0,27%,59%,40%
Milwaukee Brewers,0.335,100,0.302,0.172,3.5%,23.5%,8.7%,89.0,41.0%,24.5%,45.8%,21.8%,0.87,26.5%,54.4%,19.1%,7.4,6.5%,46.7,30%,79%,39%
New York Mets,0.315,97,0.283,0.154,2.8%,22.7%,9.2%,88.0,36.2%,23.7%,41.8%,24.4%,0.73,28.8%,53.2%,18.0%,-7.3,-1.3%,-8.5,29%,65%,44%
Philadelphia Phillies,0.316,87,0.289,0.158,3.0%,24.8%,9.5%,88.6,39.2%,23.2%,42.5%,23.9%,0.76,30.5%,51.2%,18.2%,-5.6,-4.2%,-29.9,28%,73%,38%
Pittsburgh Pirates,0.321,97,0.298,0.154,2.6%,20.3%,7.8%,88.4,37.8%,25.1%,43.6%,22.6%,0.8,27.9%,52.0%,20.1%,-1.0,0.1%,9.8,30%,65%,41%
San Diego Padres,0.303,86,0.294,0.145,2.7%,25.1%,7.8%,88.7,37.7%,24.0%,46.2%,20.1%,0.89,27.8%,54.0%,18.1%,-9.6,-1.9%,-73.9,28%,73%,39%
San Francisco Giants,0.299,84,0.299,0.129,2.2%,24.0%,7.3%,87.6,36.2%,25.6%,44.3%,21.7%,0.82,27.0%,52.8%,20.2%,-8.8,-2.0%,-83.3,28%,69%,40%
St. Louis Cardinals,0.324,98,0.294,0.16,3.3%,22.3%,8.5%,88.9,39.9%,24.9%,42.6%,24.0%,0.77,28.1%,53.1%,18.9%,6.6,4.0%,67.0,31%,66%,41%
Washington Nationals,0.335,96,0.297,0.164,3.0%,20.5%,10.0%,88.4,39.0%,25.0%,43.5%,22.0%,0.8,27.7%,53.4%,18.9%,-1.9,-4.1%,55.9,30%,78%,39%
League Average,0.322,93,0.297,0.157,2.9%,22.6%,8.7%,88.5,38.2%,25.0%,43.7%,22.4%,0.8,28.2%,53.0%,18.8%,-2.0,-0%,5.0,30%,71%,41%
,0.322,93,0.297,0.157,2.9%,22.6%,8.7%,88.5,38.2%,25.0%,43.7%,22.4%,0.8,28.2%,53.0%,18.8%,-28.7,-0.3%,77.5,30%,71%,41%
