Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.329,79,0.282,0.163,2.8%,18.2%,8.7%,18.1%,40.9%,29.1%,0.72,26.8%,57.2%,16.0%,-3.3,-0.4%,-66.4,30%,82%,41%
Atlanta Braves,0.345,102,0.314,0.16,2.8%,18.0%,8.4%,16.6%,43.6%,30.8%,0.8,27.1%,55.7%,17.2%,1.2,-0.1%,55.4,32%,68%,38%
Chicago Cubs,0.339,91,0.308,0.15,2.4%,16.8%,8.0%,19.7%,44.5%,26.9%,0.83,25.1%,57.1%,17.8%,-3.6,-1.3%,-23.6,31%,72%,40%
Cincinnati Reds,0.344,93,0.298,0.17,3.2%,17.6%,8.5%,19.5%,41.0%,27.9%,0.73,24.7%,59.3%,16.1%,-1.9,-2.1%,4.3,30%,76%,39%
Colorado Rockies,0.353,98,0.322,0.158,2.6%,17.7%,9.6%,22.1%,42.0%,26.1%,0.77,22.9%,59.5%,17.6%,7.6,9.2%,66.0,32%,76%,45%
Florida Marlins,0.348,104,0.315,0.181,3.2%,21.0%,8.2%,19.9%,39.7%,28.7%,0.69,27.7%,55.6%,16.7%,2.8,0.3%,39.8,30%,76%,34%
Houston Astros,0.331,90,0.291,0.152,2.6%,16.5%,8.7%,17.6%,43.0%,27.6%,0.79,24.2%,59.0%,16.9%,-8.1,-3.6%,-54.0,29%,66%,35%
Los Angeles Dodgers,0.332,89,0.303,0.131,2.1%,13.8%,8.1%,18.3%,45.4%,26.2%,0.88,23.5%,59.8%,16.6%,-5.0,-5.2%,-31.4,30%,73%,41%
Milwaukee Brewers,0.346,100,0.289,0.194,3.7%,18.2%,8.0%,18.6%,41.1%,29.5%,0.73,27.3%,55.6%,17.2%,1.7,0.0%,40.4,32%,75%,39%
New York Mets,0.348,101,0.303,0.157,2.8%,15.5%,8.7%,19.2%,43.7%,26.0%,0.83,26.4%,57.1%,16.5%,5.0,5.2%,52.6,32%,81%,41%
Philadelphia Phillies,0.364,106,0.311,0.184,3.3%,18.4%,9.8%,19.0%,40.5%,30.2%,0.71,28.2%,54.5%,17.3%,10.3,10.6%,121.0,32%,88%,39%
Pittsburgh Pirates,0.328,90,0.303,0.149,2.4%,18.3%,7.5%,19.3%,41.7%,28.8%,0.75,26.0%,56.8%,17.2%,-7.8,-4.0%,-33.5,31%,69%,39%
San Diego Padres,0.325,97,0.291,0.16,2.7%,19.4%,8.8%,19.9%,39.5%,31.2%,0.68,27.3%,57.3%,15.4%,-3.0,1.6%,1.1,31%,70%,43%
San Francisco Giants,0.318,78,0.281,0.133,2.1%,14.6%,8.6%,17.3%,44.3%,27.2%,0.84,26.1%,58.2%,15.7%,-11.1,-3.4%,-90.5,29%,78%,40%
St. Louis Cardinals,0.334,93,0.303,0.132,2.3%,14.6%,8.2%,19.7%,43.3%,27.1%,0.8,26.7%,54.9%,18.5%,-2.2,-1.6%,-29.5,30%,63%,40%
Washington Nationals,0.322,88,0.3,0.134,2.0%,18.2%,8.5%,20.0%,45.3%,24.8%,0.87,24.2%,58.2%,17.5%,-7.2,-2.7%,-68.3,29%,75%,39%
League Average,0.338,94,0.301,0.157,2.7%,17.3%,8.5%,19.0%,42.5%,28.0%,0.77,25.9%,57.3%,16.9%,-2.0,0%,-1.0,31%,76%,40%
,0.338,94,0.301,0.157,2.7%,17.3%,8.5%,19.0%,42.5%,28.0%,0.77,25.9%,57.3%,16.9%,-24.5,2.4%,-16.5,31%,76%,40%
