Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Anaheim Angels,0.346,106,0.303,0.15,2.4%,12.7%,7.3%,28.5%,34.5%,29.5%,0.54,30.4%,49.9%,19.7%,5.3,4.4%,75.1,34%,70%,39%
Baltimore Orioles,0.317,91,0.271,0.157,2.7%,16.3%,7.4%,25.6%,36.8%,28.8%,0.6,33.9%,48.7%,17.4%,-10.8,-1.4%,-105.3,29%,70%,40%
Boston Red Sox,0.352,107,0.302,0.168,2.8%,14.9%,8.6%,27.7%,38.9%,26.9%,0.65,31.0%,50.4%,18.6%,3.5,0.7%,78.5,33%,74%,38%
Chicago White Sox,0.35,107,0.287,0.181,3.5%,15.3%,8.9%,24.8%,37.1%,29.2%,0.62,31.4%,48.6%,20.0%,2.9,1.0%,86.3,34%,71%,40%
Cleveland Indians,0.328,98,0.271,0.163,3.2%,16.4%,8.9%,24.9%,40.5%,26.6%,0.7,30.8%,51.9%,17.3%,-0.2,-2.2%,-24.6,31%,58%,38%
Detroit Tigers,0.302,85,0.283,0.132,2.1%,17.5%,6.1%,26.0%,38.2%,27.9%,0.64,28.6%,51.3%,20.1%,-14.1,-1.5%,-176.2,27%,60%,45%
Kansas City Royals,0.325,82,0.282,0.143,2.3%,14.8%,8.4%,26.8%,38.8%,26.5%,0.66,27.2%,53.0%,19.8%,-8.8,-1.5%,-83.2,32%,68%,47%
Minnesota Twins,0.339,103,0.309,0.165,2.7%,17.6%,7.6%,25.8%,41.8%,25.5%,0.74,27.2%,52.4%,20.4%,1.4,2.0%,-2.5,32%,56%,39%
New York Yankees,0.36,115,0.31,0.18,3.5%,18.4%,10.0%,27.7%,39.0%,27.9%,0.65,29.8%,50.0%,20.2%,10.0,7.8%,128.3,32%,72%,44%
Oakland Athletics,0.343,106,0.284,0.171,3.3%,16.0%,9.7%,27.2%,37.9%,28.9%,0.62,29.0%,51.1%,19.8%,7.6,2.9%,37.5,30%,70%,41%
Seattle Mariners,0.345,108,0.307,0.144,2.4%,15.8%,9.9%,28.9%,39.4%,25.5%,0.67,25.3%,52.7%,22.0%,4.6,3.4%,52.9,31%,70%,39%
Tampa Bay Devil Rays,0.317,88,0.293,0.137,2.2%,18.0%,7.4%,26.4%,40.6%,25.1%,0.71,28.2%,52.3%,19.5%,-9.4,-1.5%,-104.7,30%,69%,39%
Texas Rangers,0.351,104,0.292,0.187,3.6%,16.7%,8.8%,27.4%,35.7%,29.9%,0.57,28.6%,51.9%,19.6%,1.8,-0.5%,43.5,32%,65%,41%
Toronto Blue Jays,0.338,96,0.295,0.169,3.0%,18.3%,8.4%,27.7%,38.1%,28.8%,0.62,28.7%,50.2%,21.1%,0.7,-0.1%,22.4,34%,80%,38%
League Average,0.337,100,0.292,0.16,2.8%,16.3%,8.4%,26.8%,38.3%,27.6%,0.64,29.3%,51.0%,19.7%,-0.0,1%,2.0,32%,68%,40%
,0.337,100,0.292,0.16,2.8%,16.3%,8.4%,26.8%,38.3%,27.6%,0.64,29.3%,51.0%,19.7%,-5.5,13.7%,28.1,32%,68%,40%
