Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.313,100,0.284,0.154,2.8%,23.0%,7.9%,88.0,39.2%,24.2%,38.9%,26.3%,0.65,30.5%,52.0%,17.5%,-2.6,-1.8%,-23.3,30%,75%,45%
Boston Red Sox,0.325,101,0.313,0.152,2.5%,22.4%,7.8%,89.0,41.0%,25.3%,43.5%,24.1%,0.78,26.3%,54.2%,19.5%,-3.0,-2.1%,18.0,32%,72%,38%
Chicago White Sox,0.313,97,0.304,0.131,2.4%,20.7%,6.3%,88.9,41.0%,24.1%,45.3%,24.0%,0.84,27.1%,52.4%,20.6%,-2.3,-1.3%,-22.5,30%,85%,37%
Cleveland Guardians,0.313,100,0.294,0.129,2.1%,18.2%,7.3%,86.7,33.3%,24.7%,44.1%,22.6%,0.8,28.0%,52.6%,19.3%,0.8,0.1%,-0.4,31%,82%,43%
Detroit Tigers,0.285,81,0.29,0.115,1.9%,24.1%,6.5%,87.3,36.7%,24.2%,44.5%,23.7%,0.81,28.8%,51.2%,20.0%,-9.7,-2.1%,-118.0,28%,66%,44%
Houston Astros,0.329,110,0.278,0.176,3.5%,19.5%,8.7%,88.2,39.2%,23.8%,40.6%,28.3%,0.69,30.0%,53.3%,16.7%,4.9,2.6%,55.8,30%,79%,37%
Kansas City Royals,0.308,93,0.293,0.136,2.3%,21.4%,7.7%,88.1,37.9%,23.8%,41.4%,27.2%,0.72,29.6%,52.0%,18.3%,-8.2,-2.3%,-54.1,29%,75%,46%
Los Angeles Angels,0.305,91,0.289,0.157,3.2%,25.8%,7.5%,87.3,35.9%,23.2%,40.4%,27.4%,0.7,29.0%,53.0%,18.0%,-11.2,-1.0%,-78.5,27%,74%,41%
Minnesota Twins,0.321,106,0.295,0.153,2.9%,22.1%,8.5%,89.3,41.2%,24.4%,41.8%,27.5%,0.72,30.2%,51.8%,18.0%,-3.6,-0.1%,10.3,29%,69%,40%
New York Yankees,0.335,113,0.276,0.185,4.1%,22.5%,10.1%,89.3,42.0%,23.2%,41.2%,27.4%,0.71,29.2%,52.0%,18.9%,4.8,3.2%,108.5,31%,76%,38%
Oakland Athletics,0.283,83,0.264,0.13,2.3%,23.7%,7.4%,86.9,34.3%,22.9%,44.4%,24.4%,0.82,29.4%,51.4%,19.2%,-12.6,-2.4%,-109.3,28%,77%,44%
Seattle Mariners,0.317,107,0.272,0.16,3.2%,22.8%,9.7%,87.9,36.9%,23.2%,40.2%,27.7%,0.68,30.2%,52.4%,17.5%,1.2,-0.6%,16.8,28%,75%,38%
Tampa Bay Rays,0.307,99,0.295,0.138,2.3%,23.2%,8.3%,88.6,38.9%,24.4%,44.1%,23.0%,0.8,29.1%,51.8%,19.2%,-4.6,-1.7%,-17.9,30%,72%,47%
Texas Rangers,0.311,96,0.287,0.157,3.3%,24.0%,7.6%,88.5,39.5%,23.1%,40.5%,27.1%,0.7,31.0%,51.8%,17.2%,-3.3,-0.2%,9.6,31%,76%,44%
Toronto Blue Jays,0.336,118,0.305,0.168,3.3%,20.2%,8.1%,90.0,44.5%,23.6%,45.6%,23.0%,0.85,28.2%,52.1%,19.6%,6.9,4.0%,88.2,31%,66%,41%
League Average,0.313,100,0.29,0.149,2.8%,22.2%,8.0%,88.3,38.8%,23.9%,42.5%,25.5%,0.75,29.1%,52.3%,18.6%,-3.0,-0%,-8.0,30%,75%,41%
,0.313,100,0.29,0.149,2.8%,22.2%,8.0%,88.3,38.8%,23.9%,42.5%,25.5%,0.75,29.1%,52.3%,18.6%,-42.4,-5.6%,-116.9,30%,75%,41%
