Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.341,85,0.29,0.164,2.9%,15.6%,8.6%,24.8%,38.7%,28.9%,0.65,29.9%,51.0%,19.1%,-3.1,-2.2%,-26.9,32%,69%,49%
Atlanta Braves,0.355,97,0.302,0.157,2.9%,16.1%,9.5%,25.4%,41.6%,25.9%,0.74,29.1%,50.7%,20.2%,1.5,2.8%,10.7,31%,73%,45%
Chicago Cubs,0.337,89,0.288,0.155,2.9%,17.5%,9.9%,23.7%,41.8%,26.9%,0.76,28.7%,51.0%,20.2%,-8.4,-1.1%,-55.6,30%,72%,40%
Cincinnati Reds,0.351,93,0.299,0.173,3.1%,15.6%,8.8%,25.6%,39.6%,28.6%,0.67,28.6%,51.2%,20.2%,-3.5,-4.9%,2.4,31%,72%,38%
Colorado Rockies,0.369,88,0.322,0.161,2.5%,14.1%,9.3%,28.4%,39.0%,25.5%,0.67,26.7%,51.5%,21.8%,2.1,1.2%,79.5,37%,68%,51%
Florida Marlins,0.338,91,0.304,0.147,2.6%,19.1%,8.7%,24.4%,41.5%,27.0%,0.73,27.9%,51.0%,21.1%,-3.4,-1.0%,-53.9,30%,75%,43%
Houston Astros,0.371,102,0.305,0.199,3.9%,17.5%,10.4%,26.0%,37.8%,29.4%,0.63,30.4%,49.5%,20.1%,2.2,-0.7%,100.3,33%,69%,41%
Los Angeles Dodgers,0.349,100,0.283,0.174,3.3%,17.2%,10.6%,23.9%,39.7%,29.2%,0.68,29.0%,51.1%,19.9%,2.1,1.5%,10.1,30%,69%,41%
Milwaukee Brewers,0.33,84,0.284,0.158,2.8%,19.6%,9.8%,24.3%,41.2%,27.6%,0.72,28.0%,50.5%,21.5%,-9.3,-1.9%,-73.4,30%,62%,43%
Montreal Expos,0.336,83,0.299,0.165,2.9%,17.0%,7.7%,24.2%,43.3%,25.2%,0.8,27.8%,52.4%,19.7%,-7.5,-0.2%,-77.0,31%,55%,46%
New York Mets,0.35,99,0.29,0.167,3.1%,16.4%,10.7%,22.9%,40.4%,29.3%,0.7,28.9%,51.3%,19.8%,0.9,1.6%,17.9,30%,59%,42%
Philadelphia Phillies,0.332,81,0.29,0.148,2.3%,17.8%,9.7%,25.0%,38.9%,28.3%,0.66,27.1%,51.2%,21.6%,-12.6,-2.2%,-100.2,30%,77%,39%
Pittsburgh Pirates,0.344,92,0.299,0.157,2.6%,16.2%,8.9%,24.7%,39.9%,27.9%,0.68,28.6%,51.8%,19.6%,-4.4,-1.9%,-25.4,32%,68%,40%
San Diego Padres,0.331,90,0.294,0.148,2.5%,18.7%,9.6%,25.4%,41.1%,27.1%,0.71,27.0%,52.1%,20.9%,-3.5,-1.0%,-37.6,31%,71%,43%
San Francisco Giants,0.369,116,0.303,0.194,3.5%,16.1%,11.1%,25.9%,36.7%,30.4%,0.6,31.4%,49.0%,19.6%,11.9,6.2%,147.6,33%,67%,40%
St. Louis Cardinals,0.365,105,0.308,0.185,3.7%,19.7%,10.6%,25.7%,38.3%,28.6%,0.65,30.3%,48.6%,21.1%,7.5,2.6%,83.7,32%,63%,44%
League Average,0.348,93,0.298,0.166,3.0%,17.1%,9.6%,25.0%,40.0%,27.8%,0.69,28.7%,50.9%,20.4%,-2.0,-0%,0.0,31%,69%,43%
,0.348,93,0.298,0.166,3.0%,17.1%,9.6%,25.0%,40.0%,27.8%,0.69,28.7%,50.9%,20.4%,-27.4,-1.2%,2.2,31%,69%,43%
