Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.348,93,0.298,0.156,2.6%,16.1%,10.2%,27.8%,40.0%,24.5%,0.7,27.2%,53.2%,19.6%,5.5,3.9%,79.9,32%,67%,42%
Atlanta Braves,0.335,91,0.29,0.15,2.6%,16.5%,9.0%,23.3%,42.8%,26.2%,0.79,27.7%,52.9%,19.3%,0.7,0.4%,-15.9,29%,66%,40%
Chicago Cubs,0.332,93,0.283,0.167,3.2%,20.3%,9.4%,27.5%,39.8%,24.8%,0.69,29.0%,51.3%,19.6%,-6.2,-1.8%,-9.5,28%,75%,37%
Cincinnati Reds,0.334,88,0.293,0.155,2.7%,19.0%,9.3%,26.6%,39.2%,25.8%,0.68,28.1%,51.3%,20.6%,-3.3,-0.5%,-29.2,28%,69%,45%
Colorado Rockies,0.341,85,0.311,0.149,2.5%,16.9%,8.1%,27.9%,41.8%,23.0%,0.75,25.5%,54.2%,20.3%,0.4,-0.2%,19.1,33%,66%,48%
Florida Marlins,0.334,95,0.301,0.142,2.3%,18.0%,9.5%,26.6%,40.9%,24.1%,0.72,27.0%,52.4%,20.6%,-2.4,-0.3%,-14.9,28%,71%,39%
Houston Astros,0.342,92,0.3,0.156,2.7%,17.9%,9.4%,28.2%,37.5%,26.6%,0.62,28.8%,51.1%,20.1%,-2.6,-2.5%,13.0,30%,72%,40%
Los Angeles Dodgers,0.33,98,0.291,0.146,2.5%,15.3%,7.0%,25.8%,41.4%,25.0%,0.75,26.0%,54.5%,19.5%,0.7,0.8%,18.9,31%,72%,43%
Milwaukee Brewers,0.321,86,0.294,0.137,2.3%,18.5%,8.2%,26.3%,42.1%,23.9%,0.77,24.8%,53.8%,21.3%,-16.4,-2.2%,-91.9,27%,65%,39%
Montreal Expos,0.338,93,0.298,0.157,2.6%,17.7%,9.2%,26.5%,41.5%,23.6%,0.76,25.9%,53.5%,20.6%,2.5,0.9%,8.6,30%,65%,45%
New York Mets,0.328,92,0.289,0.139,2.6%,17.0%,7.9%,24.6%,40.4%,25.9%,0.72,28.9%,51.8%,19.2%,-7.7,-3.8%,-13.8,29%,67%,41%
Philadelphia Phillies,0.343,105,0.294,0.163,2.6%,17.3%,10.1%,28.1%,37.1%,26.4%,0.62,27.9%,51.8%,20.3%,4.2,0.1%,13.0,28%,71%,42%
Pittsburgh Pirates,0.318,80,0.281,0.137,2.4%,18.3%,8.9%,25.8%,38.3%,27.4%,0.65,27.9%,52.3%,19.7%,-7.2,-3.3%,-69.3,28%,64%,42%
San Diego Padres,0.32,95,0.288,0.129,2.2%,17.2%,8.9%,27.8%,39.4%,26.2%,0.67,27.0%,50.7%,22.3%,-3.7,-1.5%,-30.0,28%,62%,39%
San Francisco Giants,0.353,113,0.289,0.175,3.1%,15.3%,9.8%,27.0%,36.3%,29.0%,0.59,29.8%,51.6%,18.5%,6.1,7.3%,94.3,30%,78%,38%
St. Louis Cardinals,0.343,102,0.292,0.157,2.8%,14.8%,8.7%,26.9%,38.9%,26.0%,0.68,29.7%,51.7%,18.7%,7.0,4.4%,77.9,32%,67%,44%
League Average,0.335,94,0.293,0.151,2.6%,17.3%,9.0%,26.6%,39.8%,25.5%,0.7,27.6%,52.4%,20.0%,-1.0,0%,3.0,29%,68%,41%
,0.335,94,0.293,0.151,2.6%,17.3%,9.0%,26.6%,39.8%,25.5%,0.7,27.6%,52.4%,20.0%,-22.3,1.7%,50.3,29%,68%,41%
