Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.33,100,0.288,0.171,3.5%,18.3%,6.8%,21.5%,43.9%,25.5%,0.8,30.1%,52.9%,17.0%,7.8,3.8%,39.7,31%,73%,37%
Boston Red Sox,0.355,117,0.329,0.169,2.8%,20.5%,9.1%,22.9%,42.2%,26.9%,0.75,27.8%,54.5%,17.7%,11.1,7.0%,153.5,32%,87%,39%
Chicago White Sox,0.305,81,0.291,0.129,2.4%,19.9%,6.8%,22.8%,42.6%,26.2%,0.76,28.1%,53.7%,18.2%,-15.6,-3.8%,-119.9,26%,71%,36%
Cleveland Indians,0.332,109,0.3,0.155,2.8%,20.8%,9.1%,23.2%,43.1%,25.3%,0.78,31.2%,53.3%,15.5%,7.6,6.8%,71.9,31%,76%,40%
Detroit Tigers,0.348,114,0.32,0.151,2.8%,16.8%,8.3%,23.8%,43.8%,25.0%,0.8,27.4%,54.2%,18.4%,3.8,6.0%,88.2,30%,64%,33%
Houston Astros,0.303,85,0.304,0.136,2.5%,25.5%,7.1%,22.3%,45.8%,23.5%,0.88,27.8%,53.7%,18.5%,-15.6,-1.4%,-90.0,28%,64%,38%
Kansas City Royals,0.315,87,0.3,0.119,1.8%,17.2%,6.9%,21.5%,46.6%,22.5%,0.91,26.1%,56.7%,17.2%,-4.8,-3.2%,-56.7,29%,83%,43%
Los Angeles Angels of Anaheim,0.332,112,0.307,0.15,2.6%,19.5%,8.4%,23.4%,45.3%,23.3%,0.86,26.9%,54.8%,18.3%,2.2,-0.7%,51.9,30%,71%,43%
Minnesota Twins,0.313,90,0.298,0.138,2.4%,23.0%,8.6%,21.6%,43.6%,26.1%,0.79,26.5%,55.7%,17.7%,-7.1,-0.9%,-94.0,25%,61%,40%
New York Yankees,0.31,87,0.285,0.133,2.4%,20.1%,7.7%,20.8%,43.5%,25.4%,0.8,27.2%,56.3%,16.5%,-2.8,-2.6%,-44.1,30%,79%,35%
Oakland Athletics,0.332,107,0.289,0.165,3.0%,19.0%,9.2%,24.7%,37.4%,27.2%,0.61,30.1%,52.8%,17.0%,6.5,5.0%,90.2,31%,73%,42%
Seattle Mariners,0.312,99,0.279,0.152,3.1%,21.9%,8.6%,23.5%,42.1%,24.7%,0.75,29.6%,53.4%,17.0%,-5.6,-2.1%,-54.0,25%,68%,38%
Tampa Bay Rays,0.327,105,0.295,0.151,2.6%,18.8%,9.4%,21.8%,43.7%,26.3%,0.79,30.2%,53.7%,16.1%,5.3,2.2%,10.5,28%,66%,40%
Texas Rangers,0.333,102,0.294,0.15,2.8%,17.2%,7.5%,23.0%,43.8%,23.8%,0.81,27.2%,55.8%,17.0%,0.2,-0.5%,26.3,30%,76%,42%
Toronto Blue Jays,0.328,99,0.284,0.158,3.0%,18.3%,8.3%,22.1%,44.2%,24.0%,0.82,28.2%,55.0%,16.8%,-1.2,-0.6%,6.5,29%,73%,45%
League Average,0.325,100,0.298,0.149,2.7%,19.8%,8.1%,22.6%,43.4%,25.0%,0.79,28.3%,54.4%,17.3%,-1.0,1%,5.0,29%,74%,39%
,0.325,100,0.298,0.149,2.7%,19.8%,8.1%,22.6%,43.4%,25.0%,0.79,28.3%,54.4%,17.3%,-8.5,15.1%,80.0,29%,74%,39%
