Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1","Top of the 2nd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 8-9-1"
t2,3-2,0,---,"5,(2-2) CBFBX",O,LAD,Alex Verdugo,David Price,-2%,57%,Groundout: 1B unassisted
t2,3-2,1,---,"8,(3-2) CBSBBFFB",,LAD,Russell Martin,David Price,2%,60%,Walk
t2,3-2,1,1--,"5,(1-2) SFBFS",O,LAD,Chris Taylor,David Price,-3%,57%,Strikeout Swinging
t2,3-2,2,1--,"4,(1-2) CFBS",O,LAD,Justin Turner,David Price,-2%,55%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 1 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 1 LOB. Dodgers 3, Red Sox 2."
"Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2","Bottom of the 2nd, Red Sox Batting, Behind 2-3, Dodgers' Hyun Jin Ryu facing 9-1-2"
b2,2-3,0,---,"2,(0-1) CX",O,BOS,Eduardo Nunez,Hyun Jin Ryu,3%,57%,Groundout: 1B unassisted (Weak 1B)
b2,2-3,1,---,"2,(0-1) CX",O,BOS,Mookie Betts,Hyun Jin Ryu,2%,59%,Flyball: CF (Deep CF)
b2,2-3,2,---,"5,(2-2) BFBFS",O,BOS,Rafael Devers,Hyun Jin Ryu,1%,60%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Dodgers 3, Red Sox 2."
"Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5","Top of the 3rd, Dodgers Batting, Ahead 3-2, Red Sox' David Price facing 3-4-5"
t3,3-2,0,---,"5,(2-2) SFBBS",O,LAD,David Freese,David Price,-2%,58%,Strikeout Swinging
t3,3-2,1,---,"6,(3-2) CBBBFB",,LAD,Cody Bellinger,David Price,2%,60%,Walk
t3,3-2,1,1--,"5,(2-2) *B1CFBC",O,LAD,AJ Pollock,David Price,-3%,57%,Strikeout Looking
t3,3-2,2,1--,"2,(0-1) FX",O,LAD,Max Muncy,David Price,-2%,55%,Lineout: SS (SS-2B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 1 LOB. Dodgers 3, Red Sox 2.","0 runs, 0 hits, 0 errors, 1 LOB. Dodgers 3, Red Sox 2."
