Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Ian Anderson, W (2-0)",6,6,2,2,1,8,0,2.25,26,96,61,31,17,13,10,6,4,0,59.0,,,0.166,1.16,0.07%,0.84,1.4
"A.J. Minter, H (4)",1,0,0,0,0,0,0,0.68,3,14,7,3,1,3,1,2,0,0,,0.0,0.0,0.064,0.8,0.03%,0.58,0.6
Shane Greene,1,2,1,1,0,2,0,1.04,5,19,13,7,1,5,0,3,1,0,,0.0,0.0,0.002,0.05,0.00%,0.03,-0.4
Huascar Ynoa,1,0,0,0,1,0,0,3.86,3,15,9,5,0,4,2,0,0,0,,0.0,0.0,0.002,0.04,0.00%,0.03,0.6
Team Totals,9,8,3,3,2,10,0,3.0,37,144,90,46,19,25,13,11,5,0,59.0,0.0,0.0,0.234,0.9,0.10%,0.66,2.2
