Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Ryan Weber facing 1-2-3"
t1,0-0,0,---,"3,(1-1) FBX",O,ATL,Dansby Swanson,Ryan Weber,-2%,48%,Groundout: 3B-1B
t1,0-0,1,---,"5,(2-2) BSBCH",,ATL,Freddie Freeman,Ryan Weber,2%,50%,Hit By Pitch
t1,0-0,1,1--,"1,(0-0) X",RR,ATL,Marcell Ozuna,Ryan Weber,16%,66%,Home Run (Fly Ball to Deep LF); Freeman Scores
t1,2-0,1,---,"5,(3-1) BBCBX",O,ATL,Nick Markakis,Ryan Weber,-1%,64%,Groundout: SS-1B
t1,2-0,2,---,"3,(1-1) SBX",,ATL,Travis d'Arnaud,Ryan Weber,1%,65%,Single to CF (Line Drive to Deep CF)
t1,2-0,2,1--,"1,(0-0) X",,ATL,Austin Riley,Ryan Weber,3%,68%,Double to CF (Line Drive to Deep CF); d'Arnaud to 3B
t1,2-0,2,-23,"6,(3-2) FBBBSX",O,ATL,Adam Duvall,Ryan Weber,-5%,63%,Flyball: CF (Deep CF)
,,,,,,,,,"2 runs, 3 hits, 0 errors, 2 LOB. Braves 2, Red Sox 0.","2 runs, 3 hits, 0 errors, 2 LOB. Braves 2, Red Sox 0.","2 runs, 3 hits, 0 errors, 2 LOB. Braves 2, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Braves' Ian Anderson facing 1-2-3"
b1,0-2,0,---,"5,(2-2) CFBBX",,BOS,Alex Verdugo,Ian Anderson,-4%,60%,Single to RF (Line Drive)
b1,0-2,0,1--,"2,(0-1) FX",O,BOS,Christian Vazquez,Ian Anderson,4%,63%,Flyball: RF (Deep RF)
b1,0-2,1,1--,"4,(1-2) BFT1X",O,BOS,Rafael Devers,Ian Anderson,3%,66%,Flyball: LF (Deep LF-CF)
b1,0-2,2,1--,"4,(1-2) *BCSS",O,BOS,Xander Bogaerts,Ian Anderson,2%,69%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Braves 2, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Braves 2, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Braves 2, Red Sox 0."
