Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Drew Pomeranz, W (4-3)",6.0,4,2,2,1,11,1,4.7,23,96,64,26,18,20,4,7,4,0,66.0,,,0.178,0.83,0.12%,0.92,1.3
"Heath Hembree, H (10)",0.2,0,0,0,0,2,0,4.09,2,13,8,4,2,2,0,0,0,0,,0.0,0.0,0.061,1.17,0.04%,1.3,0.4
"Robby Scott, H (7)",0.1,0,0,0,0,1,0,1.54,1,4,3,0,3,0,0,0,0,0,,0.0,0.0,0.015,0.56,0.01%,0.62,0.1
"Matt Barnes, H (5)",1.0,0,0,0,0,2,0,3.48,3,21,14,8,3,3,0,1,0,0,,0.0,0.0,0.081,1.03,0.05%,1.15,0.6
Craig Kimbrel,1.0,0,0,0,0,4,0,0.87,4,19,14,3,6,5,0,0,0,0,,0.0,0.0,0.017,0.46,0.01%,0.51,0.6
Team Totals,9.0,4,2,2,1,20,1,2.0,33,153,103,41,32,30,4,8,4,0,66.0,0.0,0.0,0.352,0.82,0.24%,0.91,3.0
