Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3"
t1,0-0,0,---,"7,(2-2) CCBBFFX",O,OAK,Marcus Semien,Hector Velazquez,2%,52%,Lineout: CF (Deep CF)
t1,0-0,1,---,"6,(3-2) BCFBBX",O,OAK,Robbie Grossman,Hector Velazquez,2%,54%,Popfly: 3B (Deep SS)
t1,0-0,2,---,"7,(3-2) FBFFBBS",O,OAK,Matt Chapman,Hector Velazquez,1%,55%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Athletics 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Athletics 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Athletics 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Athletics' Mike Fiers facing 1-2-3"
b1,0-0,0,---,"2,(1-0) BX",O,BOS,Andrew Benintendi,Mike Fiers,-2%,53%,Flyball: LF (Deep LF)
b1,0-0,1,---,"4,(2-1) BBFX",O,BOS,Mookie Betts,Mike Fiers,-2%,51%,Foul Popfly: 1B (1B into Foul Terr.)
b1,0-0,2,---,"1,(0-0) X",O,BOS,J.D. Martinez,Mike Fiers,-1%,50%,Flyball: CF (Deep CF-RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Athletics 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Athletics 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Athletics 0, Red Sox 0."
"Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6","Top of the 2nd, Athletics Batting, Tied 0-0, Red Sox' Hector Velazquez facing 4-5-6"
t2,0-0,0,---,"5,(1-2) CCBFX",,OAK,Khris Davis,Hector Velazquez,-4%,46%,Single to CF (Ground Ball thru SS-2B)
t2,0-0,0,1--,"1,(0-0) H",,OAK,Stephen Piscotty,Hector Velazquez,-5%,41%,Hit By Pitch; Davis to 2B
t2,0-0,0,12-,"4,(1-2) CBFC",O,OAK,Kendrys Morales,Hector Velazquez,5%,46%,Strikeout Looking
t2,0-0,1,12-,"5,(1-2) FBFFS",O,OAK,Chad Pinder,Hector Velazquez,5%,51%,Strikeout Swinging
t2,0-0,2,12-,"7,(3-2) FBFBBFX",R,OAK,Ramon Laureano,Hector Velazquez,-10%,41%,Single to RF (Line Drive to Short RF Line); Davis Scores; Piscotty to 3B
t2,1-0,2,1-3,"1,(0-0) X",O,OAK,Josh Phegley,Hector Velazquez,5%,45%,Foul Popfly: 3B (3B into Foul Terr.)
,,,,,,,,,"1 run, 2 hits, 0 errors, 2 LOB. Athletics 1, Red Sox 0.","1 run, 2 hits, 0 errors, 2 LOB. Athletics 1, Red Sox 0.","1 run, 2 hits, 0 errors, 2 LOB. Athletics 1, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Athletics' Mike Fiers facing 4-5-6"
b2,0-1,0,---,"1,(0-0) X",,BOS,Rafael Devers,Mike Fiers,4%,49%,Single to RF (Line Drive)
b2,0-1,0,1--,"4,(1-2) 1BFC11X",,BOS,Michael Chavis,Mike Fiers,9%,58%,Single to CF (Ground Ball thru SS-2B); Devers to 3B
b2,0-1,0,1-3,"4,(3-0) BBBX",RO,BOS,Mitch Moreland,Mike Fiers,-1%,57%,Flyball: LF/Sacrifice Fly (Deep LF); Devers Scores; Chavis to 2B
b2,1-1,1,-2-,"5,(3-1) CBB*BB",,BOS,Christian Vazquez,Mike Fiers,2%,59%,Walk
b2,1-1,1,12-,"2,(0-1) FX",,BOS,Jackie Bradley Jr.,Mike Fiers,6%,65%,Single to RF (Ground Ball thru 2B-1B); Chavis to 3B; Vazquez to 2B
b2,1-1,1,123,"3,(0-2) FFB",O,BOS,Tzu-Wei Lin,Mike Fiers,-10%,55%,Baserunner Out Advancing; Chavis out at Hm/C
b2,1-1,2,12-,"5,(1-2) FFB.FS",O,BOS,Tzu-Wei Lin,Mike Fiers,-5%,50%,Strikeout Swinging
,,,,,,,,,"1 run, 3 hits, 0 errors, 2 LOB. Athletics 1, Red Sox 1.","1 run, 3 hits, 0 errors, 2 LOB. Athletics 1, Red Sox 1.","1 run, 3 hits, 0 errors, 2 LOB. Athletics 1, Red Sox 1."
