Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,Abraham Almonte pinch hits for Mike Moustakas (DH) batting 3rd,Abraham Almonte pinch hits for Mike Moustakas (DH) batting 3rd,Abraham Almonte pinch hits for Mike Moustakas (DH) batting 3rd
t2,3-0,2,1--,"5,(2-2) .BSCBX",O,KCR,Abraham Almonte,Eduardo Rodriguez,2%,26%,Flyball: RF (Deep RF)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Royals 3, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Royals 3, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Royals 3, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Royals' Jason Hammel facing 4-5-6"
b2,0-3,0,---,"2,(1-0) .BX",R,BOS,Mitch Moreland,Jason Hammel,9%,35%,Home Run (Fly Ball to Deep RF)
b2,1-3,0,---,"3,(1-1) BSX",O,BOS,Xander Bogaerts,Jason Hammel,-3%,32%,Flyball: CF (Deep CF)
b2,1-3,1,---,"5,(2-2) CBBFX",O,BOS,Rafael Devers,Jason Hammel,-2%,30%,Flyball: CF (Deep CF-RF)
b2,1-3,2,---,"4,(2-1) BFBX",O,BOS,Eduardo Nunez,Jason Hammel,-1%,29%,Groundout: P-3B-1B (Front of Home)
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Royals 3, Red Sox 1.","1 run, 1 hit, 0 errors, 0 LOB. Royals 3, Red Sox 1.","1 run, 1 hit, 0 errors, 0 LOB. Royals 3, Red Sox 1."
"Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Royals Batting, Ahead 3-1, Red Sox' Eduardo Rodriguez facing 4-5-6"
t3,3-1,0,---,"7,(3-2) BCBBFFS",O,KCR,Salvador Perez,Eduardo Rodriguez,2%,31%,Strikeout Swinging
t3,3-1,1,---,"3,(1-1) .BCX",O,KCR,Cheslor Cuthbert,Eduardo Rodriguez,1%,32%,Flyball: CF (Deep CF-RF)
t3,3-1,2,---,"5,(2-2) FBFBX",O,KCR,Lucas Duda,Eduardo Rodriguez,1%,33%,Flyball: LF (Short LF-CF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Royals 3, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 3, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 3, Red Sox 1."
