Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Cubs' John Lackey facing 4-5-6"
b2,0-0,0,---,"3,(1-1) FBX",O,BOS,Hanley Ramirez,John Lackey,2%,47%,Groundout: SS-1B
b2,0-0,1,---,"7,(3-2) CFBBBFB",,BOS,Mitch Moreland,John Lackey,-3%,45%,Walk
b2,0-0,1,1--,"3,(0-2) CFX",,BOS,Dustin Pedroia,John Lackey,-4%,41%,Single to LF (Ground Ball thru SS-3B Hole); Moreland to 2B
b2,0-0,1,12-,"4,(0-2) CCFX",R,BOS,Jackie Bradley Jr.,John Lackey,-9%,32%,Single to LF (Ground Ball); Moreland Scores; Pedroia to 2B
b2,1-0,1,12-,"6,(2-2) C*BFFBX",O,BOS,Christian Vazquez,John Lackey,3%,35%,Flyball: RF (Deep RF); Pedroia to 3B
b2,1-0,2,1-3,"3,(1-1) F1*BX",O,BOS,Marco Hernandez,John Lackey,5%,39%,Groundout: SS-2B/Forceout at 2B
,,,,,,,,,"1 run, 2 hits, 0 errors, 2 LOB. Cubs 0, Red Sox 1.","1 run, 2 hits, 0 errors, 2 LOB. Cubs 0, Red Sox 1.","1 run, 2 hits, 0 errors, 2 LOB. Cubs 0, Red Sox 1."
"Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1","Top of the 3rd, Cubs Batting, Behind 0-1, Red Sox' Steven Wright facing 8-9-1"
t3,0-1,0,---,"5,(3-1) BBFBX",,CHC,Albert Almora,Steven Wright,4%,44%,Single to LF (Line Drive)
