Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,0,1,2,0,1,2
"Rick Porcello, L (12-12)",4.0,7.0,6.0,6.0,0.0,1.0,2.0,5.83,19.0,73.0,54.0,39.0,3.0,12.0,8.0,10.0,3.0,0.0,25.0,,,-0.329,0.8,-0.01%,0.05,-3.7,1.0,DJ LeMahieu,3B,1.0,Mookie Betts,RF
Ryan Brasier,0.1,2.0,2.0,1.0,0.0,1.0,1.0,5.55,4.0,19.0,11.0,6.0,4.0,1.0,1.0,2.0,0.0,0.0,,0.0,0.0,-0.123,0.7,-0.01%,0.05,-1.7,2.0,Aaron Judge,RF,2.0,Rafael Devers,3B
Trevor Kelley,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.57,1.0,7.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,,2.0,1.0,-0.012,1.04,-0.00%,0.07,0.0,3.0,Didi Gregorius,SS,3.0,Xander Bogaerts,SS
Josh Taylor,0.1,0.0,0.0,0.0,0.0,1.0,0.0,2.91,1.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.011,0.36,0.00%,0.02,0.3,4.0,Gary Sanchez,C,4.0,J.D. Martinez,DH
Jhoulys Chacin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6,4.0,17.0,9.0,6.0,1.0,2.0,0.0,3.0,3.0,0.0,,0.0,0.0,0.02,0.26,0.00%,0.02,0.6,5.0,Edwin Encarnacion,DH,5.0,Andrew Benintendi,LF
Josh A. Smith,2.0,2.0,0.0,0.0,0.0,2.0,0.0,5.28,8.0,33.0,21.0,14.0,4.0,3.0,2.0,4.0,2.0,0.0,,0.0,0.0,0.027,0.19,0.00%,0.01,1.2,6.0,Gleyber Torres,2B,6.0,Brock Holt,2B
Marcus Walden,0.1,1.0,2.0,1.0,1.0,0.0,0.0,3.38,4.0,25.0,14.0,9.0,2.0,3.0,2.0,1.0,0.0,0.0,,0.0,0.0,-0.028,0.21,-0.00%,0.01,-1.7,7.0,Brett Gardner,CF,7.0,Mitch Moreland,1B
Hector Velazquez,0.2,1.0,0.0,0.0,0.0,0.0,0.0,5.51,3.0,11.0,7.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,,2.0,1.0,-0.002,0.11,0.00%,0.01,0.3,8.0,Luke Voit,1B,8.0,Sandy Leon,C
Team Totals,9.0,13.0,10.0,8.0,2.0,5.0,3.0,8.0,44.0,192.0,125.0,85.0,15.0,25.0,15.0,22.0,9.0,0.0,25.0,5.0,2.0,-0.436,0.53,-0.02%,0.04,-4.7,9.0,Mike Tauchman,LF,9.0,Jackie Bradley Jr.,CF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masahiro Tanaka,P,,Rick Porcello,P
