Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Nathan Eovaldi,6.0,2,1,1,2,4,0,4.2,21,102,65,39,6,20,7,8,2,0,66.0,,,0.262,1.02,0.20%,1.32,2.4
"Darwinzon Hernandez, L (0-2)",0.1,2,2,2,1,0,0,4.63,4,16,7,5,0,2,1,2,2,0,,0.0,0.0,-0.275,1.92,-0.21%,2.48,-1.9
Adam Ottavino,0.2,1,0,0,0,0,0,4.3,3,11,7,4,0,3,1,2,2,0,,2.0,1.0,0.014,1.67,0.01%,2.16,0.5
Hirokazu Sawamura,2.0,2,0,0,0,4,0,3.31,8,32,22,11,7,4,2,2,1,0,,0.0,0.0,0.106,0.89,0.08%,1.14,1.1
Team Totals,9.0,7,3,3,3,8,0,3.0,36,161,101,59,13,29,11,14,7,0,66.0,2.0,1.0,0.107,1.15,0.08%,1.48,2.1
