0,1,2
1.0,Corey Dickerson,LF
2.0,Kevin Kiermaier,CF
3.0,Evan Longoria,3B
4.0,Brad Miller,2B
5.0,Steven Souza Jr.,RF
6.0,Logan Morrison,1B
7.0,Rickie Weeks,DH
8.0,Derek Norris,C
9.0,Tim Beckham,SS
,Blake Snell,P
