Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Steven Wright, W (1-1)",6.0,9,3,1,1,4,0,8.36,27,98,64,39,8,17,9,13,6,0,49.0,,,0.098,1.18,0.07%,1.3,0.9
"Robbie Ross, H (1)",0.2,1,0,0,1,2,0,5.4,4,19,12,5,4,3,0,1,0,0,,1.0,0.0,0.016,3.01,0.01%,3.34,0.1
"Ben Taylor, H (1)",0.1,1,0,0,0,0,0,1.59,2,12,8,6,0,2,0,2,1,0,,3.0,1.0,0.021,4.97,0.01%,5.51,-0.2
"Heath Hembree, H (4)",1.0,0,0,0,0,2,0,3.0,3,10,9,3,3,3,0,1,0,0,,0.0,0.0,0.127,1.61,0.08%,1.79,0.6
"Craig Kimbrel, S (6)",1.0,0,0,0,0,3,0,1.29,3,15,11,3,2,6,0,0,0,0,,0.0,0.0,0.174,2.22,0.12%,2.46,0.6
Team Totals,9.0,11,3,1,2,11,0,1.0,39,154,104,56,17,31,9,17,7,0,49.0,4.0,1.0,0.436,1.66,0.29%,1.84,2.0
