Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t2,1-0,2,1-3,"2,(0-1) CX",RR,SEA,Kyle Seager,Nathan Eovaldi,16%,76%,Triple to CF (Fly Ball to Weak 2B); Haggerty Scores; France Scores
b4,0-4,1,12-,"2,(0-1) CX",OO,BOS,Rafael Devers,Chris Flexen,8%,88%,Ground Ball Double Play: P-SS-1B (SS-2B)
t1,0-0,1,-2-,"7,(3-2) BBCFFBX",R,SEA,Kyle Seager,Nathan Eovaldi,8%,59%,Single to RF (Ground Ball); France Scores
t1,1-0,2,123,"3,(1-1) FBX",O,SEA,Luis Torrens,Nathan Eovaldi,-7%,54%,Groundout: SS-2B/Forceout at 2B; Torrens to 1B
b4,0-4,0,1--,"5,(3-1) B1BB1CB",,BOS,J.D. Martinez,Chris Flexen,-6%,75%,Walk; Verdugo to 2B
