Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rangers' Ariel Jurado facing 5-6-7"
b2,0-1,0,---,"4,(2-1) BBCX",R,BOS,Xander Bogaerts,Ariel Jurado,-10%,45%,Home Run (Fly Ball to Deep CF)
b2,1-1,0,---,"5,(2-2) CBBFS",O,BOS,Brock Holt,Ariel Jurado,2%,47%,Strikeout Swinging
b2,1-1,1,---,"1,(0-0) X",O,BOS,Christian Vazquez,Ariel Jurado,2%,49%,Groundout: P-1B (Front of Home)
b2,1-1,2,---,"4,(1-2) CSBS",O,BOS,Marco Hernandez,Ariel Jurado,1%,50%,Strikeout Swinging
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Rangers 1, Red Sox 1.","1 run, 1 hit, 0 errors, 0 LOB. Rangers 1, Red Sox 1.","1 run, 1 hit, 0 errors, 0 LOB. Rangers 1, Red Sox 1."
"Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 3rd, Rangers Batting, Tied 1-1, Red Sox' Darwinzon Hernandez facing 1-2-3"
t3,1-1,0,---,"5,(3-1) CBBBX",O,TEX,Shin-Soo Choo,Darwinzon Hernandez,-3%,47%,Flyball: LF (Short LF Line)
t3,1-1,1,---,"5,(3-1) FBBBB",,TEX,Danny Santana,Darwinzon Hernandez,3%,50%,Walk
t3,1-1,1,1--,"5,(3-1) BB*BCB",,TEX,Elvis Andrus,Darwinzon Hernandez,4%,54%,Walk; Santana to 2B
