Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t3,2-7,2,12-,"1,(0-0) X",RRR,CHW,Nicky Delmonico,Rick Porcello,-15%,75%,Home Run (Fly Ball to Deep RF Line); Garcia Scores; Moncada Scores
b2,4-2,1,1--,"1,(0-0) X",RR,BOS,Mookie Betts,Miguel Gonzalez,12%,86%,Home Run (Fly Ball to Deep LF Line); Vazquez Scores
b1,2-0,1,-2-,"4,(1-2) CBFX",RR,BOS,Rafael Devers,Miguel Gonzalez,11%,84%,Home Run (Fly Ball to Deep LF-CF); Ramirez Scores
b1,1-0,1,-2-,"2,(1-0) >B.X",R,BOS,Hanley Ramirez,Miguel Gonzalez,8%,74%,Double to CF (Line Drive to Deep CF); Nunez Scores
b1,0-0,1,-2-,"3,(1-1) BCX",R,BOS,Eduardo Nunez,Miguel Gonzalez,8%,64%,Single to CF (Line Drive to Deep CF); Benintendi Scores
