Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3"
t1,0-0,0,---,"3,(2-0) BBX",O,KCR,Whit Merrifield,Rick Porcello,-2%,48%,Lineout: LF (Deep LF)
t1,0-0,1,---,"7,(3-2) CBBFFB*B",,KCR,Jorge Bonifacio,Rick Porcello,2%,50%,Walk
t1,0-0,1,1--,"7,(1-2) CFFBFFX",OO,KCR,Lorenzo Cain,Rick Porcello,-5%,45%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Royals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Royals' Jason Vargas facing 1-2-3"
b1,0-0,0,---,"3,(2-0) BBX",O,BOS,Mookie Betts,Jason Vargas,2%,47%,Groundout: SS-1B
b1,0-0,1,---,"5,(3-1) BBFBB",,BOS,Eduardo Nunez,Jason Vargas,-2%,45%,Walk
b1,0-0,1,1--,"4,(2-1) C1BBX",O,BOS,Dustin Pedroia,Jason Vargas,3%,48%,Flyball: CF (Deep LF-CF)
b1,0-0,2,1--,"6,(3-2) 11BCBS*B>X",O,BOS,Hanley Ramirez,Jason Vargas,2%,50%,Groundout: 3B-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Royals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Royals 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Royals 0, Red Sox 0."
"Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6","Top of the 2nd, Royals Batting, Tied 0-0, Red Sox' Rick Porcello facing 4-5-6"
t2,0-0,0,---,"3,(0-2) CSX",O,KCR,Eric Hosmer,Rick Porcello,-2%,48%,Groundout: 2B-1B (2B-1B)
t2,0-0,1,---,"2,(0-1) CX",R,KCR,Salvador Perez,Rick Porcello,10%,58%,Home Run (Fly Ball to Deep LF)
t2,1-0,1,---,"3,(0-2) CFS",O,KCR,Mike Moustakas,Rick Porcello,-2%,56%,Strikeout Swinging
t2,1-0,2,---,"4,(1-2) CBSS",O,KCR,Brandon Moss,Rick Porcello,-1%,55%,Strikeout Swinging
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Royals 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Royals 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Royals 1, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 5-6-7"
b2,0-1,0,---,"4,(2-1) BCBX",,BOS,Jackie Bradley Jr.,Jason Vargas,-4%,51%,Single to 1B (Ground Ball to Weak 1B)
b2,0-1,0,1--,"6,(2-2) 1C1BC11FBX",OO,BOS,Xander Bogaerts,Jason Vargas,8%,59%,Ground Ball Double Play: SS-2B-1B
b2,0-1,2,---,"4,(1-2) BSSX",O,BOS,Chris Young,Jason Vargas,1%,61%,Lineout: SS (Deep SS)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Royals 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Royals 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Royals 1, Red Sox 0."
"Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1","Top of the 3rd, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 8-9-1"
t3,1-0,0,---,"3,(0-2) SCC",O,KCR,Alcides Escobar,Rick Porcello,-2%,58%,Strikeout Looking
t3,1-0,1,---,"2,(0-1) CX",O,KCR,Alex Gordon,Rick Porcello,-2%,57%,Groundout: 2B-1B (Deep 2B-1B)
t3,1-0,2,---,"4,(2-1) BCBX",O,KCR,Whit Merrifield,Rick Porcello,-1%,56%,Popfly: 2B (2B-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Royals 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 1, Red Sox 0."
"Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Behind 0-1, Royals' Jason Vargas facing 8-9-1"
b3,0-1,0,---,"4,(1-2) CBCS",O,BOS,Rafael Devers,Jason Vargas,3%,58%,Strikeout Swinging
b3,0-1,1,---,"8,(3-2) CBBBSFFB",,BOS,Sandy Leon,Jason Vargas,-3%,55%,Walk
b3,0-1,1,1--,"2,(1-0) BX",O,BOS,Mookie Betts,Jason Vargas,4%,59%,Popfly: 1B (Short 1B Line)
b3,0-1,2,1--,"5,(0-2) FFFFX",,BOS,Eduardo Nunez,Jason Vargas,-2%,57%,Single to 3B (Ground Ball); Leon to 2B
b3,0-1,2,12-,"4,(1-2) CS*BX",O,BOS,Dustin Pedroia,Jason Vargas,5%,62%,Groundout: SS-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. Royals 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Royals 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Royals 1, Red Sox 0."
"Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4","Top of the 4th, Royals Batting, Ahead 1-0, Red Sox' Rick Porcello facing 2-3-4"
t4,1-0,0,---,"5,(2-2) CBCBX",,KCR,Jorge Bonifacio,Rick Porcello,4%,65%,Single to CF (Ground Ball thru SS-2B)
t4,1-0,0,1--,"2,(0-1) CX",O,KCR,Lorenzo Cain,Rick Porcello,-3%,62%,Groundout: 3B-2B/Forceout at 2B (SS-3B Hole)
t4,1-0,1,1--,"7,(3-2) B1BB>FT>F1>X",,KCR,Eric Hosmer,Rick Porcello,6%,68%,Single to LF (Ground Ball thru SS-3B Hole); Cain to 3B
t4,1-0,1,1-3,"6,(2-2) CBBF>FS",O,KCR,Salvador Perez,Rick Porcello,-7%,62%,Strikeout Swinging
t4,1-0,2,1-3,"4,(1-2) FBS>B",,KCR,Mike Moustakas,Rick Porcello,1%,62%,Hosmer Steals 2B
t4,1-0,2,-23,"9,(3-2) FBS>B.FFBFX",RRR,KCR,Mike Moustakas,Rick Porcello,22%,85%,Home Run (Line Drive to Deep RF Line); Cain Scores; Hosmer Scores
t4,4-0,2,---,"4,(2-1) BBSX",,KCR,Brandon Moss,Rick Porcello,1%,86%,Double to RF (Line Drive to Deep RF Line)
t4,4-0,2,-2-,"3,(1-1) *BFX",O,KCR,Alcides Escobar,Rick Porcello,-2%,84%,Flyball: RF (Deep CF-RF)
,,,,,,,,,"3 runs, 4 hits, 0 errors, 1 LOB. Royals 4, Red Sox 0.","3 runs, 4 hits, 0 errors, 1 LOB. Royals 4, Red Sox 0.","3 runs, 4 hits, 0 errors, 1 LOB. Royals 4, Red Sox 0."
"Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 4-5-6"
b4,0-4,0,---,"4,(2-1) BFBX",O,BOS,Hanley Ramirez,Jason Vargas,2%,86%,Lineout: CF (Deep CF-RF)
b4,0-4,1,---,"5,(2-2) BSCBX",O,BOS,Jackie Bradley Jr.,Jason Vargas,1%,88%,Flyball: LF (Short LF-CF)
b4,0-4,2,---,"3,(0-2) CFX",O,BOS,Xander Bogaerts,Jason Vargas,1%,89%,Lineout: SS
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Royals 4, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 4, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 4, Red Sox 0."
"Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2","Top of the 5th, Royals Batting, Ahead 4-0, Red Sox' Rick Porcello facing 9-1-2"
t5,4-0,0,---,"4,(2-1) BCBX",O,KCR,Alex Gordon,Rick Porcello,-1%,88%,Flyball: LF (Short LF-CF)
t5,4-0,1,---,"3,(2-0) BBX",O,KCR,Whit Merrifield,Rick Porcello,-1%,87%,Groundout: 1B unassisted (Weak 1B)
t5,4-0,2,---,"3,(1-1) SBX",O,KCR,Jorge Bonifacio,Rick Porcello,0%,87%,Foul Popfly: 1B (1B into Foul Terr.)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Royals 4, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 4, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Royals 4, Red Sox 0."
"Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-4, Royals' Jason Vargas facing 7-8-9"
b5,0-4,0,---,"1,(0-0) X",O,BOS,Chris Young,Jason Vargas,2%,89%,Foul Popfly: 3B (3B into Foul Terr.)
b5,0-4,1,---,"2,(0-1) CX",,BOS,Rafael Devers,Jason Vargas,-3%,85%,Double to RF (Ground Ball)
b5,0-4,1,-2-,"8,(3-2) BF*BFFF*BX",O,BOS,Sandy Leon,Jason Vargas,3%,89%,Lineout: LF (LF Line)
b5,0-4,2,-2-,"3,(1-1) CBX",R,BOS,Mookie Betts,Jason Vargas,-6%,83%,Single to LF (Line Drive to LF Line); Devers Scores
b5,1-4,2,1--,"1,(0-0) X",,BOS,Eduardo Nunez,Jason Vargas,-2%,80%,Single to RF (Ground Ball); Betts to 2B
b5,1-4,2,12-,"4,(1-2) CBFX",O,BOS,Dustin Pedroia,Jason Vargas,5%,85%,Groundout: 3B unassisted/Forceout at 3B (Weak 3B)
,,,,,,,,,"1 run, 3 hits, 0 errors, 2 LOB. Royals 4, Red Sox 1.","1 run, 3 hits, 0 errors, 2 LOB. Royals 4, Red Sox 1.","1 run, 3 hits, 0 errors, 2 LOB. Royals 4, Red Sox 1."
"Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5","Top of the 6th, Royals Batting, Ahead 4-1, Red Sox' Rick Porcello facing 3-4-5"
t6,4-1,0,---,"7,(2-2) CFBFFBX",,KCR,Lorenzo Cain,Rick Porcello,2%,87%,Single to CF (Line Drive to LF-CF)
t6,4-1,0,1--,"3,(1-1) 11CBX",OO,KCR,Eric Hosmer,Rick Porcello,-4%,83%,Ground Ball Double Play: 2B-SS-1B (2B-1B)
t6,4-1,2,---,"3,(0-2) FFX",O,KCR,Salvador Perez,Rick Porcello,-1%,82%,Groundout: 3B-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Royals 4, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Royals 4, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Royals 4, Red Sox 1."
"Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6","Bottom of the 6th, Red Sox Batting, Behind 1-4, Royals' Jason Vargas facing 4-5-6"
b6,1-4,0,---,"6,(3-2) FBSBBS",O,BOS,Hanley Ramirez,Jason Vargas,3%,85%,Strikeout Swinging
