Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Mariners Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"7,(3-2) BCSBFBX",,SEA,Mitch Haniger,Eduardo Rodriguez,-6%,44%,Double to LF (Ground Ball thru SS-3B Hole)
t1,0-0,0,-2-,"2,(0-1) CX",R,SEA,Ty France,Eduardo Rodriguez,-9%,36%,Double to LF (Ground Ball thru SS-3B Hole); Haniger Scores
t1,1-0,0,-2-,"1,(0-0) X",O,SEA,Kyle Seager,Eduardo Rodriguez,1%,37%,Flyball: RF (Deep RF Line); France to 3B
t1,1-0,1,--3,"3,(1-1) SBX",O,SEA,Kyle Lewis,Eduardo Rodriguez,5%,42%,Popfly: 2B
t1,1-0,2,--3,"4,(1-2) SFBS",O,SEA,Evan White,Eduardo Rodriguez,3%,46%,Strikeout Swinging
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Mariners 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Mariners 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Mariners 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Mariners' Nick Margevicius facing 1-2-3"
b1,0-1,0,---,"4,(1-2) CFBX",,BOS,Enrique Hernandez,Nick Margevicius,4%,49%,Single to RF (Ground Ball)
b1,0-1,0,1--,"5,(3-1) C*BBBB",,BOS,Rafael Devers,Nick Margevicius,6%,55%,Walk; Hernandez to 2B
b1,0-1,0,12-,"5,(3-1) BFBBB",,BOS,J.D. Martinez,Nick Margevicius,7%,62%,Walk; Hernandez to 3B; Devers to 2B
b1,0-1,0,123,"5,(2-2) CFBBS",O,BOS,Xander Bogaerts,Nick Margevicius,-7%,55%,Strikeout Swinging
