Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
Anaheim Angels,37,4.51,0.7,162,1458,1127,12939.0,6106,4313,1690,103,142,0.983,39,4
Baltimore Orioles,46,5.12,0.694,162,1458,1173,12891.0,6021,4297,1599,125,137,0.979,-13,-1
Boston Red Sox,48,4.63,0.684,161,1449,1133,13032.0,6015,4344,1558,113,129,0.981,-50,-5
Chicago White Sox,41,4.91,0.698,162,1458,1090,12900.0,6149,4300,1731,118,149,0.981,7,1
Cleveland Indians,43,5.07,0.67,162,1458,1055,13020.0,6057,4340,1610,107,137,0.982,-49,-4
Detroit Tigers,42,5.41,0.675,162,1458,1130,12864.0,6194,4288,1775,131,164,0.979,-35,-3
Kansas City Royals,44,5.3,0.69,162,1458,1156,12960.0,6238,4320,1801,117,204,0.981,50,5
Minnesota Twins,42,4.73,0.698,162,1458,1172,12972.0,5974,4324,1542,108,118,0.982,30,3
New York Yankees,45,4.43,0.683,161,1449,1133,13062.0,5992,4354,1529,109,132,0.982,-57,-5
Oakland Athletics,41,3.98,0.699,162,1458,1172,13170.0,6271,4390,1756,125,151,0.98,19,2
Seattle Mariners,35,3.87,0.727,162,1458,1047,13185.0,6012,4395,1534,83,137,0.986,104,9
Tampa Bay Devil Rays,46,5.48,0.683,162,1458,1195,12813.0,5941,4271,1531,139,144,0.977,-28,-3
Texas Rangers,51,5.98,0.673,162,1458,1146,12945.0,6067,4315,1638,114,167,0.981,-47,-4
Toronto Blue Jays,40,4.65,0.68,162,1458,1146,13164.0,6316,4388,1831,97,184,0.985,-4,0
League Average,42,4.86,0.689,162,1457,1134,12994.0,6097,4331,1652,114,150,0.981,-2,0
,583,4.86,0.689,2266,20394,15875,181917.0,85353,60639,23125,1589,2095,0.981,-35,0
