Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Cristhian Adames#,25,COL,12,14,13,1,0,0,0,0,0,0,0,1,6,.000,.071,.000,.071,-80,0,0,0,0,0,0,H/346
2,Austin Adams,26,WSN,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
3,Lane Adams,27,ATL,85,122,109,19,30,4,1,5,20,10,0,10,37,.275,.339,.468,.807,109,51,3,1,1,1,0,H78/9
4,Matt Adams*,28,TOT,131,367,339,46,93,22,1,20,65,0,0,23,88,.274,.319,.522,.841,115,177,5,1,0,4,5,3H7/D
5,Matt Adams*,28,STL,31,53,48,4,14,2,0,1,7,0,0,4,17,.292,.340,.396,.735,94,19,0,0,0,1,0,H/73D
6,Matt Adams*,28,ATL,100,314,291,42,79,20,1,19,58,0,0,19,71,.271,.315,.543,.858,119,158,5,1,0,3,5,3H7
7,Tim Adleman,29,CIN,27,32,29,0,3,1,0,0,2,0,0,0,10,.103,.103,.138,.241,-38,4,0,0,3,0,0,1
8,Jesús Aguilar,27,MIL,133,311,279,40,74,15,2,16,52,0,0,25,94,.265,.331,.505,.837,114,141,8,4,0,3,1,3H/D5
9,Nick Ahmed,27,ARI,53,178,167,24,42,8,1,6,21,3,4,10,39,.251,.298,.419,.717,79,70,6,1,0,0,3,6/H
10,Matt Albers*,34,WSN,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
11,Ozzie Albies#,20,ATL,57,244,217,34,62,9,5,6,28,8,1,21,36,.286,.354,.456,.810,110,99,3,3,1,2,0,4
12,Arismendy Alcántara#,25,CIN,70,108,105,13,18,3,1,1,7,2,0,2,38,.171,.187,.248,.435,12,26,2,0,1,0,0,H4/89657
13,Sandy Alcántara,21,STL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
14,Jorge Alfaro,24,PHI,29,114,107,12,34,6,0,5,14,0,0,3,33,.318,.360,.514,.874,127,55,2,4,0,0,1,2/3
15,Albert Almora,23,CHC,132,323,299,39,89,18,1,8,46,1,0,19,53,.298,.338,.445,.782,100,133,8,0,3,2,1,8H/79
16,Aaron Altherr,26,PHI,107,412,372,58,101,24,5,19,65,5,4,32,104,.272,.340,.516,.856,122,192,12,7,0,1,2,798/H
17,Henderson Alvarez III,27,PHI,3,6,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
18,Alexi Amarista*,28,COL,96,176,168,22,40,10,0,3,19,1,0,7,38,.238,.269,.351,.620,51,59,5,0,1,0,0,H46/8975
19,Brett Anderson*,29,CHC,6,8,7,0,1,0,0,0,1,0,0,1,3,.143,.250,.143,.393,6,1,0,0,0,0,0,/1
20,Brian Anderson,24,MIA,25,95,84,11,22,7,1,0,8,0,0,10,28,.262,.337,.369,.706,94,31,1,0,0,1,0,5/H
