Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Tim Adleman,28,CIN,4,4,.500,4.00,13,13,0,0,0,0,69.2,64,32,31,13,20,1,47,5,0,0,287,107,5.30,1.206,8.3,1.7,2.6,6.1,2.35
2,Dario Álvarez*,27,ATL,3,1,.750,3.00,16,0,4,0,0,0,15.0,11,5,5,3,5,2,28,1,0,4,61,141,3.21,1.067,6.6,1.8,3.0,16.8,5.60
3,Alexi Amarista,27,SDP,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.15,0.000,0.0,0.0,0.0,0.0,
4,Brett Anderson*,28,LAD,1,2,.333,11.91,4,3,0,0,0,0,11.1,25,15,15,4,4,0,5,0,0,2,62,35,7.91,2.559,19.9,3.2,3.2,4.0,1.25
5,Chase Anderson,28,MIL,9,11,.450,4.39,31,30,1,0,0,0,151.2,155,83,74,28,53,0,120,4,0,4,647,97,5.09,1.371,9.2,1.7,3.1,7.1,2.26
6,Tyler Anderson*,26,COL,5,6,.455,3.54,19,19,0,0,0,0,114.1,119,50,45,12,28,2,99,3,3,4,478,137,3.59,1.286,9.4,0.9,2.2,7.8,3.54
7,Elvis Araújo*,24,PHI,2,1,.667,5.60,32,0,9,0,0,0,27.1,35,22,17,4,17,2,29,2,1,0,134,76,5.01,1.902,11.5,1.3,5.6,9.5,1.71
8,Jake Arrieta,30,CHC,18,8,.692,3.10,31,31,0,1,1,0,197.1,138,72,68,16,76,1,190,6,0,16,795,135,3.52,1.084,6.3,0.7,3.5,8.7,2.50
9,Alec Asher,24,PHI,2,1,.667,2.28,5,5,0,0,0,0,27.2,22,11,7,1,4,0,13,2,0,0,111,186,3.33,0.940,7.2,0.3,1.3,4.2,3.25
10,Luis Avilán*,26,LAD,3,0,1.000,3.20,27,0,3,0,0,0,19.2,12,8,7,0,10,4,28,2,0,1,82,127,2.13,1.119,5.5,0.0,4.6,12.8,2.80
11,Pedro Báez,28,LAD,3,2,.600,3.04,73,0,10,0,0,0,74.0,52,27,25,11,22,0,83,2,2,3,295,132,3.81,1.000,6.3,1.3,2.7,10.1,3.77
12,Andrew Bailey,32,PHI,3,1,.750,6.40,33,0,4,0,0,0,32.1,32,23,23,6,15,0,33,1,1,2,144,66,5.00,1.454,8.9,1.7,4.2,9.2,2.20
13,Homer Bailey,30,CIN,2,3,.400,6.65,6,6,0,0,0,0,23.0,35,19,17,2,7,0,27,2,0,1,111,65,3.10,1.826,13.7,0.8,2.7,10.6,3.86
14,Jacob Barnes,26,MIL,0,1,.000,2.70,27,0,7,0,0,1,26.2,24,9,8,1,6,1,26,0,0,2,106,160,2.36,1.125,8.1,0.3,2.0,8.8,4.33
15,Kyle Barraclough,26,MIA,6,3,.667,2.85,75,0,6,0,0,0,72.2,45,24,23,1,44,1,113,2,0,8,306,138,2.11,1.225,5.6,0.1,5.4,14.0,2.57
16,Jake Barrett,24,ARI,1,2,.333,3.49,68,0,12,0,0,4,59.1,47,25,23,6,28,4,56,3,0,4,250,129,4.14,1.264,7.1,0.9,4.2,8.5,2.00
17,Antonio Bastardo*,30,TOT,3,0,1.000,4.52,69,0,11,0,0,0,67.2,60,37,34,11,32,3,74,4,4,6,297,91,4.67,1.360,8.0,1.5,4.3,9.8,2.31
18,Antonio Bastardo*,30,NYM,0,0,,4.74,41,0,11,0,0,0,43.2,41,24,23,8,21,2,46,3,2,1,195,85,5.07,1.420,8.5,1.6,4.3,9.5,2.19
19,Antonio Bastardo*,30,PIT,3,0,1.000,4.13,28,0,0,0,0,0,24.0,19,13,11,3,11,1,28,1,2,5,102,102,3.94,1.250,7.1,1.1,4.1,10.5,2.55
20,Buddy Baumann*,28,SDP,1,0,1.000,3.72,11,0,2,0,0,0,9.2,7,4,4,0,4,0,10,1,0,0,40,111,2.63,1.138,6.5,0.0,3.7,9.3,2.50
21,Matt Belisle,36,WSN,0,0,,1.76,40,0,6,0,0,0,46.0,43,13,9,2,7,3,32,1,0,2,186,244,2.84,1.087,8.4,0.4,1.4,6.3,4.57
22,Christian Bergman,28,COL,1,3,.250,8.39,15,1,5,0,0,0,24.2,39,24,23,7,6,0,22,0,0,0,119,58,5.78,1.824,14.2,2.6,2.2,8.0,3.67
23,Christian Bethancourt,24,SDP,0,0,,0.00,2,0,1,0,0,0,1.2,1,0,0,0,3,0,1,1,0,0,10,,9.15,2.400,5.4,0.0,16.2,5.4,0.33
24,Chad Bettis,27,COL,14,8,.636,4.79,32,32,0,1,1,0,186.0,204,107,99,22,59,5,138,7,0,4,814,101,4.26,1.414,9.9,1.1,2.9,6.7,2.34
25,Ty Blach*,25,SFG,1,0,1.000,1.06,4,2,2,0,0,0,17.0,8,2,2,1,5,0,10,0,1,0,62,387,3.62,0.765,4.2,0.5,2.6,5.3,2.00
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
26,Aaron Blair,24,ATL,2,7,.222,7.59,15,15,0,0,0,0,70.0,82,61,59,14,34,4,46,6,0,0,324,55,6.15,1.657,10.5,1.8,4.4,5.9,1.35
27,Joe Blanton,35,LAD,7,2,.778,2.48,75,0,15,0,0,0,80.0,55,23,22,7,26,4,80,2,0,3,315,163,3.33,1.013,6.2,0.8,2.9,9.0,3.08
28,Michael Blazek,27,MIL,3,1,.750,5.66,41,0,7,0,0,0,41.1,52,31,26,7,27,3,36,2,0,2,201,76,5.71,1.911,11.3,1.5,5.9,7.8,1.33
29,Jerry Blevins*,32,NYM,4,2,.667,2.79,73,0,8,0,0,2,42.0,36,14,13,4,15,3,52,1,0,1,178,145,3.05,1.214,7.7,0.9,3.2,11.1,3.47
30,Mike Bolsinger,28,LAD,1,4,.200,6.83,6,6,0,0,0,0,27.2,33,21,21,7,9,1,25,2,0,0,122,59,5.82,1.518,10.7,2.3,2.9,8.1,2.78
31,Wilfredo Boscán,26,PIT,1,1,.500,6.46,6,1,2,0,0,0,15.1,15,11,11,2,7,0,8,0,1,1,67,66,5.17,1.435,8.8,1.2,4.1,4.7,1.14
32,Matt Bowman,25,STL,2,5,.286,3.46,59,0,12,0,0,0,67.2,59,31,26,4,20,2,52,1,0,0,281,118,3.31,1.167,7.8,0.5,2.7,6.9,2.60
33,Blaine Boyer,34,MIL,2,4,.333,3.95,61,0,17,0,0,1,66.0,80,30,29,4,17,3,26,1,0,0,282,108,3.96,1.470,10.9,0.5,2.3,3.5,1.53
34,Silvino Bracho,23,ARI,0,2,.000,7.30,26,0,11,0,0,0,24.2,31,22,20,7,10,1,17,3,0,3,119,62,7.04,1.662,11.3,2.6,3.6,6.2,1.70
35,Archie Bradley,23,ARI,8,9,.471,5.02,26,26,0,0,0,0,141.2,154,84,79,16,67,8,143,4,2,7,638,89,4.10,1.560,9.8,1.0,4.3,9.1,2.13
36,Jed Bradley*,26,ATL,1,1,.500,5.14,6,0,1,0,0,0,7.0,7,4,4,0,6,2,4,0,0,1,33,85,4.57,1.857,9.0,0.0,7.7,5.1,0.67
37,Steven Brault*,24,PIT,0,3,.000,4.86,8,7,0,0,0,0,33.1,45,26,18,5,17,1,29,2,0,1,166,86,5.07,1.860,12.2,1.4,4.6,7.8,1.71
38,Craig Breslow*,35,MIA,0,2,.000,4.50,15,0,4,0,0,0,14.0,21,9,7,1,4,0,7,0,0,2,63,90,3.93,1.786,13.5,0.6,2.6,4.5,1.75
39,Austin Brice,24,MIA,0,1,.000,7.07,15,0,2,0,0,0,14.0,9,12,11,2,5,1,14,2,0,0,59,57,4.50,1.000,5.8,1.3,3.2,9.0,2.80
40,Mike Broadway,29,SFG,0,0,,11.81,4,0,2,0,0,0,5.1,9,7,7,2,1,0,4,0,0,0,25,36,7.08,1.875,15.2,3.4,1.7,6.8,4.00
41,Jonathan Broxton,32,STL,4,2,.667,4.30,66,0,14,0,0,0,60.2,52,32,29,7,24,5,57,3,0,1,259,95,4.10,1.253,7.7,1.0,3.6,8.5,2.38
42,Jake Buchanan,26,CHC,1,0,1.000,1.50,2,1,1,0,0,0,6.0,3,1,1,1,1,0,4,0,0,0,21,295,4.48,0.667,4.5,1.5,1.5,6.0,4.00
43,Ryan Buchter*,29,SDP,3,0,1.000,2.86,67,0,10,0,0,1,63.0,34,20,20,4,31,3,78,2,0,3,247,140,3.07,1.032,4.9,0.6,4.4,11.1,2.52
44,Madison Bumgarner*,26,SFG,15,9,.625,2.74,34,34,0,4,1,0,226.2,179,79,69,26,54,0,251,8,1,4,912,146,3.24,1.028,7.1,1.0,2.1,10.0,4.65
45,Enrique Burgos,25,ARI,1,2,.333,5.66,43,0,16,0,0,1,41.1,38,27,26,5,23,5,43,1,1,5,178,79,4.38,1.476,8.3,1.1,5.0,9.4,1.87
46,Sean Burnett*,33,WSN,0,0,,3.18,10,0,2,0,0,0,5.2,5,2,2,1,1,0,3,0,0,0,22,142,4.91,1.059,7.9,1.6,1.6,4.8,3.00
47,Matt Buschmann,32,ARI,0,0,,2.08,3,0,2,0,0,0,4.1,2,1,1,1,1,1,3,0,0,0,15,232,5.45,0.692,4.2,2.1,2.1,6.2,3.00
48,Eddie Butler,25,COL,2,5,.286,7.17,17,9,0,0,0,0,64.0,87,57,51,13,21,1,47,3,0,1,293,68,5.44,1.688,12.2,1.8,3.0,6.6,2.24
