Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jose Acevedo,25,CIN,2,0,1.000,2.67,5,4,1,1,0,0,27.0,17,8,8,3,6,1,23,1,0,1,103,156,3.55,0.852,5.7,1.0,2.0,7.7,3.83
2,Terry Adams,30,PHI,1,4,.200,2.65,66,0,16,0,0,0,68.0,68,22,20,1,23,4,51,2,0,4,284,151,2.83,1.338,9.0,0.1,3.0,6.8,2.22
3,Kurt Ainsworth,24,SFG,5,4,.556,3.82,11,11,0,0,0,0,66.0,66,31,28,7,26,0,48,1,0,2,283,111,4.18,1.394,9.0,1.0,3.5,6.5,1.85
4,Antonio Alfonseca,31,CHC,3,1,.750,5.83,60,0,17,0,0,0,66.1,76,43,43,7,27,3,51,2,0,0,296,75,4.18,1.553,10.3,0.9,3.7,6.9,1.89
5,Armando Almanza*,30,FLA,4,5,.444,6.08,51,0,15,0,0,0,50.1,59,37,34,10,25,2,49,2,1,2,230,70,5.28,1.669,10.5,1.8,4.5,8.8,1.96
6,Edwin Almonte,26,NYM,0,0,,11.12,12,0,3,0,0,0,11.1,21,15,14,3,5,1,7,0,0,1,57,39,6.56,2.294,16.7,2.4,4.0,5.6,1.40
7,Héctor Almonte,27,MON,1,1,.500,6.83,28,0,5,0,0,0,29.0,34,22,22,4,17,2,26,2,0,5,137,67,5.00,1.759,10.6,1.2,5.3,8.1,1.53
8,Juan Alvarez*,29,FLA,0,0,,3.09,9,0,3,0,0,0,11.2,8,4,4,2,8,1,6,1,0,0,46,140,6.55,1.371,6.2,1.5,6.2,4.6,0.75
9,Victor Álvarez*,26,LAD,0,1,.000,12.71,5,0,3,0,0,0,5.2,9,8,8,1,6,0,3,1,0,0,31,34,7.97,2.647,14.3,1.6,9.5,4.8,0.50
10,Wilson Álvarez*,33,LAD,6,2,.750,2.37,21,12,2,1,1,1,95.0,80,27,25,5,23,1,82,5,0,1,377,171,2.87,1.084,7.6,0.5,2.2,7.8,3.57
11,Jason Anderson,24,NYM,0,0,,5.06,6,0,2,0,0,0,10.2,10,6,6,2,5,1,7,1,0,0,47,86,5.84,1.406,8.4,1.7,4.2,5.9,1.40
12,Jimmy Anderson*,27,CIN,1,5,.167,8.84,8,7,1,0,0,0,38.2,60,39,38,8,14,1,13,0,0,0,184,47,6.13,1.914,14.0,1.9,3.3,3.0,0.93
13,Tony Armas,25,MON,2,1,.667,2.61,5,5,0,0,0,0,31.0,25,9,9,4,8,0,23,1,0,0,124,174,4.10,1.065,7.3,1.2,2.3,6.7,2.88
14,Andy Ashby,35,LAD,3,10,.231,5.18,21,12,5,0,0,0,73.0,90,42,42,8,17,2,41,3,0,5,318,78,4.15,1.466,11.1,1.0,2.1,5.1,2.41
15,Pedro Astacio,34,NYM,3,2,.600,7.36,7,7,0,0,0,0,36.2,47,30,30,8,18,1,20,3,0,4,174,58,6.49,1.773,11.5,2.0,4.4,4.9,1.11
16,Jeff Austin,26,CIN,2,3,.400,8.58,7,7,0,0,0,0,28.1,28,27,27,9,21,0,22,0,0,1,132,49,7.83,1.729,8.9,2.9,6.7,7.0,1.05
17,Luis Ayala,25,MON,10,3,.769,2.92,65,0,24,0,0,5,71.0,65,27,23,8,13,3,46,5,0,1,288,155,3.96,1.099,8.2,1.0,1.6,5.8,3.54
