Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Fernando Abad*,24,HOU,0,1,.000,2.84,22,0,6,0,0,0,19.0,14,6,6,3,5,0,12,0,0,0,76,142,4.66,1.000,6.6,1.4,2.4,5.7,2.40
2,Manny Acosta,29,NYM,3,2,.600,2.95,41,0,12,0,0,1,39.2,30,13,13,4,18,1,42,0,0,3,157,134,3.63,1.210,6.8,0.9,4.1,9.5,2.33
3,Mike Adams,31,SDP,4,1,.800,1.76,70,0,3,0,0,0,66.2,48,14,13,2,23,2,73,0,0,0,268,210,2.31,1.065,6.5,0.3,3.1,9.9,3.17
4,Jeremy Affeldt*,31,SFG,4,3,.571,4.14,53,0,14,0,0,4,50.0,56,25,23,4,24,5,44,3,0,4,228,95,3.98,1.600,10.1,0.7,4.3,7.9,1.83
5,Bronson Arroyo,33,CIN,17,10,.630,3.88,33,33,0,2,0,0,215.2,188,95,93,29,59,5,121,6,1,1,880,105,4.61,1.145,7.8,1.2,2.5,5.0,2.05
6,Luis Atilano,25,WSN,6,7,.462,5.15,16,16,0,0,0,0,85.2,96,56,49,11,32,5,40,2,1,1,385,79,5.01,1.494,10.1,1.2,3.4,4.2,1.25
7,Mitch Atkins,24,CHC,0,0,,6.30,5,0,2,0,0,0,10.0,12,8,7,2,6,0,10,1,0,0,49,70,5.78,1.800,10.8,1.8,5.4,9.0,1.67
8,John Axford,27,MIL,8,2,.800,2.48,50,0,43,0,0,24,58.0,42,17,16,1,27,3,76,1,0,4,238,163,2.13,1.190,6.5,0.2,4.2,11.8,2.81
9,Burke Badenhop,27,FLA,2,5,.286,3.99,53,0,16,0,0,1,67.2,62,33,30,5,21,5,47,2,0,1,281,104,3.67,1.227,8.2,0.7,2.8,6.3,2.24
10,Danys Báez,32,PHI,3,4,.429,5.48,51,0,17,0,0,0,47.2,55,31,29,6,23,2,28,3,0,1,216,75,5.18,1.636,10.4,1.1,4.3,5.3,1.22
11,Homer Bailey,24,CIN,4,3,.571,4.46,19,19,0,1,1,0,109.0,109,55,54,11,40,6,100,3,1,3,465,91,3.74,1.367,9.0,0.9,3.3,8.3,2.50
12,Collin Balester,24,WSN,0,1,.000,2.57,17,0,8,0,0,0,21.0,15,6,6,2,11,1,28,2,0,4,89,159,3.51,1.238,6.4,0.9,4.7,12.0,2.55
13,Josh Banks,27,HOU,0,1,.000,13.50,1,1,0,0,0,0,4.0,8,6,6,1,4,0,1,0,0,0,24,32,8.83,3.000,18.0,2.3,9.0,2.3,0.25
14,Brian Bass,28,PIT,0,0,,12.27,4,0,0,0,0,0,7.1,9,11,10,0,10,2,5,1,0,1,42,35,6.22,2.591,11.0,0.0,12.3,6.1,0.50
15,Antonio Bastardo*,24,PHI,2,0,1.000,4.34,25,0,2,0,0,0,18.2,19,9,9,1,9,0,26,2,0,0,86,96,2.76,1.500,9.2,0.5,4.3,12.5,2.89
16,Miguel Batista,39,WSN,1,2,.333,3.70,58,1,18,0,0,2,82.2,71,36,34,9,39,8,55,5,0,4,350,109,4.76,1.331,7.7,1.0,4.2,6.0,1.41
17,Denny Bautista,29,SFG,2,0,1.000,3.74,31,0,8,0,0,0,33.2,25,14,14,4,27,4,44,3,0,7,157,106,4.68,1.545,6.7,1.1,7.2,11.8,1.63
18,Brandon Beachy,23,ATL,0,2,.000,3.00,3,3,0,0,0,0,15.0,16,9,5,0,7,3,15,0,0,1,67,134,2.48,1.533,9.6,0.0,4.2,9.0,2.14
19,Joe Beimel*,33,COL,1,2,.333,3.40,71,0,11,0,0,0,45.0,46,18,17,5,15,3,21,0,1,2,188,137,4.59,1.356,9.2,1.0,3.0,4.2,1.40
20,Ronald Belisario,27,LAD,3,1,.750,5.04,59,0,13,0,0,2,55.1,52,31,31,6,19,4,38,3,1,4,233,77,4.31,1.283,8.5,1.0,3.1,6.2,2.00
