Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,46,5.55,0.678,162,1458,1102,12771.0,5966,4257,1607,102,156,0.983,-4,0,,-1,-8
Boston Red Sox,53,5.09,0.679,162,1458,1056,12972.0,6052,4324,1662,66,174,0.989,0,0,,-5,8
Chicago White Sox,37,4.9,0.693,162,1458,1096,13041.0,6092,4347,1655,90,145,0.985,-30,-3,,-3,-10
Cleveland Indians,45,4.83,0.675,162,1458,1208,12810.0,6057,4270,1669,118,165,0.981,-22,-2,,-4,8
Detroit Tigers,38,4.17,0.701,162,1458,1124,13032.0,6230,4344,1780,106,162,0.983,57,5,,5,-6
Kansas City Royals,53,5.99,0.676,162,1458,1165,12837.0,6035,4279,1658,98,189,0.984,-6,-1,,3,-4
Los Angeles Angels of Anaheim,40,4.52,0.69,162,1458,1097,13074.0,6027,4358,1545,124,154,0.979,9,1,,0,-3
Minnesota Twins,38,4.22,0.685,162,1458,1174,12954.0,6049,4318,1647,84,135,0.986,-2,0,,1,6
New York Yankees,49,4.73,0.696,162,1458,1023,12993.0,6028,4331,1593,104,145,0.983,-24,-2,,-3,4
Oakland Athletics,39,4.49,0.688,162,1458,1191,13065.0,6065,4355,1626,84,173,0.986,-11,-1,,0,0
Seattle Mariners,49,4.89,0.69,162,1458,1171,13020.0,6058,4340,1630,88,150,0.985,17,2,,5,2
Tampa Bay Devil Rays,49,5.28,0.671,162,1458,1125,12783.0,5971,4261,1594,116,156,0.981,-55,-5,,-3,-9
Texas Rangers,51,4.84,0.678,162,1458,1199,12882.0,6140,4294,1748,98,174,0.984,-33,-3,,1,8
Toronto Blue Jays,42,4.65,0.693,162,1458,1097,12855.0,6096,4285,1712,99,157,0.984,32,3,,4,3
League Average,44,4.87,0.685,162,1458,1131,12935.0,6062,4312,1652,98,160,0.984,-5,0,,0,0
,610,4.87,0.685,2268,20412,15828,181089.0,84866,60363,23126,1377,2235,0.984,-72,0,,0,1
