Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,27,28.3,4.9,25,35,0.417,4.51,60,60,60,0,1,0,11,518.2,489,294,260,79,192,2,487,34,4,35,2246,105,4.6,1.313,8.5,1.4,3.3,8.5,2.54,407
Boston Red Sox,30,29.1,5.85,24,36,0.4,5.58,60,60,60,0,2,0,14,524.0,587,351,325,98,252,4,537,31,3,28,2389,87,5.19,1.601,10.1,1.7,4.3,9.2,2.13,473
Chicago White Sox,28,27.6,4.1,35,25,0.583,3.81,60,60,59,1,6,1,13,527.0,448,246,223,71,217,6,523,23,0,24,2235,118,4.32,1.262,7.7,1.2,3.7,8.9,2.41,411
Cleveland Indians,18,27.6,3.48,35,25,0.583,3.29,60,60,59,1,7,0,20,536.0,440,209,196,68,157,8,621,27,1,20,2176,136,3.55,1.114,7.4,1.1,2.6,10.4,3.96,367
Detroit Tigers,23,26.6,5.48,23,35,0.397,5.63,58,58,57,1,1,0,11,492.1,511,318,308,91,192,2,444,34,0,18,2174,81,5.17,1.428,9.3,1.7,3.5,8.1,2.31,383
Houston Astros,26,27.0,4.58,29,31,0.483,4.31,60,60,60,0,0,0,16,524.0,472,275,251,70,217,7,526,29,4,25,2239,104,4.33,1.315,8.1,1.2,3.7,9.0,2.42,410
Kansas City Royals,27,27.1,4.53,26,34,0.433,4.3,60,60,59,1,4,1,19,517.0,500,272,247,76,211,7,517,29,3,28,2233,110,4.49,1.375,8.7,1.3,3.7,9.0,2.45,413
Los Angeles Angels,25,27.4,5.35,26,34,0.433,5.09,60,60,59,1,2,0,12,525.1,492,321,297,82,199,8,523,21,1,25,2256,90,4.49,1.315,8.4,1.4,3.4,9.0,2.63,370
Minnesota Twins,24,30.0,3.58,36,24,0.6,3.58,60,60,60,0,4,0,17,513.1,448,215,204,62,170,0,535,21,1,20,2130,122,3.79,1.204,7.9,1.1,3.0,9.4,3.15,381
New York Yankees,25,29.2,4.5,33,27,0.55,4.35,60,60,58,2,2,1,14,500.2,455,270,242,83,168,5,528,25,2,22,2133,99,4.39,1.244,8.2,1.5,3.0,9.5,3.14,371
Oakland Athletics,19,29.9,3.87,36,24,0.6,3.77,60,60,59,1,5,1,17,515.1,471,232,216,69,165,6,506,15,1,16,2164,112,4.02,1.234,8.2,1.2,2.9,8.8,3.07,396
Seattle Mariners,29,26.6,5.05,27,33,0.45,5.03,60,60,59,1,0,0,15,516.2,482,303,289,79,230,7,469,37,1,23,2249,86,4.91,1.378,8.4,1.4,4.0,8.2,2.04,402
Tampa Bay Rays,25,28.1,3.82,40,20,0.667,3.56,60,60,60,0,4,0,23,527.2,475,229,209,70,168,4,552,29,1,30,2212,116,3.94,1.219,8.1,1.2,2.9,9.4,3.29,408
Texas Rangers,25,28.7,5.2,22,38,0.367,5.02,60,60,58,2,3,1,10,516.2,479,312,288,81,236,3,489,30,2,21,2273,91,4.88,1.384,8.3,1.4,4.1,8.5,2.07,415
Toronto Blue Jays,29,29.5,5.2,32,28,0.533,4.6,60,60,60,0,1,0,17,524.2,517,312,268,81,250,7,519,14,2,15,2309,96,4.73,1.462,8.9,1.4,4.3,8.9,2.08,435
League Average,25,28.2,4.63,30,30,0.5,4.42,60,60,59,1,3,0,15,519.0,484,277,255,77,202,5,518,27,2,23,2228,101,4.45,1.323,8.4,1.3,3.5,9.0,2.57,403
,375,28.2,4.63,449,449,0.5,4.42,898,898,887,11,42,5,229,7779.1,7266,4159,3823,1160,3024,76,7776,399,26,350,33418,101,4.45,1.323,8.4,1.3,3.5,9.0,2.57,6042
