Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jose Acevedo,23,CIN,5,7,.417,5.44,18,18,0,0,0,0,96.0,101,61,58,17,34,2,68,3,0,4,417,85,5.09,1.406,9.5,1.6,3.2,6.4,2.00
2,Juan Acevedo,31,TOT,2,5,.286,4.18,59,0,20,0,0,0,60.1,68,35,28,6,35,9,47,2,0,1,282,116,4.62,1.707,10.1,0.9,5.2,7.0,1.34
3,Juan Acevedo,31,COL,0,2,.000,5.63,39,0,14,0,0,0,32.0,37,24,20,4,19,6,26,1,0,0,153,95,4.92,1.750,10.4,1.1,5.3,7.3,1.37
4,Juan Acevedo,31,FLA,2,3,.400,2.54,20,0,6,0,0,0,28.1,31,11,8,2,16,3,21,1,0,1,129,169,4.28,1.659,9.8,0.6,5.1,6.7,1.31
5,Terry Adams,28,LAD,12,8,.600,4.33,43,22,10,0,0,0,166.1,172,84,80,9,54,1,141,3,2,7,708,92,3.09,1.359,9.3,0.5,2.9,7.6,2.61
6,Kurt Ainsworth,22,SFG,0,0,,13.50,2,0,2,0,0,0,2.0,3,3,3,1,2,0,3,1,0,0,12,35,11.05,2.500,13.5,4.5,9.0,13.5,1.50
7,Antonio Alfonseca,29,FLA,4,4,.500,3.06,58,0,52,0,0,28,61.2,68,24,21,6,15,3,40,5,0,2,268,139,3.99,1.346,9.9,0.9,2.2,5.8,2.67
8,Armando Almanza*,28,FLA,2,2,.500,4.83,52,0,8,0,0,0,41.0,34,24,22,8,26,1,45,0,0,2,178,88,5.29,1.463,7.5,1.8,5.7,9.9,1.73
9,Brian Anderson*,29,ARI,4,9,.308,5.20,29,22,1,1,0,0,133.1,156,93,77,25,30,2,55,1,1,2,571,90,5.36,1.395,10.5,1.7,2.0,3.7,1.83
10,Jimmy Anderson*,25,PIT,9,17,.346,5.10,34,34,0,1,0,0,206.1,232,123,117,15,83,14,89,11,1,6,922,89,4.50,1.527,10.1,0.7,3.6,3.9,1.07
11,Rick Ankiel*,21,STL,1,2,.333,7.13,6,6,0,0,0,0,24.0,25,21,19,7,25,0,27,3,0,5,124,62,8.09,2.083,9.4,2.6,9.4,10.1,1.08
12,Kevin Appier,33,NYM,11,10,.524,3.57,33,33,0,1,1,0,206.2,181,89,82,22,64,4,172,15,0,12,856,116,3.92,1.185,7.9,1.0,2.8,7.5,2.69
13,Tony Armas,23,MON,9,14,.391,4.03,34,34,0,0,0,0,196.2,180,101,88,18,91,6,176,10,1,9,851,111,3.99,1.378,8.2,0.8,4.2,8.1,1.93
14,Bronson Arroyo,24,PIT,5,7,.417,5.09,24,13,1,1,0,0,88.1,99,54,50,12,34,6,39,4,1,4,390,89,5.22,1.506,10.1,1.2,3.5,4.0,1.15
