Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,David Aardsma,33,ATL,30,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
2,Cristhian Adames#,23,COL,26,58,53,4,13,1,1,0,3,0,1,3,11,.245,.298,.302,.600,55,16,0,1,1,0,1,6H/4
3,Matt Adams*,26,STL,60,186,175,14,42,9,0,5,24,1,0,10,41,.240,.280,.377,.657,78,66,1,0,0,1,1,3H
4,Nathan Adcock,27,CIN,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
5,Ehire Adrianza#,25,SFG,52,134,113,11,21,7,1,0,11,3,2,15,20,.186,.303,.265,.569,59,30,2,4,2,0,0,46H/35
6,Jeremy Affeldt*,36,SFG,47,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
7,Nick Ahmed,25,ARI,134,459,421,49,95,17,6,9,34,4,5,29,81,.226,.275,.359,.634,69,151,4,1,5,3,1,*6/H
8,Arismendy Alcántara#,23,CHC,11,32,26,5,2,0,0,0,1,1,0,5,11,.077,.226,.077,.303,-11,2,0,0,1,0,0,/4H5
9,Abraham Almonte#,26,SDP,31,62,54,6,11,3,0,0,4,1,1,5,19,.204,.271,.259,.530,50,14,1,0,3,0,0,H/879D
10,Yonder Alonso*,28,SDP,103,402,354,50,100,18,1,5,31,2,5,42,48,.282,.361,.381,.742,109,135,13,3,0,3,3,3/H5
11,Aaron Altherr,24,PHI,39,161,137,25,33,11,4,5,22,6,2,16,41,.241,.338,.489,.827,126,67,3,5,1,2,0,79/8H
12,Dario Álvarez*,26,NYM,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
13,Henderson Alvarez III,25,MIA,4,6,6,1,2,1,0,0,1,0,0,0,1,.333,.333,.500,.833,129,3,0,0,0,0,0,/1
14,Pedro Álvarez*,28,PIT,150,491,437,60,106,18,0,27,77,2,0,48,131,.243,.318,.469,.787,113,205,6,2,0,4,9,*3H/D
15,Alexi Amarista*,26,SDP,118,357,324,28,66,10,4,3,30,5,1,24,55,.204,.257,.287,.544,53,93,6,1,3,5,4,6H47/851
16,Brett Anderson*,27,LAD,29,61,47,1,4,1,0,0,3,0,0,5,32,.085,.173,.106,.279,-19,5,2,0,9,0,0,1
17,Chase Anderson,27,ARI,28,57,48,0,5,0,0,0,3,0,0,1,23,.104,.122,.104,.227,-38,5,2,0,8,0,0,1/H
18,Dean Anna*,28,STL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H
19,Nori Aoki*,33,SFG,93,392,355,42,102,12,3,5,26,14,5,30,25,.287,.353,.380,.733,103,135,8,6,1,0,0,7/H9D
20,Elvis Araújo*,23,PHI,36,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
21,Nolan Arenado,24,COL,157,665,616,97,177,43,4,42,130,2,5,34,110,.287,.323,.575,.898,124,354,17,4,0,11,13,*5/H
22,Joaquín Arias,30,SFG,40,59,58,5,12,1,0,1,4,1,0,0,12,.207,.207,.276,.483,32,16,1,0,1,0,0,H/5634D
23,Jake Arrieta,29,CHC,30,83,79,5,12,1,1,2,2,0,0,1,45,.152,.163,.266,.428,16,21,1,0,3,0,0,1
24,Cody Asche*,25,PHI,129,456,425,41,104,22,3,12,39,1,2,26,111,.245,.294,.395,.689,90,168,4,4,0,1,3,75H
25,Alec Asher,23,PHI,6,6,6,0,2,1,0,0,0,0,0,0,3,.333,.333,.500,.833,128,3,0,0,0,0,0,/1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
26,Nevin Ashley,30,MIL,12,21,20,2,2,1,0,0,1,0,0,0,8,.100,.143,.150,.293,-19,3,0,1,0,0,0,/2H
27,Phillippe Aumont*,26,PHI,1,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,/1
28,Luis Avilán*,25,TOT,66,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
29,Luis Avilán*,25,ATL,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
30,Luis Avilán*,25,LAD,20,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
31,Dylan Axelrod,29,CIN,6,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
32,John Axford,32,COL,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
33,Burke Badenhop,32,CIN,63,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
34,Javier Báez,22,CHC,28,80,76,4,22,6,0,1,4,1,2,4,24,.289,.325,.408,.733,102,31,0,0,0,0,1,45/6H3
35,Pedro Báez,27,LAD,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
36,Homer Bailey,29,CIN,2,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
37,Jeff Baker,34,MIA,41,80,72,11,15,3,0,3,8,0,0,8,25,.208,.288,.375,.663,83,27,0,0,0,0,0,H3/45D7
