Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,44,4.59,0.692,162,1458,1005,13185.0,6042,4395,1561,86,136,0.986,52,5,91,3,9
Atlanta Braves,50,4.59,0.685,162,1458,1127,13056.0,5952,4352,1522,78,154,0.987,5,0,22,2,-2
Chicago Cubs,52,4.43,0.681,162,1458,969,12978.0,6063,4326,1619,118,141,0.981,12,1,32,4,5
Cincinnati Reds,47,4.39,0.699,162,1458,972,12942.0,5865,4314,1460,91,124,0.984,25,2,41,3,9
Colorado Rockies,50,5.91,0.677,162,1458,1112,13038.0,6201,4346,1758,97,165,0.984,6,1,40,6,10
Los Angeles Dodgers,45,3.78,0.71,162,1458,977,13011.0,5871,4337,1428,106,117,0.982,48,4,105,2,2
Miami Marlins,50,4.99,0.703,162,1458,1058,12999.0,5791,4333,1364,94,135,0.984,-4,0,10,1,0
Milwaukee Brewers,49,4.73,0.691,162,1458,1013,13134.0,5870,4378,1395,97,135,0.983,7,1,27,-1,3
New York Mets,52,4.55,0.679,162,1458,933,13149.0,5917,4383,1435,99,129,0.983,-44,-4,-34,-3,-4
Philadelphia Phillies,53,4.9,0.687,162,1458,1122,13083.0,6010,4361,1552,97,136,0.984,16,1,68,2,0
Pittsburgh Pirates,54,5.62,0.666,162,1458,1068,12960.0,5934,4320,1493,121,130,0.98,-70,-7,-21,0,2
San Diego Padres,54,4.87,0.68,162,1458,1041,12888.0,5798,4296,1386,116,100,0.98,-42,-4,4,-1,-2
San Francisco Giants,63,4.77,0.699,162,1458,1079,13221.0,6033,4407,1536,90,142,0.985,14,1,19,0,0
St. Louis Cardinals,42,4.09,0.706,162,1458,1051,12996.0,5976,4332,1578,66,168,0.989,37,3,73,5,3
Washington Nationals,50,4.47,0.689,162,1458,1171,12954.0,5779,4318,1374,87,111,0.985,6,1,25,0,1
League Average,48,4.71,0.689,162,1458,1047,13040.0,5940,4347,1497,96,135,0.984,4,0,33,0,2
,720,4.71,0.689,2430,21870,15698,195594.0,89102,65198,22461,1443,2023,0.984,66,0,502,2,33
