Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,48,4.28,0.691,162,1458,1133,12912.0,5978,4304,1597,77,134,0.987,-8,-1,6,0,8
Boston Red Sox,50,4.65,0.68,162,1458,1138,13035.0,6067,4345,1625,97,148,0.984,-16,-2,-2,-1,-13
Chicago White Sox,40,4.33,0.673,162,1458,1151,13074.0,6041,4358,1582,101,159,0.983,-39,-4,-24,-1,-1
Cleveland Indians,49,3.98,0.699,161,1449,1152,12894.0,5905,4298,1528,79,136,0.987,42,4,15,-1,-2
Detroit Tigers,47,4.99,0.69,161,1449,1103,13023.0,6048,4341,1621,86,165,0.986,-12,-1,-4,-1,-1
Houston Astros,46,3.81,0.701,162,1458,1094,12969.0,6025,4323,1617,85,131,0.986,14,1,31,2,1
Kansas City Royals,45,3.96,0.701,162,1458,1172,13068.0,6055,4356,1611,88,138,0.985,17,2,35,2,10
Los Angeles Angels of Anaheim,51,4.17,0.701,162,1458,1058,12966.0,5906,4322,1491,93,108,0.984,13,1,-1,0,-5
Minnesota Twins,44,4.32,0.687,162,1458,1151,12987.0,6052,4329,1637,86,150,0.986,-14,-1,-38,-4,2
New York Yankees,55,4.31,0.685,162,1458,1037,13119.0,6060,4373,1594,93,135,0.985,-29,-3,-32,-3,-5
Oakland Athletics,52,4.5,0.691,162,1458,1105,13002.0,6102,4334,1642,126,154,0.979,-23,-2,-13,-2,-10
Seattle Mariners,51,4.48,0.688,162,1458,1059,13167.0,6168,4389,1685,94,155,0.985,-31,-3,-61,0,1
Tampa Bay Rays,51,3.96,0.701,162,1458,1027,13080.0,5863,4360,1408,95,118,0.984,12,1,14,-4,-1
Texas Rangers,57,4.52,0.687,162,1458,1094,12984.0,6142,4328,1695,119,169,0.981,43,4,-12,-1,2
Toronto Blue Jays,52,4.14,0.708,162,1458,1117,12969.0,6003,4323,1592,88,145,0.985,57,5,25,1,-4
League Average,47,4.29,0.692,162,1457,1106,13017.0,6028,4339,1595,94,143,0.984,2,0,-4,0,-1
,706,4.29,0.692,2428,21852,16591,195249.0,90415,65083,23925,1407,2145,0.984,27,0,-61,0,-15
