Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,48,5.16,0.689,162,1458,1152,12888.0,5970,4296,1572,102,152,0.983,27,3,,1,-3
Atlanta Braves,43,3.88,0.69,162,1458,1057,12954.0,6214,4318,1770,126,166,0.98,23,2,,2,0
Chicago Cubs,44,4.73,0.681,162,1458,1118,12930.0,5986,4310,1550,126,137,0.979,-52,-5,,-4,-14
Cincinnati Reds,44,4.23,0.701,162,1458,1079,13077.0,6039,4359,1608,72,142,0.988,26,2,,4,14
Colorado Rockies,43,4.43,0.682,162,1458,1075,12978.0,6134,4326,1707,101,182,0.984,22,2,,4,3
Florida Marlins,57,4.43,0.681,162,1458,1142,12945.0,5940,4315,1502,123,130,0.979,-19,-2,,-3,5
Houston Astros,48,4.5,0.68,162,1458,1136,12954.0,6018,4318,1597,103,135,0.983,-52,-5,,-2,-8
Los Angeles Dodgers,49,4.27,0.697,162,1458,1120,12975.0,6012,4325,1589,98,124,0.984,2,0,,-6,-8
Milwaukee Brewers,43,4.96,0.675,162,1458,1192,12951.0,5934,4317,1516,101,142,0.983,-37,-3,,0,8
New York Mets,47,4.02,0.691,162,1458,1143,13077.0,6111,4359,1665,87,159,0.986,31,3,,4,-7
Philadelphia Phillies,42,3.95,0.698,162,1458,1178,13107.0,6139,4369,1687,83,158,0.986,25,2,,0,10
Pittsburgh Pirates,52,5.35,0.671,162,1458,1170,12705.0,6016,4235,1654,127,120,0.979,-100,-9,,-7,-6
San Diego Padres,40,3.59,0.703,162,1458,1090,13107.0,6067,4369,1626,72,141,0.988,38,3,,8,2
San Francisco Giants,42,3.6,0.707,162,1458,997,13149.0,5941,4383,1485,73,110,0.988,25,2,,3,3
St. Louis Cardinals,42,3.96,0.694,162,1458,1038,13083.0,6332,4361,1872,99,172,0.984,6,1,,5,11
Washington Nationals,46,4.58,0.684,162,1458,1001,12915.0,6089,4305,1657,127,148,0.979,-8,-1,,-1,-4
League Average,43,4.35,0.689,162,1458,1106,12987.0,6059,4329,1629,101,145,0.983,-3,0,,0,1
,695,4.35,0.689,2592,23328,17688,207795.0,96942,69265,26057,1620,2318,0.983,-44,0,,0,9
