Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,41,30.8,4.89,162,6241,5527,792,1466,282,44,179,756,97,44,535,975,0.265,0.333,0.429,0.763,88,2373,114,59,61,58,37,1128
Atlanta Braves,47,30.8,5.0,162,6275,5489,810,1490,274,26,179,758,148,56,595,1010,0.271,0.346,0.429,0.775,95,2353,127,59,87,45,38,1192
Chicago Cubs,51,30.7,4.72,162,6397,5577,764,1426,272,23,183,722,93,37,632,1120,0.256,0.335,0.411,0.746,90,2293,114,54,89,45,50,1215
Cincinnati Reds,45,29.2,5.06,163,6373,5635,825,1545,302,36,200,794,100,38,559,995,0.274,0.343,0.447,0.79,96,2519,137,64,56,58,60,1189
Colorado Rockies,49,29.2,5.98,162,6453,5660,968,1664,320,53,161,905,131,61,601,907,0.294,0.362,0.455,0.816,87,2573,126,42,75,75,64,1198
Florida Marlins,40,26.1,4.54,161,6203,5509,731,1441,274,29,160,691,168,55,540,1184,0.262,0.331,0.409,0.74,91,2253,100,60,42,51,39,1168
Houston Astros,46,29.1,5.79,162,6444,5570,938,1547,289,36,249,900,114,52,673,1129,0.278,0.361,0.477,0.837,104,2655,154,83,57,61,57,1171
Los Angeles Dodgers,46,29.6,4.93,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,0.257,0.341,0.431,0.771,99,2362,129,51,66,46,42,1188
Milwaukee Brewers,46,28.9,4.54,163,6355,5563,740,1366,297,25,177,708,72,44,620,1245,0.246,0.325,0.403,0.729,85,2244,126,61,61,49,47,1183
Montreal Expos,49,26.2,4.56,162,6153,5535,738,1475,310,35,178,705,58,48,476,1048,0.266,0.326,0.432,0.758,87,2389,111,29,78,34,53,1100
New York Mets,47,30.4,4.98,162,6328,5486,807,1445,281,20,198,761,66,46,675,1037,0.263,0.346,0.43,0.776,98,2360,122,45,70,51,42,1214
Philadelphia Phillies,51,28.6,4.37,162,6273,5511,708,1386,304,40,144,668,102,30,611,1117,0.251,0.329,0.4,0.729,83,2202,115,44,70,37,40,1209
Pittsburgh Pirates,46,28.3,4.9,162,6369,5643,793,1506,320,31,168,749,86,40,564,1032,0.267,0.339,0.424,0.762,92,2392,133,66,59,37,41,1202
San Diego Padres,56,28.6,4.64,162,6291,5560,752,1413,279,37,157,714,131,53,602,1177,0.254,0.33,0.402,0.732,91,2237,123,46,39,43,50,1155
San Francisco Giants,36,29.9,5.71,162,6418,5519,925,1535,304,44,226,889,79,39,709,1032,0.278,0.362,0.472,0.834,115,2605,131,51,73,66,60,1213
St. Louis Cardinals,46,29.6,5.48,162,6369,5478,887,1481,259,25,235,841,87,51,675,1253,0.27,0.356,0.455,0.812,103,2495,116,84,79,53,33,1214
League Average,44,29.1,5.0,162,6328,5546,811,1475,290,33,188,770,102,46,608,1084,0.266,0.342,0.432,0.773,94,2394,124,56,66,51,47,1184
,699,29.1,5.0,2593,101254,88743,12976,23594,4632,532,3005,12317,1627,736,9735,17344,0.266,0.342,0.432,0.773,94,38305,1978,898,1062,809,753,18939
