Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,44,4.29,0.697,162,1458,1161,13455.0,6293,4485,1733,75,135,0.988,38,3,69,2,-7
Atlanta Braves,43,3.38,0.7,162,1458,1091,13053.0,6116,4351,1680,85,141,0.986,62,6,38,4,-2
Chicago Cubs,56,4.25,0.706,162,1458,1187,13032.0,6046,4344,1602,100,129,0.983,22,2,-2,0,0
Cincinnati Reds,39,3.64,0.715,162,1458,1122,13263.0,6140,4421,1643,76,131,0.988,89,8,28,1,4
Colorado Rockies,43,4.69,0.674,162,1458,1152,12924.0,6253,4308,1855,90,162,0.986,-7,-1,-34,0,2
Los Angeles Dodgers,49,3.59,0.692,162,1458,1058,13053.0,6183,4351,1723,109,160,0.982,27,2,20,3,1
Miami Marlins,52,3.99,0.695,162,1458,1198,13140.0,6155,4380,1687,88,144,0.986,10,1,-10,-1,-2
Milwaukee Brewers,40,4.24,0.697,162,1458,1137,12984.0,6070,4328,1628,114,153,0.981,19,2,44,-1,0
New York Mets,53,4.22,0.691,162,1458,1108,13290.0,6165,4430,1642,93,127,0.985,-34,-3,-24,-4,-6
Philadelphia Phillies,51,4.62,0.679,162,1458,1123,12927.0,6020,4309,1614,97,141,0.984,-49,-5,-93,-5,3
Pittsburgh Pirates,49,3.56,0.698,162,1458,1042,13236.0,6442,4412,1924,106,154,0.984,18,2,45,1,4
San Diego Padres,47,4.32,0.696,162,1458,1006,13095.0,6146,4365,1698,83,140,0.986,19,2,-4,1,4
San Francisco Giants,44,4.27,0.689,162,1458,1074,13026.0,5986,4342,1537,107,128,0.982,39,4,5,0,-4
St. Louis Cardinals,44,3.68,0.691,162,1458,1031,13137.0,6172,4379,1718,75,177,0.988,14,1,-38,1,3
Washington Nationals,44,3.86,0.691,162,1458,1169,13011.0,5993,4337,1549,107,146,0.982,-3,0,-17,-2,9
League Average,45,4.04,0.694,162,1458,1111,13108.0,6145,4369,1682,94,145,0.985,18,0,2,0,1
,673,4.04,0.694,2430,21870,16659,196626.0,92180,65542,25233,1405,2168,0.985,264,2,27,0,10
