Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Brent Abernathy,24,TBD,117,504,463,46,112,18,4,2,40,10,4,25,46,.242,.288,.311,.599,62,144,8,6,8,2,0,*4/HD
2,Juan Acevedo,32,DET,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
3,Benny Agbayani,30,BOS,13,43,37,5,11,1,0,0,8,0,0,6,5,.297,.395,.324,.720,93,12,1,0,0,0,1,7/98H
4,Luis Alicea#,36,KCR,94,273,237,28,54,8,2,1,23,2,3,32,34,.228,.322,.291,.613,59,69,5,1,3,0,1,45HD/3796
5,Chad Allen,27,CLE,5,11,10,0,1,1,0,0,0,0,0,0,2,.100,.100,.200,.300,-22,2,1,0,1,0,0,/7H9
6,Sandy Alomar,36,CHW,51,176,167,21,48,10,1,7,25,0,0,5,14,.287,.309,.485,.794,106,81,5,1,1,2,0,2/H
7,Juan Alvarez*,28,TEX,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
8,Wilson Álvarez*,32,TBD,2,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
9,Alfredo Amézaga#,24,ANA,12,13,13,3,7,2,0,0,2,1,0,0,1,.538,.538,.692,1.231,225,9,1,0,0,0,0,/H6D
10,Brady Anderson*,38,CLE,34,101,80,4,13,4,0,1,5,4,0,18,23,.163,.327,.250,.577,59,20,5,2,0,1,2,87/H9D
11,Garret Anderson*,30,ANA,158,678,638,93,195,56,3,29,123,6,4,30,80,.306,.332,.539,.871,127,344,11,0,0,10,11,*78D/H
12,Shane Andrews,30,BOS,7,15,13,2,1,1,0,0,0,0,0,1,3,.077,.200,.154,.354,-5,2,0,1,0,0,0,/53D7H
13,Kevin Appier,34,ANA,2,4,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
14,Alex Arias,34,NYY,6,8,7,0,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,-62,0,0,0,0,0,0,/5H6
15,Rolando Arrojo,36,BOS,2,3,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
16,Miguel Asencio,21,KCR,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
17,Jeff Austin,25,KCR,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
18,Bruce Aven,30,CLE,7,21,17,1,2,0,0,0,0,1,0,4,4,.118,.286,.118,.403,15,2,2,0,0,0,0,/78H9
19,Carlos Baerga#,33,BOS,73,194,182,17,52,11,0,2,19,6,0,7,20,.286,.316,.379,.695,82,69,6,2,1,2,1,HD4/5
20,Danys Báez,24,CLE,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
