Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Paul Abbott,32,SEA,9,7,.563,4.22,35,27,2,0,0,0,179.0,164,89,84,23,80,4,100,5,0,3,766,109,5.11,1.363,8.2,1.2,4.0,5.0,1.25
2,Juan Alvarez*,26,ANA,0,0,,13.50,11,0,3,0,0,0,6.0,14,9,9,3,7,1,2,0,0,1,38,39,12.47,3.500,21.0,4.5,10.5,3.0,0.29
3,Matt Anderson,23,DET,3,2,.600,4.72,69,0,27,0,0,1,74.1,61,44,39,8,45,4,71,3,0,4,324,99,4.56,1.426,7.4,1.0,5.4,8.6,1.58
4,Clayton Andrews*,22,TOR,1,2,.333,10.02,8,2,1,0,0,0,20.2,34,23,23,6,9,0,12,0,1,0,102,51,7.05,2.081,14.8,2.6,3.9,5.2,1.33
5,Kevin Appier,32,OAK,15,11,.577,4.52,31,31,0,1,1,0,195.1,200,109,98,23,102,10,129,9,0,6,884,104,5.05,1.546,9.2,1.1,4.7,5.9,1.26
6,Rolando Arrojo,34,BOS,5,2,.714,5.05,13,13,0,0,0,0,71.1,67,41,40,10,22,0,44,4,0,3,301,101,4.82,1.248,8.5,1.3,2.8,5.6,2.00
7,James Baldwin,28,CHW,14,7,.667,4.65,29,28,0,2,1,0,178.0,185,96,92,34,59,3,116,8,1,4,758,108,5.44,1.371,9.4,1.7,3.0,5.9,1.97
8,John Bale*,26,TOR,0,0,,14.73,2,0,0,0,0,0,3.2,5,7,6,1,3,0,6,2,0,0,22,37,7.50,2.182,12.3,2.5,7.4,14.7,2.00
9,Lorenzo Barceló,22,CHW,4,2,.667,3.69,22,1,5,0,0,0,39.0,34,17,16,5,9,1,26,0,0,1,157,137,4.16,1.103,7.8,1.2,2.1,6.0,2.89
10,Miguel Batista,29,KCR,2,6,.250,7.74,14,9,2,0,0,0,57.0,66,54,49,17,34,2,30,0,0,4,261,66,7.75,1.754,10.4,2.7,5.4,4.7,0.88
11,Rod Beck,31,BOS,3,0,1.000,3.10,34,0,8,0,0,0,40.2,34,15,14,2,12,1,35,2,0,1,169,165,3.08,1.131,7.5,0.4,2.7,7.7,2.92
12,Kevin Beirne,26,CHW,1,3,.250,6.70,29,1,8,0,0,0,49.2,50,41,37,9,20,1,41,4,0,1,220,75,5.29,1.409,9.1,1.6,3.6,7.4,2.05
13,Tim Belcher,38,ANA,4,5,.444,6.86,9,9,0,1,0,0,40.2,45,31,31,8,22,1,22,2,1,1,186,74,6.38,1.648,10.0,1.8,4.9,4.9,1.00
14,Todd Belitz*,24,OAK,0,0,,2.70,5,0,3,0,0,0,3.1,4,2,1,0,4,0,3,0,0,1,19,190,4.93,2.400,10.8,0.0,10.8,8.1,0.75
15,Jason Bere,29,CLE,6,3,.667,6.63,11,11,0,0,0,0,54.1,65,41,40,6,26,0,44,4,0,2,252,75,4.61,1.675,10.8,1.0,4.3,7.3,1.69
