Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Bobby Abreu,32,NYY,57,54,40,451.0,122,114,6,2,0,.984,-6,-15,-4,-10,2,2.39,2.11,OF
2,Winston Abreu,29,BAL,7,0,0,8.0,1,1,0,0,0,1.000,,,0,0,0,1.13,0.14,P
3,Jeremy Accardo,24,TOR,27,0,0,28.2,6,0,6,0,0,1.000,,,-1,-7,0,1.88,0.22,P
4,Russ Adams,25,TOR,86,66,53,595.2,298,100,186,12,36,.960,-9,-17,-7,-14,0,4.32,3.33,2B-SS
5,Jeremy Affeldt,27,KCR,27,9,0,70.0,7,0,6,1,0,.857,,,-2,-6,0,0.77,0.22,P
6,Antonio Alfonseca,34,TEX,19,0,0,16.0,4,1,3,0,0,1.000,,,0,0,0,2.25,0.21,P
7,Edgardo Alfonzo,32,TOT,29,22,16,202.2,71,19,52,0,5,1.000,2,9,0,0,0,3.15,2.45,3B-2B-1B
8,Sandy Alomar,40,CHW,17,14,11,126.0,101,96,4,1,1,.990,2,19,0,0,0,7.14,5.88,C
9,Abe Alvarez,23,BOS,1,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
10,Brian Anderson,24,CHW,134,106,90,966.0,310,305,3,2,1,.994,5,6,-2,-2,-6,2.87,2.30,OF
11,Garret Anderson,34,LAA,94,94,76,812.2,193,192,1,0,0,1.000,8,12,-12,-17,-2,2.14,2.05,OF
12,Steve Andrade,28,KCR,4,0,0,4.2,1,0,1,0,0,1.000,,,1,43,0,1.93,0.25,P
13,Danny Ardoin,31,BAL,5,4,4,35.0,36,35,1,0,0,1.000,0,0,0,0,0,9.26,7.20,C
14,Joaquín Arias,21,TEX,6,3,3,28.0,20,7,13,0,2,1.000,1,43,1,56,0,6.43,3.33,SS-3B
15,Erick Aybar,22,LAA,22,6,6,82.0,43,14,25,4,6,.907,-3,-41,-1,-15,0,4.28,1.77,SS-2B
16,Cha-Seung Baek,26,SEA,6,6,0,34.1,10,5,4,1,0,.900,,,2,12,0,2.36,1.50,P
17,Scott Baker,24,MIN,16,16,0,83.1,11,5,6,0,0,1.000,,,-1,-2,0,1.19,0.69,P
18,Paul Bako,34,KCR,53,44,39,392.0,280,258,20,2,3,.993,0,0,4,13,1,6.38,5.25,C
19,Rocco Baldelli,24,TBD,91,85,82,749.1,239,228,6,5,3,.979,3,5,2,3,-2,2.81,2.57,OF
20,Rod Barajas,30,TEX,97,95,89,837.0,651,605,36,10,2,.985,5,7,1,2,0,6.89,6.47,C-1B
21,Josh Bard,28,BOS,7,6,6,53.0,39,32,7,0,2,1.000,-4,-91,1,29,2,6.62,5.57,C
22,Kevin Barker,30,TOR,3,2,1,20.0,15,14,0,1,0,.933,-2,-138,-1,-60,0,6.30,4.67,1B-OF
23,Jason Bartlett,26,MIN,99,99,96,879.2,442,131,298,13,46,.971,3,4,7,10,0,4.39,4.33,SS
24,Tony Batista,32,MIN,50,50,48,434.0,130,27,97,6,6,.954,-2,-6,-8,-21,0,2.57,2.48,3B
25,Rick Bauer,29,TEX,58,1,0,71.0,10,4,5,1,2,.900,,,1,3,0,1.14,0.16,P
