Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,17,31.6,4.65,85,77,0.525,4.35,162,162,146,16,8,4,38,1443.2,1441,754,698,190,500,53,1220,42,10,30,6158,110,4.28,1.344,9.0,1.2,3.1,7.6,2.44,1073
Atlanta Braves,22,31.4,4.41,95,67,0.586,4.05,162,162,149,13,9,6,53,1440.1,1428,714,648,165,484,52,1093,37,6,23,6165,114,4.19,1.327,8.9,1.0,3.0,6.8,2.26,1130
Chicago Cubs,24,28.4,5.58,65,97,0.401,5.25,162,162,152,10,5,1,39,1454.2,1505,904,849,231,658,45,1143,62,4,45,6451,87,5.11,1.487,9.3,1.4,4.1,7.1,1.74,1183
Cincinnati Reds,21,28.5,4.69,85,77,0.525,4.33,163,163,155,8,7,1,42,1456.1,1446,765,700,190,659,53,1015,43,5,96,6362,110,4.88,1.445,8.9,1.2,4.1,6.3,1.54,1228
Colorado Rockies,25,29.9,5.54,82,80,0.506,5.26,162,162,155,7,2,1,33,1430.0,1568,897,835,221,588,72,1001,72,5,40,6340,110,5.13,1.508,9.9,1.4,3.7,6.3,1.7,1153
Florida Marlins,18,26.7,4.95,79,82,0.491,4.59,161,161,156,5,4,3,48,1429.2,1477,797,729,169,650,56,1051,43,10,49,6307,96,4.65,1.488,9.3,1.1,4.1,6.6,1.62,1221
Houston Astros,23,28.0,5.83,72,90,0.444,5.42,162,162,154,8,2,1,30,1437.2,1596,944,865,234,598,25,1064,60,3,55,6455,92,5.14,1.526,10.0,1.5,3.7,6.7,1.78,1198
Los Angeles Dodgers,21,29.5,4.5,86,76,0.531,4.1,162,162,153,9,11,3,36,1445.0,1379,729,659,176,600,22,1154,75,6,60,6249,106,4.52,1.37,8.6,1.1,3.7,7.2,1.92,1185
Milwaukee Brewers,24,27.4,5.07,73,89,0.451,4.63,163,163,161,2,7,1,29,1466.1,1501,826,755,174,728,87,967,65,6,60,6497,99,4.98,1.52,9.2,1.1,4.5,5.9,1.33,1272
Montreal Expos,27,26.1,5.57,67,95,0.414,5.13,162,162,158,4,7,2,39,1424.2,1575,902,812,181,579,40,1011,60,7,55,6340,94,4.71,1.512,9.9,1.1,3.7,6.4,1.75,1164
New York Mets,20,31.0,4.56,94,68,0.58,4.16,162,162,154,8,10,2,49,1450.0,1398,738,670,164,574,42,1164,60,7,34,6276,107,4.31,1.36,8.7,1.0,3.6,7.2,2.03,1188
Philadelphia Phillies,27,28.7,5.12,65,97,0.401,4.77,162,162,154,8,6,3,34,1438.2,1458,830,763,201,640,32,1123,42,3,54,6314,98,4.81,1.458,9.1,1.3,4.0,7.0,1.75,1168
Pittsburgh Pirates,24,27.1,5.48,69,93,0.426,4.94,162,162,157,5,7,2,27,1449.0,1554,888,795,163,711,61,1070,60,6,67,6514,94,4.72,1.563,9.7,1.0,4.4,6.6,1.5,1279
San Diego Padres,29,27.5,5.03,76,86,0.469,4.52,162,162,157,5,5,0,46,1459.1,1443,815,733,191,649,50,1071,68,7,66,6414,95,4.84,1.434,8.9,1.2,4.0,6.6,1.65,1221
San Francisco Giants,17,28.5,4.61,97,65,0.599,4.21,162,162,153,9,15,4,47,1444.1,1452,747,675,151,623,26,1076,41,4,43,6270,102,4.38,1.437,9.0,0.9,3.9,6.7,1.73,1190
St. Louis Cardinals,24,29.3,4.76,95,67,0.586,4.38,162,162,152,10,7,4,37,1433.2,1403,771,698,196,606,28,1100,62,9,49,6200,107,4.77,1.401,8.8,1.2,3.8,6.9,1.82,1128
League Average,21,28.7,5.02,80,82,0.496,4.63,162,162,154,8,7,2,39,1444.0,1476,814,743,187,615,46,1083,56,6,52,6332,101,4.72,1.449,9.2,1.2,3.8,6.7,1.76,1186
,341,28.7,5.02,1285,1306,0.496,4.63,2593,2593,2466,127,112,38,627,23103.1,23624,13021,11884,2997,9847,744,17323,892,98,826,101312,101,4.72,1.449,9.2,1.2,3.8,6.7,1.76,18981
