Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,46,31.5,4.5,162,6135,5551,729,1492,296,27,189,700,83,37,447,902,0.269,0.327,0.434,0.761,102,2409,145,54,40,42,31,1103
Boston Red Sox,52,31.3,5.62,162,6403,5626,910,1579,339,21,199,863,45,12,653,1044,0.281,0.357,0.454,0.811,111,2557,135,47,14,63,34,1249
Chicago White Sox,38,29.3,4.57,162,6146,5529,741,1450,253,23,200,713,137,67,435,1002,0.262,0.322,0.425,0.747,95,2349,122,79,53,49,27,1032
Cleveland Indians,38,27.5,4.88,162,6255,5609,790,1522,337,30,207,760,62,36,503,1093,0.271,0.334,0.453,0.787,111,2540,128,54,39,50,33,1148
Detroit Tigers,45,28.5,4.46,162,6136,5602,723,1521,283,45,168,678,66,28,384,1038,0.272,0.321,0.428,0.75,100,2398,137,53,44,52,24,1077
Kansas City Royals,46,28.0,4.33,162,6086,5503,701,1445,289,34,126,653,53,33,424,1008,0.263,0.32,0.396,0.716,91,2180,139,63,46,50,23,1062
Los Angeles Angels of Anaheim,40,29.8,4.7,162,6186,5624,761,1520,278,30,147,726,161,57,447,848,0.27,0.325,0.409,0.734,96,2299,125,29,43,39,51,1086
Minnesota Twins,37,27.6,4.25,162,6192,5564,688,1441,269,32,134,644,102,44,485,978,0.259,0.323,0.391,0.714,88,2176,155,59,42,42,49,1109
New York Yankees,51,32.3,5.47,162,6406,5624,886,1552,259,16,229,847,84,27,637,989,0.276,0.355,0.45,0.805,115,2530,125,73,28,43,41,1264
Oakland Athletics,41,28.6,4.77,162,6275,5627,772,1476,310,20,155,739,31,22,537,819,0.262,0.33,0.407,0.737,96,2291,148,52,19,40,22,1170
Seattle Mariners,48,28.7,4.31,162,6095,5507,699,1408,289,34,130,657,102,47,466,986,0.256,0.317,0.391,0.709,92,2155,115,48,37,37,50,1076
Tampa Bay Devil Rays,43,27.5,4.63,162,6120,5552,750,1519,289,40,157,717,151,49,412,990,0.274,0.329,0.425,0.754,101,2359,133,69,34,51,25,1065
Texas Rangers,50,27.9,5.34,162,6301,5716,865,1528,311,29,260,834,67,15,495,1112,0.267,0.329,0.468,0.798,105,2677,123,48,9,32,20,1104
Toronto Blue Jays,37,27.9,4.78,162,6233,5581,775,1480,307,39,136,735,72,35,486,955,0.265,0.331,0.407,0.738,94,2273,126,89,21,56,18,1118
League Average,43,29.0,4.76,162,6212,5587,771,1495,294,30,174,733,87,36,486,983,0.268,0.33,0.424,0.755,100,2371,133,58,34,46,32,1119
,598,29.0,4.76,2268,86969,78215,10790,20933,4109,420,2437,10266,1216,509,6811,13764,0.268,0.33,0.424,0.755,100,33193,1856,817,469,646,448,15663
