Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Paul Abbott,34,SEA,1,3,.250,11.96,7,5,1,0,0,0,26.1,40,36,35,5,20,0,22,1,0,2,137,36,6.15,2.278,13.7,1.7,6.8,7.5,1.10
2,Juan Acevedo,32,DET,1,5,.167,2.65,65,0,48,0,0,28,74.2,68,33,22,4,23,3,43,5,0,2,314,161,3.63,1.219,8.2,0.5,2.8,5.2,1.87
3,Jeremy Affeldt*,23,KCR,3,4,.429,4.64,34,7,4,0,0,0,77.2,85,41,40,8,37,4,67,3,2,5,353,107,4.12,1.571,9.8,0.9,4.3,7.8,1.81
4,Juan Alvarez*,28,TEX,0,4,.000,4.76,52,0,12,0,0,0,39.2,35,22,21,7,21,0,30,3,1,0,173,100,5.56,1.412,7.9,1.6,4.8,6.8,1.43
5,Wilson Álvarez*,32,TBD,2,3,.400,5.28,23,10,3,0,0,1,75.0,80,47,44,13,36,3,56,4,0,2,339,84,5.32,1.547,9.6,1.6,4.3,6.7,1.56
6,Matt Anderson,25,DET,2,1,.667,9.00,12,0,8,0,0,0,11.0,17,13,11,1,8,1,8,2,0,1,58,49,5.42,2.273,13.9,0.8,6.5,6.5,1.00
7,Kevin Appier,34,ANA,14,12,.538,3.92,32,32,0,0,0,0,188.1,191,89,82,23,64,2,132,7,0,7,795,113,4.28,1.354,9.1,1.1,3.1,6.3,2.06
8,Rolando Arrojo,36,BOS,4,3,.571,4.98,29,8,4,0,0,1,81.1,83,47,45,7,27,1,51,6,0,2,348,92,4.04,1.352,9.2,0.8,3.0,5.6,1.89
9,Miguel Asencio,21,KCR,4,7,.364,5.11,31,21,7,0,0,0,123.1,136,73,70,17,64,2,58,3,0,7,557,97,5.44,1.622,9.9,1.2,4.7,4.2,0.91
10,Jeff Austin,25,KCR,0,0,,4.91,10,0,6,0,0,0,11.0,14,6,6,0,6,1,6,0,0,1,52,104,3.51,1.818,11.5,0.0,4.9,4.9,1.00
11,Brandon Backe,24,TBD,0,0,,6.92,9,0,4,0,0,0,13.0,15,10,10,3,7,0,6,2,0,0,61,66,7.12,1.692,10.4,2.1,4.8,4.2,0.86
12,Danys Báez,24,CLE,10,11,.476,4.41,39,26,9,1,0,6,165.1,160,84,81,14,82,5,130,9,1,6,726,99,4.14,1.464,8.7,0.8,4.5,7.1,1.59
13,Cory Bailey,31,KCR,3,4,.429,4.11,37,0,14,0,0,1,46.0,53,24,21,5,31,7,24,2,1,1,211,121,5.48,1.826,10.4,1.0,6.1,4.7,0.77
14,James Baldwin,30,SEA,7,10,.412,5.28,30,23,4,0,0,0,150.0,179,95,88,26,49,2,88,7,0,1,662,81,5.16,1.520,10.7,1.6,2.9,5.3,1.80
15,Willie Banks,33,BOS,2,1,.667,3.23,29,0,18,0,0,1,39.0,32,15,14,5,14,0,26,3,0,1,162,142,4.60,1.179,7.4,1.2,3.2,6.0,1.86
16,Lorenzo Barceló,24,CHW,0,1,.000,9.00,4,0,0,0,0,0,6.0,9,6,6,1,1,0,1,0,0,0,28,53,5.30,1.667,13.5,1.5,1.5,1.5,1.00
17,Rick Bauer,25,BAL,6,7,.462,3.98,56,1,15,0,0,1,83.2,84,41,37,12,36,4,45,4,0,4,358,108,5.19,1.434,9.0,1.3,3.9,4.8,1.25
18,Steve Bechler,22,BAL,0,0,,13.50,3,0,0,0,0,0,4.2,6,7,7,3,4,0,3,1,0,0,25,34,13.25,2.143,11.6,5.8,7.7,5.8,0.75
19,Érik Bédard*,23,BAL,0,0,,13.50,2,0,0,0,0,0,0.2,2,1,1,0,0,0,1,0,0,0,4,49,-0.04,3.000,27.0,0.0,0.0,13.5,
20,Rob Bell,25,TEX,4,3,.571,6.22,17,15,0,0,0,0,94.0,113,69,65,16,35,0,70,1,0,7,425,76,4.83,1.574,10.8,1.5,3.4,6.7,2.00
21,Joaquín Benoit,24,TEX,4,5,.444,5.31,17,13,2,0,0,1,84.2,91,51,50,6,58,2,59,5,0,7,405,89,4.72,1.760,9.7,0.6,6.2,6.3,1.02
22,Adam Bernero,25,DET,4,7,.364,6.20,28,11,5,0,0,0,101.2,128,74,70,17,31,1,69,6,1,5,459,69,4.87,1.564,11.3,1.5,2.7,6.1,2.23
23,Jason Beverlin,28,TOT,0,3,.000,8.69,7,3,1,0,0,0,19.2,27,22,19,3,9,0,16,0,0,2,95,51,4.69,1.831,12.4,1.4,4.1,7.3,1.78
24,Jason Beverlin,28,CLE,0,0,,7.36,4,0,1,0,0,0,7.1,9,7,6,1,4,0,9,0,0,1,35,62,3.92,1.773,11.0,1.2,4.9,11.0,2.25
25,Jason Beverlin,28,DET,0,3,.000,9.49,3,3,0,0,0,0,12.1,18,15,13,2,5,0,7,0,0,1,60,46,5.15,1.865,13.1,1.5,3.6,5.1,1.40
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
26,Rocky Biddle,26,CHW,3,4,.429,4.06,44,7,9,0,0,1,77.2,72,42,35,13,39,4,64,5,0,5,339,112,5.19,1.429,8.3,1.5,4.5,7.4,1.64
27,Pedro Borbón*,34,TOR,1,2,.333,4.97,16,0,6,0,0,0,12.2,12,8,7,3,6,3,11,1,0,1,60,95,5.96,1.421,8.5,2.1,4.3,7.8,1.83
28,Micah Bowie*,27,OAK,2,0,1.000,1.50,13,0,4,0,0,0,12.0,12,2,2,1,8,1,8,1,0,0,55,297,4.96,1.667,9.0,0.8,6.0,6.0,1.00
29,Brian Bowles,25,TOR,2,1,.667,4.05,17,0,7,0,0,0,20.0,13,11,9,0,14,1,19,3,1,5,89,115,3.61,1.350,5.9,0.0,6.3,8.6,1.36
30,Chad Bradford,27,OAK,4,2,.667,3.11,75,0,14,0,0,2,75.1,73,29,26,2,14,5,56,5,1,0,311,140,2.58,1.155,8.7,0.2,1.7,6.7,4.00
31,Dewon Brazelton,22,TBD,0,1,.000,4.85,2,2,0,0,0,0,13.0,12,7,7,3,6,0,5,2,0,0,51,94,7.04,1.385,8.3,2.1,4.2,3.5,0.83
32,Chris Brock,32,BAL,2,1,.667,4.70,22,0,3,0,0,0,44.0,52,24,23,6,14,1,21,1,0,0,192,92,4.80,1.500,10.6,1.2,2.9,4.3,1.50
33,Mark Buehrle*,23,CHW,19,12,.613,3.58,34,34,0,5,2,0,239.0,236,102,95,25,61,7,134,3,1,6,984,126,4.00,1.243,8.9,0.9,2.3,5.0,2.20
34,Ryan Bukvich,24,KCR,1,0,1.000,6.12,26,0,2,0,0,0,25.0,26,19,17,2,19,3,20,1,0,1,121,82,4.80,1.800,9.4,0.7,6.8,7.2,1.05
