Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Paul Abbott,36,TBD,2,5,.286,6.70,10,9,0,0,0,0,47.0,49,39,35,8,27,0,25,3,0,3,222,68,6.11,1.617,9.4,1.5,5.2,4.8,0.93
2,Terry Adams,31,TOT,6,4,.600,4.76,61,0,21,0,0,3,70.0,84,39,37,10,28,3,56,2,0,8,316,102,4.59,1.600,10.8,1.3,3.6,7.2,2.00
3,Terry Adams,31,TOR,4,4,.500,3.98,42,0,20,0,0,3,43.0,49,20,19,4,22,2,35,1,0,6,197,122,4.24,1.651,10.3,0.8,4.6,7.3,1.59
4,Terry Adams,31,BOS,2,0,1.000,6.00,19,0,1,0,0,0,27.0,35,19,18,6,6,1,21,1,0,2,119,81,5.16,1.519,11.7,2.0,2.0,7.0,3.50
5,Jon Adkins,26,CHW,2,3,.400,4.65,50,0,19,0,0,0,62.0,75,35,32,13,20,3,44,1,0,1,271,101,5.37,1.532,10.9,1.9,2.9,6.4,2.20
6,Jeremy Affeldt*,25,KCR,3,4,.429,4.95,38,8,26,0,0,13,76.1,91,49,42,6,32,2,49,3,3,4,344,97,4.16,1.611,10.7,0.7,3.8,5.8,1.53
7,Kurt Ainsworth,25,BAL,0,1,.000,9.68,7,7,0,0,0,0,30.2,39,34,33,6,20,0,20,5,0,4,151,47,6.73,1.924,11.4,1.8,5.9,5.9,1.00
8,Carlos Almánzar,30,TEX,7,3,.700,3.72,67,0,18,0,0,0,72.2,66,32,30,8,19,4,44,4,0,1,298,135,4.22,1.170,8.2,1.0,2.4,5.4,2.32
9,Abe Alvarez*,21,BOS,0,1,.000,9.00,1,1,0,0,0,0,5.0,8,5,5,2,5,0,2,0,0,0,25,57,10.45,2.600,14.4,3.6,9.0,3.6,0.40
10,Brian Anderson*,32,KCR,6,12,.333,5.64,35,26,2,2,1,0,166.0,217,123,104,33,53,4,70,1,0,2,745,85,5.77,1.627,11.8,1.8,2.9,3.8,1.32
11,Jason Anderson,25,CLE,0,0,,45.00,1,0,0,0,0,0,1.0,1,5,5,1,4,1,1,0,0,0,8,13,26.05,5.000,9.0,9.0,36.0,9.0,0.25
12,Jimmy Anderson*,28,BOS,0,0,,6.00,5,0,2,0,0,0,6.0,10,4,4,0,3,0,3,0,0,1,28,85,3.55,2.167,15.0,0.0,4.5,4.5,1.00
13,Kevin Appier,36,KCR,0,1,.000,13.50,2,2,0,0,0,0,4.0,7,8,6,0,3,0,2,0,0,2,22,38,4.30,2.500,15.8,0.0,6.8,4.5,0.67
14,Bronson Arroyo,27,BOS,10,9,.526,4.03,32,29,0,0,0,0,178.2,171,99,80,17,47,3,142,20,0,5,764,120,3.82,1.220,8.6,0.9,2.4,7.2,3.02
15,Pedro Astacio,35,BOS,0,0,,10.38,5,1,1,0,0,0,8.2,13,10,10,2,5,0,6,0,0,1,43,48,6.40,2.077,13.5,2.1,5.2,6.2,1.20
16,Scott Atchison,28,SEA,2,3,.400,3.52,25,0,8,0,0,0,30.2,29,12,12,4,14,2,36,0,0,2,133,129,3.77,1.402,8.5,1.2,4.1,10.6,2.57
