Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,43,29.1,4.54,162,6119,5487,736,1473,276,33,150,687,129,61,476,838,0.268,0.33,0.413,0.743,97,2265,125,56,50,50,42,1086
Baltimore Orioles,42,29.3,4.56,163,6241,5665,743,1516,277,24,152,695,89,36,431,902,0.268,0.323,0.405,0.729,92,2297,123,54,51,40,32,1121
Boston Red Sox,47,29.7,5.93,162,6530,5769,961,1667,371,40,238,932,88,35,620,943,0.289,0.36,0.491,0.851,118,2832,126,53,24,64,61,1224
Chicago White Sox,40,29.3,4.88,162,6148,5487,791,1445,303,19,220,766,77,29,519,916,0.263,0.331,0.446,0.777,102,2446,132,58,43,41,27,1074
Cleveland Indians,54,27.0,4.31,162,6188,5572,699,1413,296,26,158,660,86,61,466,1062,0.254,0.316,0.401,0.717,92,2235,128,62,46,41,25,1068
Detroit Tigers,43,27.3,3.65,162,6071,5466,591,1312,201,39,153,553,98,63,443,1099,0.24,0.3,0.375,0.675,83,2050,114,47,65,49,24,1047
Kansas City Royals,53,29.2,5.16,162,6239,5568,836,1526,288,39,162,781,120,42,476,926,0.274,0.336,0.427,0.763,95,2378,128,75,63,57,32,1096
Minnesota Twins,42,27.2,4.94,162,6324,5655,801,1567,318,45,155,755,94,44,512,1027,0.277,0.341,0.431,0.772,102,2440,139,63,42,52,36,1166
New York Yankees,49,30.4,5.38,163,6431,5605,877,1518,304,14,230,845,98,33,684,1042,0.271,0.356,0.453,0.81,114,2540,154,81,25,35,54,1239
Oakland Athletics,41,28.3,4.74,162,6189,5497,768,1398,317,24,176,742,48,14,556,898,0.254,0.327,0.417,0.743,96,2291,118,59,22,53,52,1130
Seattle Mariners,37,32.0,4.91,162,6281,5561,795,1509,290,33,139,759,108,37,586,989,0.271,0.344,0.41,0.754,103,2282,130,53,35,46,34,1202
Tampa Bay Devil Rays,51,26.3,4.41,162,6212,5654,715,1501,298,38,137,678,142,42,420,1030,0.265,0.32,0.404,0.724,94,2286,108,56,32,50,46,1129
Texas Rangers,52,28.4,5.1,162,6293,5664,826,1506,274,36,239,799,65,25,488,1052,0.266,0.33,0.454,0.784,96,2569,115,75,24,42,31,1141
Toronto Blue Jays,40,28.3,5.52,162,6364,5661,894,1580,357,33,190,853,37,25,546,1081,0.279,0.349,0.455,0.803,107,2573,146,90,11,56,40,1175
League Average,43,28.7,4.86,162,6259,5594,788,1495,298,32,178,750,91,39,516,986,0.267,0.333,0.428,0.761,99,2392,128,63,38,48,38,1136
,608,28.7,4.86,2270,87630,78311,11033,20931,4170,443,2499,10505,1279,547,7223,13805,0.267,0.333,0.428,0.761,99,33484,1786,882,533,676,536,15898
