Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Paul Abbott,35,KCR,1,2,.333,5.29,10,8,0,0,0,0,47.2,47,29,28,8,26,2,32,2,0,2,214,93,5.63,1.531,8.9,1.5,4.9,6.0,1.23
2,Juan Acevedo,33,TOT,1,5,.167,6.57,39,0,25,0,0,6,38.1,52,32,28,6,18,4,28,2,0,4,188,70,5.17,1.826,12.2,1.4,4.2,6.6,1.56
3,Juan Acevedo,33,NYY,0,3,.000,7.71,25,0,19,0,0,6,25.2,34,24,22,5,10,3,19,2,0,2,125,58,5.49,1.714,11.9,1.8,3.5,6.7,1.90
4,Juan Acevedo,33,TOR,1,2,.333,4.26,14,0,6,0,0,0,12.2,18,8,6,1,8,1,9,0,0,2,63,113,4.53,2.053,12.8,0.7,5.7,6.4,1.13
5,Jon Adkins,25,CHW,0,0,,4.82,4,0,2,0,0,0,9.1,8,5,5,1,7,0,3,1,0,0,42,99,6.35,1.607,7.7,1.0,6.8,2.9,0.43
6,Jeremy Affeldt*,24,KCR,7,6,.538,3.93,36,18,5,0,0,4,126.0,126,58,55,12,38,1,98,5,2,2,533,125,3.74,1.302,9.0,0.9,2.7,7.0,2.58
7,Kurt Ainsworth,24,BAL,0,1,.000,11.57,3,0,2,0,0,0,2.1,6,3,3,1,1,0,4,0,0,0,15,44,6.46,3.000,23.1,3.9,3.9,15.4,4.00
8,Héctor Almonte,27,BOS,0,1,.000,8.22,7,0,4,0,0,0,7.2,9,7,7,1,7,1,6,0,0,1,39,59,5.90,2.087,10.6,1.2,8.2,7.0,0.86
9,Brian Anderson*,31,TOT,14,11,.560,3.78,32,31,0,2,1,0,197.2,212,110,83,27,43,3,87,4,1,3,821,120,4.64,1.290,9.7,1.2,2.0,4.0,2.02
10,Brian Anderson*,31,CLE,9,10,.474,3.71,25,24,0,0,0,0,148.0,162,88,61,21,32,3,72,4,1,2,623,119,4.63,1.311,9.9,1.3,1.9,4.4,2.25
